ip_morale|士 气 
ip_morale_text|士 气 为 部 队 中 的 士 兵 们 提 供 了 保 持 坚 忍 不 拔， 勇 往 直 前， 和 纪 律 严 明 的 能 力 和 积 极 性， 这 些 都 是 他 们 抵 御 战 斗 和 行 军 当 中 的 压 力 所 必 需 的。 这 个 和 士 兵 们 的 愉 悦 度 不 是 一 回 事 情。 精 锐 部 队 也 许 会 因 不 满 而 抱 怨 战 役 的 艰 苦 — — 但 是 当 他 们 面 对 如 蝗 飞 矢 的 时 候 还 是 会 坚 如 磐 石 团 结 如 一。 另 一 方 面， 一 个 无 微 不 至 给 予 他 的 部 下 任 何 需 求 的 指 挥 官， 也 许 反 而 会 发 现 他 们 变 得 软 弱， 并 且 在 敌 人 进 攻 前 就 望 风 而 逃。 ^^ 士 气 最 大 的 影 响 是 对 于 部 队 在 战 斗 中 的 行 为， 决 斗 了 士 兵 与 敌 人 交 战 时 有 多 凶 猛， 以 及 当 他 们 发 现 战 场 形 势 不 对 时 有 多 想 落 荒 而 逃。 士 气 同 样 影 响 一 支 部 队 的 行 军 速 度， 越 没 有 动 力 的 队 伍 跑 的 就 越 慢， 因 为 这 种 情 况 下 部 下 不 会 尽 力 而 为， 并 且 经 常 要 停 下 来 休 息， 所 以 经 常 要 等 掉 队 的 人 赶 上 来。 最 终， 一 支 士 气 低 下 的 部 队 就 会 有 人 开 小 差 逃 走。 ^^ 一 些 影 响 士 气 的 因 素 是 很 直 观 的。 比 如， 一 个 魅 力 过 人 并 且 百 战 百 胜 的 指 挥 官 可 以 给 他 或 者 她 的 部 下 在 精 神 上 以 极 大 的 鼓 舞。 给 部 下 提 供 大 量 而 又 丰 富 食 物， 并 且 不 拖 欠 部 下 佣 金 的 领 袖 们， 表 现 的 很 关 心 他 们 的 士 兵 的 福 利， 并 且 不 喜 欢 带 领 他 们 深 赴 险 地。 ^^ 另 外 一 些 因 素 就 不 是 那 么 直 观 了 — — 特 别 是 那 些 涉 及 部 队 的 团 队 凝 聚 力 方 面 的。 例 如， 在 一 支 精 兵 队 伍 里， 个 个 都 会 和 优 势 兵 力 的 敌 人 艰 苦 作 战 毫 不 畏 缩， 因 为 你 的 胆 小 与 否 别 人 都 能 看 得 到。 相 对 的 面 对 一 支 庞 大 的 队 伍 你 也 许 就 会 看 到 其 内 部 团 结 有 问 题， 这 是 由 于 指 挥 官 没 有 更 多 的 时 间 来 监 督 部 下， 倾 听 他 们 的 抱 怨， 并 且 解 决 他 们 之 间 的 争 端。 频 繁 的 战 事 将 使 战 士 们 团 结， 而 长 时 间 的 无 所 事 事 会 使 士 兵 们 变 得 无 聊 和 相 互 争 吵。 ^^ 通 过 点 击 “ 报 告 ” 按 钮 来 显 示 的 士 气 报 告， 将 给 玩 家 显 示 哪 些 因 素 正 在 影 响 他 或 她 部 下 的 士 气。 
ip_economy|经 济 
ip_economy_text|卡 拉 迪 亚 大 陆 上 的 城 镇 和 村 庄 为 了 其 人 口 的 正 常 生 存 和 生 产 都 需 要 非 常 多 样 化 的 商 品。 民 以 食 为 天。 谷 物 是 卡 拉 迪 亚 大 陆 的 主 要 农 作 物， 但 是 人 们 还 需 要 肉 类， 鱼 类 和 奶 酪 提 供 的 脂 肪 和 蛋 白 质。 而 第 一 时 间 里 将 肉 类 妥 善 保 存 起 来 的 工 作 差 不 多 和 生 产 肉 类 一 样 繁 重， 因 此 食 盐 的 需 求 也 很 巨 大。 要 解 决 温 饱 还 需 要 衣 服 ： 厚 重 的 羊 毛， 轻 盈 的 亚 麻， 或 者 奢 华 的 天 鹅 绒。 最 后， 人 们 还 需 要 用 于 贸 易 的 各 种 物 品 ： 铁 器， 陶 器， 皮 革 制 品， 当 然， 还 有， 用 于 战 争 的 武 器， 盔 甲， 以 及 马 匹。 ^^ 大 多 数 农 业 产 品 产 自 于 村 庄， 而 城 镇 里 的 工 匠 则 专 门 从 事 于 制 造 品 或 者 手 工 艺 品 比 如 织 物 或 者 铁 器。 同 样 的， 不 同 的 资 源 产 自 于 国 家 的 不 同 行 当。 因 此， 卡 拉 迪 亚 大 陆 的 繁 荣 的 关 键 是 贸 易 — — 不 但 是 村 庄 和 城 镇 之 间， 还 包 括 那 些 主 要 城 镇 本 身 之 间。 ^^ 当 贸 易 流 通 时， 商 品 将 能 够 被 使 用 和 消 费， 该 地 区 的 人 口 将 会 健 康 而 又 愉 悦， 并 且 会 有 移 居 者 从 附 近 地 区 聚 集 过 来。 该 地 区 将 会 生 产 更 多， 消 费 更 多， 进 而 能 够 给 他 们 的 领 主 贡 献 更 多 的 税 金。 当 贸 易 停 滞， 城 镇 和 村 庄 的 工 人 就 会 离 开 去 别 处 找 工 作， 而 经 济 活 动 也 将 停 止。 从 而， 为 了 统 治 者 的 利 益 得 去 保 护 贸 易 路 线 免 遭 战 争 和 匪 患 的 威 胁。 可 是， 一 个 精 明 的 商 人， 会 希 望 搜 索 到 与 大 陆 上 其 它 地 方 隔 离 的 城 镇， 因 为 他 或 者 她 也 许 能 够 从 不 平 衡 的 价 格 之 中 获 得 相 当 可 观 的 收 益。 ^^ 因 为 村 民 总 是 把 他 们 出 产 的 商 品 运 往 城 镇 的 市 场， 村 庄 的 市 场 通 常 没 什 么 生 意， 而 村 民 们 总 是 贱 买 贵 卖。 正 经 的 商 人 都 待 在 城 镇 里 做 买 卖， 虽 然 有 些 队 伍 会 不 时 在 村 庄 稍 作 停 留 做 些 补 给。 ^^ 一 个 玩 家 如 果 要 想 知 道 哪 些 因 素 影 响 着 某 个 地 区 的 繁 荣 度 可 以 去 问 问 城 镇 广 场 上 的 镇 长。 别 的 信 息 可 以 从 路 人 那 里 收 集 到， 尽 管 他 们 也 许 不 太 清 楚 他 们 自 己 特 定 贸 易 以 外 的 东 西。 
ip_courtship|求 爱 
ip_courtship_text|玩 家 们 也 许 希 望 和 卡 拉 迪 亚 的 世 家 贵 族 联 姻。 婚 姻 并 不 是 玩 家 在 卡 拉 迪 亚 施 展 自 己 的 本 领 和 才 干 所 必 须 的， 但 是 这 提 供 给 了 玩 家 增 进 和 领 主 们 的 关 系 以 及 确 立 对 王 位 主 张 的 机 会。 ^^ 结 婚 的 条 件 对 于 男 性 和 女 性 玩 家 是 不 同 的。 一 个 男 性 角 色 通 常 需 要 进 行 传 统 方 式 的 求 爱。 他 需 要 在 卡 拉 迪 亚 贵 族 圈 里 建 立 自 己 的 声 望， 要 和 他 新 娘 的 父 母 或 者 监 护 人 相 处 融 洽， 并 且 按 照 当 地 习 俗 向 女 孩 求 爱。 如 果 某 个 玩 家 变 得 不 耐 烦 起 来， 他 可 以 试 图 走 捷 径 — — 但 是 会 对 他 和 其 他 领 主 之 间 的 关 系 产 生 后 果。 ^^ 一 个 男 性 角 色 得 记 住 其 他 领 主 会 为 了 王 国 的 闺 秀 和 他 竞 争。 同 样， 女 孩 子 的 小 考 验 也 是 随 时 随 地 的， 而 玩 家 也 许 会 发 现 他 求 爱 的 对 象 到 头 来 并 不 爱 他。 浪 漫 史， 在 卡 拉 迪 亚 这 块 地 方， 和 在 其 它 地 方 一 样， 有 情 人 不 一 定 总 成 眷 属。 当 然， 玩 家 也 可 以 使 用 别 的， 不 太 绅 士 的 手 段 赢 得 女 孩 子 的 心， 但 是 同 样 的， 那 会 对 他 的 名 声 带 来 严 重 的 影 响。 ^^ 要 开 始 一 段 求 爱 的 旅 程， 男 性 玩 家 需 要 试 着 融 入 卡 拉 迪 亚 贵 族 的 社 交 生 活， 出 席 宴 会 和 竞 技 大 会。 同 样， 流 浪 的 歌 手 和 诗 人 可 以 成 为 获 得 求 爱 信 息 的 有 用 的 知 识 库， 并 且 能 让 玩 家 随 时 知 道 当 下 人 们 都 在 谈 论 些 什 么。 ^^ 女 性 玩 家 也 可 以 结 婚 — — 但 是 她 们 得 记 住 卡 拉 迪 亚 的 社 会 非 常 传 统， 而 且， 作 为 冒 险 者， 她 们 选 择 了 一 条 非 常 反 传 统 的 女 性 之 路。 一 名 女 性 角 色 也 许 要 好 好 找 找 某 个 思 想 足 够 开 放 的 领 主 来 娶 她。 ^^ 作 为 好 的 一 面， 一 名 女 性 角 色 不 需 要 经 过 冗 繁 的 求 爱 礼 仪， 并 且 她 同 样 可 以 从 婚 姻 中 比 她 的 男 性 配 偶 得 到 的 更 多。 作 为 一 名 女 性 冒 险 家， 婚 姻 可 以 成 为 通 往 权 力 的 捷 径 — — 而 一 名 不 择 手 段 的 角 色 也 许 会 把 她 的 丈 夫 当 作 她 实 现 政 治 野 心 的 工 具。 
ip_politics|政 治 
ip_politics_text|卡 拉 迪 亚 大 陆 上 的 国 家， 尽 管 其 象 征 了 不 同 的 文 化， 但 都 忠 于 同 一 个 基 本 政 治 体 系 ： 封 建 制。 封 建 制 基 于 个 人 之 间 的 关 系 ： 封 臣 对 于 他 或 她 君 主 的 宣 誓 效 忠。 对 于 这 种 宣 誓 的 回 报， 封 臣 通 常 会 收 到 一 份 封 地， 这 套 土 地 之 上 的 收 入 归 封 臣 所 有 建 立 军 队 来 为 君 主 在 战 时 提 供 支 持。 一 个 君 主 同 样 有 责 任 保 护 他 的 封 臣 们， 并 且 公 平 地 宴 请 他 们。 ^^ 无 论 如 何， 理 论 上 应 该 是 这 么 运 作 的。 实 际 上， 封 臣 们 并 不 总 是 为 了 他 们 阵 营 的 利 益 而 努 力， 特 别 的 是 他 们 还 经 常 相 互 争 吵。 贵 族 们 有 不 同 的 个 性， 并 且 有 时 候 这 些 个 性 相 冲。 或 者， 也 许 两 个 贵 族 是 亲 密 的 朋 友， 但 是 因 为 一 次 退 却 或 者 战 败 的 结 果 而 翻 脸 — — 或 者 因 为 他 们 在 追 求 同 一 位 小 姐。 他 们 在 国 王 面 前 争 宠 的 时 候 同 样 也 会 表 现 出 嫉 妒 — — 也 许 是 为 了 争 夺 新 征 服 的 土 地， 或 者 是 争 夺 谁 会 被 任 命 为 令 人 垂 涎 的 元 帅 之 职 位， 成 为 负 责 组 织 一 次 大 规 模 战 役 的 统 领。 ^^ 当 卡 拉 迪 亚 的 某 个 国 家 和 别 国 开 战， 各 个 王 国 内 部 在 政 治 上 是 否 团 结， 严 重 影 响 到 其 能 够 决 定 战 争 结 果 的 士 兵 的 质 量 和 数 量。 在 一 个 团 结 的 王 国， 贵 族 们 会 联 合 在 一 起 成 为 一 股 强 大 的 力 量 扫 除 他 们 面 前 的 对 手。 在 一 个 因 为 喋 喋 不 休 的 争 论 而 四 分 五 裂 的 王 国 里， 领 主 们 将 不 听 从 元 帅 的 召 集， 或 者 在 一 场 战 役 如 果 进 行 的 并 不 顺 利 的 时 候 四 散 而 去 忙 他 们 自 己 的 事 情。 一 个 阵 营 政 治 上 的 凝 聚 力 还 会 在 战 役 没 有 进 行 的 情 况 下 导 致 军 事 冲 突。 在 一 个 分 裂 的 阵 营， 领 主 们 在 出 击 和 巡 逻 的 时 候 不 大 愿 意 联 合 行 动， 还 有 共 同 防 御。 ^^ 如 果 发 现 领 主 们 在 敌 人 出 现 在 地 平 线 上 的 时 候 因 为 斗 嘴 和 争 论 而 要 弄 巧 成 拙， 记 住 — — 从 根 本 上 讲， 一 名 贵 族 的 忠 诚 不 是 对 于 特 定 的 阵 营 或 者 文 化， 而 是 对 于 他 自 己 以 及 他 的 家 族。 如 果 一 个 贵 族 担 心 他 的 阵 营 崩 溃， 或 者 是 他 正 在 被 他 的 君 主 忽 视， 他 通 常 会 找 个 理 由 撤 销 他 效 忠 的 宣 誓， 然 后 投 奔 别 处。 玩 家 门 要 记 住 这 一 点， 因 为 他 们 会 发 现 有 机 会 让 心 中 不 满 的 前 敌 人 转 变 成 盟 友。 
ip_character_backgrounds|角 色 背 景 
ip_character_backgrounds_text|进 入 卡 拉 迪 亚 的 玩 家 可 以 选 择 来 自 不 同 的 社 会 背 景。 这 个 选 择 不 仅 仅 会 影 响 到 他 或 她 的 起 始 技 能 和 装 备， 还 会 影 响 到 他 或 者 她 的 冒 险 生 涯。 ^^ 卡 拉 迪 亚 的 战 事 和 政 治 传 统 性 地 归 男 性 贵 族 所 支 配。 一 名 男 性 贵 族 玩 家 角 色 会 发 现 他 很 快 就 在 这 个 “ 大 男 子 ” 俱 乐 部 里 如 鱼 得 水， 而 女 性 和 平 民 身 份 则 会 在 奋 斗 之 路 上 遇 到 额 外 的 障 碍。 如 果 你 选 择 作 为 一 名 男 性 贵 族 来 开 始 开 始 游 戏， 你 可 以 看 作 是 以 “ 简 单 ” 难 度 来 开 始 游 戏。 以 女 性 贵 族 或 者 男 性 平 民 开 始 则 要 难 度 高 一 点， 而 以 女 性 平 民 开 局 则 可 能 是 以 最 具 挑 战 的 方 式 开 始 游 戏。 ^^ 尽 管 这 样， 女 性 也 有 开 局 的 优 势。 很 明 显 的 就 是 招 兵， 一 名 女 性 勇 士 自 身 很 能 引 人 注 意， 这 样 她 能 够 比 男 性 更 快 地 树 立 自 己 的 名 声。 同 样 地， 按 照 惯 例 女 的 也 比 男 的 要 更 容 易 通 过 婚 姻 通 往 社 会 高 层， 并 且 女 的 可 以 通 过 战 略 婚 姻 联 盟 比 她 的 男 性 配 偶 获 得 的 更 多。 ^^ 最 后， 记 住 这 游 戏 里， 英 雄 不 问 出 处， 王 侯 将 相， 宁 有 种 乎。 不 论 贵 族 还 是 平 民， 男 性 还 是 女 性， 结 婚 还 是 单 身 — — 任 何 人 都 有 可 能 成 为 全 卡 拉 迪 亚 的 统 治 者， 如 果 他 们 足 够 勇 敢， 幸 运 或 者 智 慧 的 话。 
ip_military_campaigns|军 事 战 争 
