itm_no_item|INVALID ITEM 
itm_no_item_pl|INVALID ITEM 
itm_tutorial_spear|矛 
itm_tutorial_spear_pl|矛 
itm_tutorial_club|木 棒 
itm_tutorial_club_pl|木 棒 
itm_tutorial_battle_axe|战 斗 斧 
itm_tutorial_battle_axe_pl|战 斗 斧 
itm_tutorial_arrows|箭 
itm_tutorial_arrows_pl|箭 
itm_tutorial_bolts|弩 矢 
itm_tutorial_bolts_pl|弩 矢 
itm_tutorial_short_bow|短 弓 
itm_tutorial_short_bow_pl|短 弓 
itm_tutorial_crossbow|弩 
itm_tutorial_crossbow_pl|弩 
itm_tutorial_throwing_daggers|飞 刀 
itm_tutorial_throwing_daggers_pl|飞 刀 
itm_tutorial_saddle_horse|旅 行 马 
itm_tutorial_saddle_horse_pl|旅 行 马 
itm_tutorial_shield|筝 形 盾 
itm_tutorial_shield_pl|筝 形 盾 
itm_tutorial_staff_no_attack|棍 
itm_tutorial_staff_no_attack_pl|棍 
itm_tutorial_staff|棍 
itm_tutorial_staff_pl|棍 
itm_tutorial_sword|剑 
itm_tutorial_sword_pl|剑 
itm_tutorial_axe|斧 
itm_tutorial_axe_pl|斧 
itm_tutorial_dagger|匕 首 
itm_tutorial_dagger_pl|匕 首 
itm_horse_meat|马 肉 
itm_horse_meat_pl|马 肉 
itm_practice_sword|练 习 剑 
itm_practice_sword_pl|练 习 剑 
itm_heavy_practice_sword|重 型 练 习 剑 
itm_heavy_practice_sword_pl|重 型 练 习 剑 
itm_practice_dagger|练 习 匕 首 
itm_practice_dagger_pl|练 习 匕 首 
itm_practice_axe|练 习 斧 
itm_practice_axe_pl|练 习 斧 
itm_arena_axe|斧 
itm_arena_axe_pl|斧 
itm_arena_sword|剑 
itm_arena_sword_pl|剑 
itm_arena_sword_two_handed|双 手 剑 
itm_arena_sword_two_handed_pl|双 手 剑 
itm_arena_lance|骑 枪 
itm_arena_lance_pl|骑 枪 
itm_practice_staff|练 习 棍 
itm_practice_staff_pl|练 习 棍 
itm_practice_lance|练 习 骑 枪 
itm_practice_lance_pl|练 习 骑 枪 
itm_practice_shield|练 习 盾 
itm_practice_shield_pl|练 习 盾 
itm_practice_bow|练 习 弓 
itm_practice_bow_pl|练 习 弓 
itm_practice_crossbow|练 习 弩 
itm_practice_crossbow_pl|练 习 弩 
itm_practice_javelin|练 习 标 枪 
itm_practice_javelin_pl|练 习 标 枪 
itm_practice_javelin_melee|练 习 近 战 标 枪 
itm_practice_javelin_melee_pl|练 习 近 战 标 枪 
itm_practice_throwing_daggers|飞 刀 
itm_practice_throwing_daggers_pl|飞 刀 
itm_practice_throwing_daggers_100_amount|飞 刀 
itm_practice_throwing_daggers_100_amount_pl|飞 刀 
itm_practice_horse|练 习 马 
itm_practice_horse_pl|练 习 马 
itm_practice_arrows|练 习 箭 
itm_practice_arrows_pl|练 习 箭 
itm_practice_bolts|练 习 弩 矢 
itm_practice_bolts_pl|练 习 弩 矢 
itm_practice_arrows_10_amount|练 习 箭 
itm_practice_arrows_10_amount_pl|练 习 箭 
itm_practice_arrows_100_amount|练 习 箭 
itm_practice_arrows_100_amount_pl|练 习 箭 
itm_practice_bolts_9_amount|练 习 弩 矢 
