p_zendar|禅 达 
p_town_1|萨 哥 斯 
p_town_2|提 哈 
p_town_3|维 鲁 加 
p_town_4|苏 诺 
p_town_5|杰 尔 喀 拉 
p_town_6|帕 拉 汶 
p_town_7|乌 克 斯 豪 尔 
p_town_8|日 瓦 丁 
p_town_9|库 丹 
p_town_10|图 尔 加 
p_town_11|库 劳 
p_town_12|窝 车 则 
p_town_13|日 瓦 车 则 
p_town_14|哈 尔 玛 
p_town_15|亚 伦 
p_town_16|德 赫 瑞 姆 
p_town_17|艾 车 莫 尔 
p_town_18|拉 那 
p_town_19|沙 瑞 兹 
p_town_20|都 库 巴 
p_town_21|阿 默 拉 德 
p_town_22|巴 瑞 耶 
p_castle_1|库 儿 玛 堡 
p_castle_2|马 勒 格 堡 
p_castle_3|布 鲁 加 堡 
p_castle_4|拉 多 吉 尔 堡 
p_castle_5|提 赫 洛 格 堡 
p_castle_6|提 尔 堡 
p_castle_7|萨 吉 彻 堡 
p_castle_8|杰 尔 泊 堡 
p_castle_9|加 米 奇 堡 
p_castle_10|艾 尔 布 克 城 堡 
p_castle_11|库 林 城 堡 
p_castle_12|切 尔 贝 克 堡 
p_castle_13|凯 尔 瑞 丹 堡 
p_castle_14|马 拉 斯 堡 
p_castle_15|阿 哥 尔 隆 堡 
p_castle_16|阿 美 拉 堡 
p_castle_17|迪 斯 它 堡 
p_castle_18|依 斯 摩 罗 拉 堡 
p_castle_19|洛 玛 堡 
p_castle_20|德 其 欧 斯 堡 
p_castle_21|艾 泊 德 勒 斯 堡 
p_castle_22|乌 鲁 兹 达 克 堡 
p_castle_23|特 瓦 林 堡 
p_castle_24|雷 恩 迪 堡 
p_castle_25|瑞 泊 莱 特 堡 
p_castle_26|圣 鲁 兹 哥 达 堡 
p_castle_27|伦 迪 亚 堡 
p_castle_28|格 鲁 恩 沃 德 堡 
p_castle_29|勒 拉 格 堡 
p_castle_30|阿 苏 冈 堡 
p_castle_31|温 科 德 堡 
p_castle_32|鲁 达 堡 
p_castle_33|艾 特 斯 科 堡 
p_castle_34|赫 鲁 斯 堡 
p_castle_35|哈 伦 哥 斯 堡 
p_castle_36|杰 尔 博 格 堡 
p_castle_37|德 瑞 玛 格 堡 
p_castle_38|图 尔 布 克 堡 
p_castle_39|色 雷 兹 克 堡 
p_castle_40|阿 乎 恩 堡 
p_castle_41|加 米 耶 德 堡 
p_castle_42|特 拉 玛 堡 
p_castle_43|沙 拉 瓦 堡 
p_castle_44|都 拉 瑞 堡 
p_castle_45|卡 拉 夫 堡 
p_castle_46|卫 耶 哈 堡 
p_castle_47|萨 马 拉 堡 
p_castle_48|巴 拉 达 奇 堡 
p_village_1|叶 瑞 阁 
p_village_2|比 格 伦 
