dlga_award_fief_to_vassal:award_fief_to_vassal_defer|我 想 把 這 個 任 命 先 放 一 放， 等 我 聽 取 了 其 他 人 的 意 見 之 後， 再 作 決 定。
dlga_award_fief_to_vassal_defer:close_window|如 你 所 願， {陛 下/尊 敬 的 女 士}。 你 可 以 改 日 再 作 決 定。
dlga_award_fief_to_vassal_2:close_window|如 你 所 願， {陛 下/尊 敬 的 女 士}。 {reg6?我 :{reg7?你 :{s11}}}將 成 為 {s1}的 新 {reg3?主 人 :主 人 }。 
dlga_event_triggered:center_captured_rebellion|{s1}目 前 還 無 人 治 理。 我 應 該 把 這 權 力 交 給 誰 呢？ 
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}。 {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|拜 托 了， {s65}， 我 想 把 {s1}留 給 自 己。 （ 封 地： {s0}） 
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}， 你 可 以 保 留 {s1}。 （ 封 地:{s0}） 
dlga_center_captured_rebellion_2:close_window|嗯。 好 吧， {playername}。 我 很 看 重 你 的 意 見。 {reg6?我 :{reg7?你 :{s11}}}將 會 是 {s1}的 新 {reg3?主 人 :主 人 }。 
dlga_start:fighter_talk|你 好。 我 們 正 在 進 行 對 戰 訓 練， 以 免 生 疏 了 技 藝。 看 上 去 你 也 需 要 來 一 場 訓 練。 何 不 加 入 我 們 呢， 我 們 能 教 你 一 些 訣 竅。 如 果 你 有 任 何 有 關 戰 斗 的 概 念 問 題， 說 出 來， 我 會 盡 力 為 你 解 答。 
dlga_start:fighter_talk.1|你 想 練 習 什 麼？ 
dlga_fighter_pretalk:fighter_talk|告 訴 我 你 想 要 進 行 哪 種 練 習。 
dlga_fighter_talk:fighter_talk_train_attack|我 想 練 習 攻 擊。 
dlga_fighter_talk:fighter_talk_train_parry|我 想 練 習 用 武 器 格 擋。 
dlga_fighter_talk:fighter_talk_train_combat|我 們 來 點 對 戰 練 習 吧。 
dlga_fighter_talk:close_window|離 開。 
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|好， 攻 擊 的 基 本 方 向 有 四 個， 分 別 是 豎 直 劈 砍 、 右 側 揮 擊， 左 側 揮 擊 和 正 面 突 刺。 接 下 來， 由 我 來 指 揮 攻 擊 方 向， 你 要 盡 量 按 照 指 令 做 出 正 確 的 攻 擊 動 作。 ^^( 按 下 鼠 標 左 鍵 的 同 時， 移 動 你 的 鼠 標 以 指 定 攻 擊 方 向。 比 如， 要 完 成 一 次 豎 直 劈 砍， 你 需 要 在 按 下 鼠 標 左 鍵 的 瞬 間， 向 上 移 動 鼠 標。 屏 幕 上 的 圖 標 會 幫 助 你 做 出 正 確 的 動 作。 ) 
dlga_fighter_talk_train_attack_2:close_window|讓 我 們 開 始 吧， 我 已 經 准 備 好 了。 
dlga_fighter_talk_train_attack_2:fighter_pretalk|實 際 上， 我 想 要 干 點 兒 別 的。 
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|與 使 用 盾 牌 不 同， 用 武 器 格 擋 只 能 防 住 來 自 一 個 方 向 上 的 進 攻。 比 如， 如 果 你 上 擋， 可 以 防 住 豎 直 劈 砍， 但 是 你 仍 然 會 被 側 面 揮 擊 和 突 刺 擊 中。 ^^( 你 必 須 按 住 鼠 標 右 鍵 來 格 擋 ) 
