menu_start_game_0|您 好， 冒 險 者， 歡 迎 來 到 騎 馬 與 砍 殺： 戰 團。 游 戲 開 始 前， 你 必 須 創 建 你 的 角 色。 請 您 注 意， 游 戲 發 生 在 中 世 紀 的 傳 統 社 會 裡， 因 此， 戰 爭 和 政 治 通 常 都 由 男 性 貴 族 來 支 配。 但 這 並 不 表 示 您 不 能 選 擇 一 個 女 性 角 色， 或 者 是 平 民 出 身 的 角 色 來 進 行 游 戲。 選 擇 男 性 貴 族 也 許 會 讓 游 戲 的 初 期 更 容 易 一 些， 不 過 女 性 和 平 民 同 樣 可 以 獲 得 與 前 者 相 同 的 成 就—— 實 際 上， 游 戲 初 期 更 有 挑 戰 性， 也 許 會 給 您 帶 來 更 多 的 樂 趣。 
mno_continue|繼 續…… 
mno_go_back|後 退 
menu_start_phase_2|你 聽 說 過 卡 拉 迪 亞， 這 裡 是 一 片 被 互 相 競 爭 著 的 國 家 所 割 裂 開 來 的 土 地， 是 爭 奪 霸 權 者 的 避 難 所， 所 有 追 逐 著 財 富， 權 力 抑 或 是 榮 譽 的 人 們 皆 聚 集 於 此， 騎 士， 雇 傭 兵， 殺 手， 探 險 家 們 在 這 片 土 地 上 四 散 奔 走…… 機 會 與 危 險 並 存 於 此， 你 相 信 你 將 放 棄 過 去 的 一 切， 開 始 一 段 新 的 旅 程。 你 覺 得 最 終， 命 運 掌 握 在 你 自 己 的 手 中， 你 可 以 隨 心 所 欲， 無 論 過 程 怎 樣， 一 次 偉 大 的 冒 險 將 就 此 展 開。你 被 你 所 聽 說 的 卡 拉 迪 亞 神 奇 的 傳 說 和 王 國 所 吸 引， 你…… 
mno_town_1|加 入 一 支 商 隊 前 往 斯 瓦 迪 亞 王 國 的 帕 拉 汶。 
mno_town_2|加 入 一 支 商 隊 前 往 維 吉 亞 王 國 的 日 瓦 丁。 
mno_town_3|加 入 一 支 商 隊 前 往 庫 吉 特 汗 國 的 圖 爾 加。 
mno_town_4|坐 船 前 往 諾 德 王 國 的 薩 哥 斯。 
mno_town_5|坐 船 前 往 羅 多 克 王 國 的 傑 爾 喀 拉。 
mno_town_6|加 入 一 支 商 隊 前 往 薩 蘭 德 蘇 丹 國 的 沙 瑞 茲。 
menu_start_game_3|選 擇 劇 本 
mno_go_back|後 退 
menu_tutorial|你 進 入 了 訓 練 場， 不 少 當 地 人 都 在 裡 面 進 行 著 武 器 的 訓 練。 在 這 裡 你 可 以 通 過 各 種 訓 練 來 提 高 你 的 戰 斗 技 巧。 
mno_continue|繼 續…… 
mno_go_back_dot|後 退。 
menu_reports|角 色 聲 望： {reg5}^ 榮 譽 級 別： {reg6}^ 部 隊 士 氣： {reg8}^ 部 隊 上 限： {reg7}^ 
mno_view_character_report|角 色 狀 態。 
mno_view_party_size_report|部 隊 上 限。 
mno_view_npc_mission_report|任 務 簡 報。 
mno_view_weekly_budget_report|部 隊 收 支。 
mno_view_morale_report|部 隊 士 氣。 
mno_lord_relations|按 照 關 系 查 看 已 認 識 的 領 主。 
mno_courtship_relations|個 人 問 題。 
mno_view_faction_relations_report|陣 營 關 系。 
mno_resume_travelling|繼 續 旅 程。 
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|戰 斗 結 束。 {s1}你 的 隊 伍 殺 死 了 {reg5}人， 敵 人 的 隊 伍 殺 死 了 {reg6}人。 你 殺 死 了 {reg7}人。 
mno_continue|繼 續…… 
menu_start_game_1|選 擇 你 的 角 色 性 別。 
mno_start_male|男 
mno_start_female|女 
mno_go_back|後 退 
menu_start_character_1|當 你 很 多 年 前 出 生 在 一 片 遙 遠 的 大 陸 時， 你 的 父 親 是…… 
mno_start_noble|一 位 沒 落 的 貴 族。 
mno_start_merchant|一 位 旅 行 商 人。 
mno_start_guard|一 位 老 兵。 
mno_start_forester|一 位 獵 人。 
mno_start_nomad|一 位 游 牧 民。 
mno_start_thief|一 位 盜 賊。 
mno_go_back|後 退 
menu_start_character_2|{s10}^^ 後 來， 你 在 少 年 時 期 做 過…… 
mno_page|貴 族 的 侍 從。 
mno_apprentice|手 工 匠 的 學 徒。 
mno_stockboy|商 人 們 的 幫 手。 
mno_urchin|大 街 上 的 頑 童。 
mno_nomad|大 草 原 上 的 孩 子。 
mno_go_back|後 退。 
menu_start_character_3|{s11}^^ 後 來， 在 你 的 少 年 時 期， 你 的 生 活 理 所 應 當 的 改 變 了。 你 成 為 了 一 個…… 
mno_squire|騎 士 的 扈 從。 
mno_lady|貴 族 的 侍 女。 
mno_troubadour|吟 游 詩 人。 
mno_student|學 徒。 
mno_peddler|小 商 販。 
mno_craftsman|鐵 匠。 
mno_poacher|偷 獵 者。 
mno_go_back|後 退。 
menu_start_character_4|{s12}^^ 不 過 在 一 段 時 間 以 後， 一 切 都 發 生 了 變 化， 你 決 定 孤 身 一 人 去 遠 方 冒 險。 讓 你 做 出 這 個 舉 動 的 原 因 是…… 
mno_revenge|私 人 恩 怨。 
mno_death|失 去 戀 人 的 痛 苦。 
mno_wanderlust|對 於 探 險 的 愛 好。 
mno_disown|從 家 中 被 驅 趕 了 出 來。 
mno_greed|對 於 權 力 與 財 富 的 渴 望。 
mno_go_back|後 退。 
menu_choose_skill|{s13}
mno_begin_adventuring|你 成 為 了 一 名 冒 險 者 追 尋 自 己 的 命 運。 
mno_go_back_dot|後 退。 
menu_past_life_explanation|{s3}
mno_view_next|{s5}
mno_continue|繼 續…… 
mno_go_back_dot|後 退。 
