str_no_string|NO STRING! 
str_empty_string| 
str_yes|是 
str_no|否 
str_blank_string| 
str_noone|無 人 
str_s50_and_s51|{s50}和 {s51}
str_s52_and_s51|{s52}和 {s51}
str_s5_s_party|{s5}的 部 隊 
str_given_by_s1_at_s2|{s2}的 {s1}給 予 
str_given_by_s1_in_wilderness|野 外 的 {s1}給 予 
str_s7_raiders|{s7}掠 奪 者 
str_bandits_eliminated_by_another|難 對 付 的 強 盜 被 別 的 隊 伍 消 滅 了。 
str_msg_battle_won|戰 斗 勝 利！ 按 TAB 鍵 離 開…… 
str_tutorial_map1|你 現 在 是 在 地 圖 模 式 中。 在 地 圖 上 按 左 鍵 可 以 旅 行/進 入 鎮 子/或 與 其 他 隊 伍 遭 遇。 如 果 你 的 隊 伍 停 止 不 動， 時 間 不 會 流 逝。 如 果 你 想 在 某 處 等 待， 按 住 空 格 鍵 一 直 不 動 （ 再 按 住 Ctrl 鍵 可 以 使 時 間 加 速 流 逝 ）。 
str_randomize|隨 機 
str_charge|填 充 
str_color|顏 色 
str_flip_horizontal|水 平 翻 轉 
str_flip_vertical|垂 直 翻 轉 
str_hold_fire|停 止 射 擊 
str_blunt_hold_fire|鈍 器/停 止 射 擊 
str_tutorial_ammo_refilled|填 滿 彈 藥。 
str_tutorial_failed|你 失 敗 了。 不 過 不 要 緊。 小 心 地 跟 著 提 示 去 做， 你 就 能 在 下 一 次 完 成 得 更 好。 現 在 請 按「 Tab」 鍵 來 回 到 菜 單， 並 重 新 開 始 教 程。 
str_finished|（ 完 成 ） 
str_delivered_damage|施 加 了 {reg60}點 傷 害。 
str_archery_target_hit|距 離： {reg61}碼。 得 分： {reg60}
str_use_baggage_for_inventory|在 戰 斗 中 你 的 行 李 在 你 開 始 的 地 方。 通 過 行 李 打 開 你 的 物 品 欄。 
str_cant_use_inventory_now|不 能 在 這 裡 打 開 物 品 欄。 
str_cant_use_inventory_arena|不 能 在 這 裡 打 開 物 品 欄。 
str_cant_use_inventory_disguised|不 能 在 偽 裝 時 打 開 物 品 欄。 
str_cant_use_inventory_tutorial|在 訓 練 營 不 能 打 開 物 品 欄。 
str_1_denar|1 第 納 爾 
str_reg1_denars|{reg1}第 納 爾 
str_january_reg1_reg2|{reg2}年 1 月 {reg1}日 
str_february_reg1_reg2|{reg2}年 2 月 {reg1}日 
str_march_reg1_reg2|{reg2}年 3 月 {reg1}日 
str_april_reg1_reg2|{reg2}年 4 月 {reg1}日 
str_may_reg1_reg2|{reg2}年 5 月 {reg1}日 
str_june_reg1_reg2|{reg2}年 6 月 {reg1}日 
str_july_reg1_reg2|{reg2}年 7 月 {reg1}日 
str_august_reg1_reg2|{reg2}年 8 月 {reg1}日 
str_september_reg1_reg2|{reg2}年 9 月 {reg1}日 
str_october_reg1_reg2|{reg2}年 10 月 {reg1}日 
str_november_reg1_reg2|{reg2}年 11 月 {reg1}日 
str_december_reg1_reg2|{reg2}年 12 月 {reg1}日 
str_town_nighttime|現 在 是 深 夜， 街 上 冷 清 清 的。 
str_door_locked|門 鎖 上 了。 
str_castle_is_abondened|城 堡 裡 似 乎 沒 人。 
str_town_is_abondened|鎮 子 無 人 駐 防。 
str_place_is_occupied_by_player|這 裡 被 你 自 己 的 部 隊 把 守 著。 
str_place_is_occupied_by_enemy|這 裡 被 敵 人 把 守 著。 
str_place_is_occupied_by_friendly|這 裡 被 友 軍 把 守 著。 
str_do_you_want_to_retreat|你 確 定 要 撤 退 嗎？ 
str_give_up_fight|放 棄 戰 鬥？ 
str_do_you_wish_to_leave_tutorial|你 想 要 離 開 教 程 嗎？ 
str_do_you_wish_to_surrender|你 想 投 降 嗎？ 
str_can_not_retreat|不 能 撤 退！ 附 近 有 敵 人。 
str_s1_joined_battle_enemy|敵 方 {s1}加 入 戰 鬥。 
str_s1_joined_battle_friend|我 方 {s1}加 入 戰 鬥。 
str_entrance_to_town_forbidden|這 裡 的 守 衛 正 在 搜 尋 敵 人， 你 沒 法 輕 易 從 大 門 溜 進 去。 
str_sneaking_to_town_impossible|這 裡 的 守 衛 警 惕 性 很 高， 不 管 你 怎 麼 偽 裝 都 沒 法 溜 進 去。 
str_battle_won|你 贏 得 了 這 場 戰 鬥！ 
str_battle_lost|你 輸 掉 了 這 場 戰 鬥！ 
str_attack_walls_success|在 一 陣 浴 血 戰 斗 之 後， 你 士 兵 奮 勇 攻 下 了 城 頭。 
str_attack_walls_failure|你 的 守 城 士 兵 在 一 波 又 一 波 的 攻 擊 中 堅 持 到 了 最 後 一 個 人。 
