p_zendar|禪 達 
p_town_1|薩 哥 斯 
p_town_2|提 哈 
p_town_3|維 魯 加 
p_town_4|蘇 諾 
p_town_5|傑 爾 喀 拉 
p_town_6|帕 拉 汶 
p_town_7|烏 克 斯 豪 爾 
p_town_8|日 瓦 丁 
p_town_9|庫 丹 
p_town_10|圖 爾 加 
p_town_11|庫 勞 
p_town_12|窩 車 則 
p_town_13|日 瓦 車 則 
p_town_14|哈 爾 瑪 
p_town_15|亞 倫 
p_town_16|德 赫 瑞 姆 
p_town_17|艾 車 莫 爾 
p_town_18|拉 那 
p_town_19|沙 瑞 茲 
p_town_20|都 庫 巴 
p_town_21|阿 默 拉 德 
p_town_22|巴 瑞 耶 
p_castle_1|庫 兒 瑪 堡 
p_castle_2|馬 勒 格 堡 
p_castle_3|布 魯 加 堡 
p_castle_4|拉 多 吉 爾 堡 
p_castle_5|提 赫 洛 格 堡 
p_castle_6|提 爾 堡 
p_castle_7|薩 吉 徹 堡 
p_castle_8|傑 爾 泊 堡 
p_castle_9|加 米 奇 堡 
p_castle_10|艾 爾 布 克 城 堡 
p_castle_11|庫 林 城 堡 
p_castle_12|切 爾 貝 克 堡 
p_castle_13|凱 爾 瑞 丹 堡 
p_castle_14|馬 拉 斯 堡 
p_castle_15|阿 哥 爾 隆 堡 
p_castle_16|阿 美 拉 堡 
p_castle_17|迪 斯 它 堡 
p_castle_18|依 斯 摩 羅 拉 堡 
p_castle_19|洛 瑪 堡 
p_castle_20|德 其 歐 斯 堡 
p_castle_21|艾 泊 德 勒 斯 堡 
p_castle_22|烏 魯 茲 達 克 堡 
p_castle_23|特 瓦 林 堡 
p_castle_24|雷 恩 迪 堡 
p_castle_25|瑞 泊 萊 特 堡 
p_castle_26|聖 魯 茲 哥 達 堡 
p_castle_27|倫 迪 亞 堡 
p_castle_28|格 魯 恩 沃 德 堡 
p_castle_29|勒 拉 格 堡 
p_castle_30|阿 蘇 岡 堡 
p_castle_31|溫 科 德 堡 
p_castle_32|魯 達 堡 
p_castle_33|艾 特 斯 科 堡 
p_castle_34|赫 魯 斯 堡 
p_castle_35|哈 倫 哥 斯 堡 
p_castle_36|傑 爾 博 格 堡 
