lockitver|DO NOT DELETE THIS LINE! 2896
dlga_award_fief_to_vassal_2:close_window|Wie Ihr wünscht, {Herr/meine Dame}. {reg6?I:{reg7?Ihr:{s11}}} seid der neue Herrscher von {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} wird von niemandem verwaltet. Wen soll ich dafür einsetzen?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Bitte {s65}, Ich möchte {s1} für mich selbst haben. (Lehen: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, Ihr solltet {s1} für Euch selbst haben. (Lehen: {s0})
dlga_center_captured_rebellion_2:close_window|Hmmm. Nun gut, {playername}. Ich schätze Euren Rat hoch. {reg6?I:{reg7?Ihr:{s11}}} werdet {reg3?Herrin:Herr} von {s1}.
dlga_start:fighter_talk|Hallo. Wir verfeinern unsere Kampfkunst hier mit ein bisschen Sparring. Ihr seht aus, als täte etwas Training Euch gut. Macht doch mit, und wir zeigen Euch ein paar Tricks. Und solltet Ihr Erklärungen zu irgendwelchen Kampfkonzepten brauchen, fragt einfach, und ich werde Euch nach Kräften helfen.
dlga_start:fighter_talk.1|Was wollt Ihr üben?
dlga_fighter_pretalk:fighter_talk|Sagt mir, was Ihr üben wollt.
dlga_fighter_talk:fighter_talk_train_attack|Ich will den Angriff üben.
dlga_fighter_talk:fighter_talk_train_parry|Ich will das Blocken mit der Waffe üben.
dlga_fighter_talk:fighter_talk_train_combat|Sparren wir ein bisschen.
dlga_fighter_talk:close_window|[Verlassen]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Nun gut. Der Angriff kommt aus vier generellen Richtungen: Überkopfschwingen, rechts schwingen, links schwingen und Stoßen. Ich werde Euch jetzt zeigen, aus welcher Richtung Ihr angreifen sollt, und Ihr müsst die korrekte Angriffsart ausführen. ^^(Bewegt Eure Maus, während Ihr die linke Maustaste gedrückt haltet, um die Angriffsrichtung zu bestimmen. Um zum Beispiel einen Überkopfangriff auszuführen, bewegt ihr die Maus in dem Moment nach oben, wo Ihr die linke Maustaste drückt. Die Symbole auf Eurem Bildschirm helfen Euch, die richtige Bewegung auszuführen.)
dlga_fighter_talk_train_attack_2:close_window|Fangen wir also an. Ich bin bereit.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Ich würde eigentlich lieber erst etwas anderes tun.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Im Gegensatz zu einem Schild hält das Blocken mit einer Waffe nur Angriffe aus einer Richtung ab. Wenn Ihr z. B. nach oben blockt, lenkt Ihr von oben kommende Angriffe ab, aber könnt trotzdem noch von seitlichen Schwingern oder Stößen getroffen werden. ^^(Ihr müsst zum Blocken die rechte Maustaste gedrückt halten.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Ich werde Euch nun mit verschiedenen Arten von Schlägen angreifen, und ich werde mit meinen Angriffen warten, bis Ihr den richtigen Block angesetzt habt. Versucht, so schnell wie möglich korrekt zu blocken. ^^(Diese Übung ist ganz leicht mit der Einstellung 'automatische Blockrichtung' zu handhaben - dies ist die Voreinstellung. Wenn Ihr im Optionsmenü die Richtungssteuerung zu 'Mausbewegung' oder 'Tastatur' ändert, müsst Ihr die Blockrichtung manuell auswählen. Dies ist viel schwerer, macht aber das Spiel auch viel interessanter. Diese Übung kann sich als sehr nützlich für das manuelle Blocken erweisen.)
dlga_fighter_talk_train_parry_3:close_window|Fangen wir also an. Ich bin bereit.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Ich würde eigentlich lieber erst etwas anderes tun.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Sparring ist eine ausgezeichnete Vorbereitung für den echten Kampf. Wir bekämpfen uns mit ungefährlichen Waffen, bis einer zu Boden fällt. Natürlich kann man sich ein paar Blessuren einfangen, aber immer noch besser, als wie im echten Kampf in Stückchen geschnetzelt zu werden.
dlga_fighter_talk_train_combat_2:close_window|Fangen wir also an. Ich bin bereit.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Ich würde eigentlich lieber erst etwas anderes tun.
dlga_start:fighter_parry_try_again|Gut. Ihr habt meine Angriffe erfolgreich pariert. Ihr könnt diese Übung wiederholen und mit jedem Mal schneller zu werden versuchen, bis Ihr Euch Eurer Verteidigungskünste sicher seid. Noch eine Runde?
dlga_start:fighter_parry_try_again.1|Nun, das war eher weniger brillant, was? (Denkt daran, die rechte Maustaste gedrückt halten, um Euren Block wirkungsvoll zu halten.) Noch eine Runde?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Ja, noch eine.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Nein, das reicht mir erstmal.
dlga_start:fighter_parry_warn|Hey! Wir üben hier Blocken, Kumpel! Ihr sollt meine Angriffe abblocken, nicht mich angreifen.
dlga_fighter_parry_warn:fighter_talk_train_parry|Tut mir leid. Versuchen wir es noch einmal.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Tut mir leid. Ich muss diese Übung jetzt verlassen.
dlga_fighter_talk_leave_parry:close_window|Nun gut. Wie Ihr wünscht.
dlga_start:fighter_combat_try_again|Nun, das war eher weniger brillant, was?  Macht Euch nichts draus, versucht einfach, dieselben Fehler nicht noch einmal zu machen. Noch eine Runde?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Ja, noch eine.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Nein, das reicht mir erstmal.
dlga_fighter_talk_leave_combat:close_window|Alsdann. Sprecht wieder mit mir, wenn Ihr Eure Meinung ändert.
dlga_start:fighter_combat_try_again.1|Hey, das war kein schlechtes Sparring. Ihr habt mich besiegt, aber beim nächsten Mal werde ich vorsichtiger sein. Wollen wir noch eine Runde?
dlga_start:fighter_talk.2|Sehr gut. Ihr habt nun gelernt, aus jeder beliebigen Richtung anzugreifen. Wenn Ihr möchtet, können wir es noch einmal probieren, oder mit einer anderen Übung weitermachen.
dlga_start:archer_challenge_2|Nicht übel, gar nicht übel! Ihr scheint die Grundzüge des Bogenschießens begriffen zu haben. Nun versucht dasselbe mit einer Armbrust. Nehmt die Armbrust und die Bolzen da drüben und schießt auf diese drei Ziele. Die Armbrust ist im Vergleich zum Bogen viel leichter zu schießen, aber Ihr müsst sie nach jedem Schuss neu laden.
dlga_start:archer_challenge_2.1|Gut. Mit der Armbrust hattet Ihr auch wenig Probleme. Als nächstes werdet Ihr den Umgang mit Wurfwaffen erlernen. Nehmt die Wurfspeere dort drüben und versucht, diese drei Ziele zu treffen. 
dlga_start:ranged_end|Nun, damit habt Ihr jetzt die Grundtechniken für den Umgang mit allen drei Arten von Fernwaffen erlernt. Der Rest kommt mit der Übung. Trainiert jeden Tag, und bald werdet Ihr den besten Kämpfern Calradias in nichts nachstehen.
dlga_ranged_end:close_window|Jetzt könnt Ihr mit den Nahkämpfern oder dem Reittrainer sprechen, wenn Ihr es noch nicht getan habt. Sie können Euch auch wichtige Kunstfertigkeiten beibringen.
dlga_start:archer_talk|Guten Tag. Ich verbringen meine Tage damit, jedem, der es lernen will, den Umgang mit Fernwaffen beizubringen. Lasst mich wissen, wenn Ihr einen Lehrer braucht, und ich lehre Euch, wie man mit Bogen, Armbrust und Wurfspeer kämpft.
dlga_archer_talk:archer_challenge|Ja, zeigt mir den Umgang mit Fernwaffen.
dlga_archer_talk:close_window|Nein, nicht jetzt.
dlga_archer_challenge:archer_challenge_2|Nun gut. Eure erste Lektion wird das Bogenschießen sein. Der Bogen ist eine schwierig zu meisternde Waffe. Aber wenn Ihr einmal ein gewisses Können an den Tag legt, könnt Ihr schnell und mit großer Kraft schießen. Nehmt Euch den Bogen und die Pfeile dort drüben und schießt auf diese Ziele.
dlga_archer_challenge_2:close_window|Nun gut. Ich bin bereit.
dlga_archer_challenge_2:close_window.1|Nicht jetzt sofort. Ich muss erst etwas anderes machen.
dlga_start:horseman_melee_challenge_2|Ich hoffe, Ihr habt Euch amüsiert. Jetzt kommen wir zu etwas Schwierigerem. Schnappt Euch die Lanze dort drüben, reitet um den Parcours und trefft dabei jedes Ziel mindestens einmal.
dlga_start:horseman_melee_challenge_2.1|Gut! Ihr habt alle Ziele vom Pferd aus getroffen. Das ist nicht leicht für einen Anfänger. Eure nächste Herausforderung ist, mit Pfeil und Bogen die Ziele an der Straße zu treffen. Ihr müsst einen Pfeil in jedes Ziel bringen, um die Übung erfolgreich abzuschließen.
dlga_start:horsemanship_end|Sehr gut. Ihr habt alle Ziele vom Pferd aus getroffen. Reitet und übt fleißig weiter, und bald werdet Ihr ein Experte im Kampf zu Pferd sein.
dlga_horsemanship_end:close_window|Jetzt könnt Ihr mit den Nahkämpfern oder dem Reittrainer sprechen, wenn Ihr es noch nicht getan habt. Ihr müsst so viel wie möglich lernen, um bereit zu sein, wenn Ihr Euch verteidigen müsst.
dlga_start:horseman_talk|Guten Tag! Ich bin gekommen, um meine Reitkunst zu üben, aber meine alten Knochen schmerzen so schlimm, dass ich mir heute eine Pause gönne. Wenn Ihr Eure Reitkunst üben wollt, könnt Ihr mein Pferd hier nehmen. Der Ausritt wird ihr gut tun.
dlga_horseman_talk:horseman_challenge|Ja, ich möchte Reiten üben.
dlga_horseman_talk:close_window|Äh... vielleicht später.
dlga_horseman_challenge:horseman_melee_challenge_2|Gut. Jetzt werde ich Euch einige Übungen geben, die Euch das Reiten und den Waffengebrauch zu Pferde beibringen. Eure erste Aufgabe ist simpel: Reitet einfach Euer Pferd um den Parcours, so langsam oder schnell wie Ihr wollt. Kommt wieder, wenn Ihr Euch mit dem Reiten vertraut fühlt, und ich gebe Euch dann ein paar schwierigere Übungen.
dlga_horseman_melee_challenge_2:close_window|Nun gut. Ich bin bereit.
dlga_horseman_melee_challenge_2:close_window.1|Nicht jetzt sofort. Ich muss erst etwas anderes machen.
dlga_tutorial_troop_default:close_window|Hey, ich versuche hier zu üben. Redet mit dem Bogentrainer, wenn Ihr etwas über Fernwaffen erfahren wollt.
dlga_start:lord_prison_break_confirm_3|Haben sich die Pläne geändert?
dlga_start:lord_prison_break|Was geschieht?
dlga_start:drunk_response|Was schaut Ihr so?
dlga_player_duel_response:close_window|Was für eine Verschwendung ...
dlga_player_duel_response:close_window.1|Besser er als ich.
dlga_drunk_response:drunk_fight_start|Ich bin mir nicht sicher ... irgendein Tier.
dlga_drunk_response:drunk_fight_start.1|Verzeiht mir – bitte nehmt meine Entschuldigung an.
dlga_drunk_fight_start:close_window|Euch wird das Grinsen schon noch vergehen!
dlga_drunk_response:drunk_player_high_renown|Habt Ihr auch nur die geringste Ahnung, wer vor Euch steht?
dlga_drunk_player_high_renown:drunk_player_high_renown|Ähhh ... Eigentlich ... Doch, doch, ich weiß, wer Ihr seid, {Herr/Herrin}. Bitte vergebt mir, Euer Durchlaucht – ich hatte wohl zuviel Met. Ich werde mich empfehlen, jetzt sofort ...
dlga_drunk_player_high_renown:close_window|Wundert micht nicht. Also, packt Euch hinfort!
dlga_start:fistfight_response|Ihr seht wie jemand aus, der ordentlich was einstecken und auch austeilen kann. Lasst mich Euch ein Geschäft unterbreiten.
dlga_fistfight_response:fistfight_response_2|Worum geht's?
dlga_fistfight_response_2:fistfight_response_2a|Gut – Euer Interesse erfreut mich. Hier ist mein Plan ... Er ist ein bisschen kompliziert, also hört gut zu.
dlga_fistfight_response_2a:fistfight_response_3|Ihr und dieser andere Kerl werdet hier einen Kampf beginnen. Keine Waffen, keine Rüstungen – ich werde im Hintergrund Wetten annehmen und den Gewinn mit dem Sieger teilen. Sollten wir Verlust machen, stehe ich dafür gerade. Ihr habt also nichts zu verlieren ... außer ein bisschen Blut natürlich.
dlga_fistfight_response_3:fistfight_response_4|Wir können das natürlich nicht so organisieren wie einen dieser schönen Arenakämpfe, wo jeder seine Wette vor dem Kampf abschließt. Die Leute werden eher von dem Lärm angezogen und einen Dinar oder zwei auf den setzen, dem sie den Sieg zutrauen. Ich werde ihnen gleiche Chancen geben – alles andere ist für Leute, die bereits das dritte Bier hinter sich haben, deutlich zu kompliziert. 
dlga_fistfight_response_4:fistfight_response_4a|Also, es ist wichtig, den Kampf so lange wie möglich hinaus zu zögern, wenn es so aussieht, als verlöret Ihr ...  die Leute werden gegen Euch wetten! Dreht den Kampf dann, und gewinnt ihn, bevor sich die Wetten ändern. Am besten verdient ihr, wenn Ihr Euch zu Boden schlagen lasst, und dann aufspringt und den anderen Kerl plättet. Aber Ihr müsst den Kampf letztendlich gewinnen, damit Ihr und ich Geld verdient.
dlga_fistfight_response_4a:fistfight_response_5|Würdet Ihr den Kampf zu lange hinauszögern, kämen uns die Leute auf die Schliche. Einer von Euch beiden muss also ordentlich was einstecken. Wessen Blut vergossen wird, ist mir dabei egal. Aber Blut muss fließen!
dlga_fistfight_response_5:fistfight_response_5a|Oh, noch was: Mein Kumpel, Euer Gegner, er hat es nicht so mit komplexen Dingen. Er wird Euch wie ein Stier angreifen. Für die künsterlischen Aspekte des Kampfes seid Ihr zuständig.
dlga_fistfight_response_5a:fistfight_response_confirm|Also, was meint Ihr?
dlga_fistfight_response_confirm:close_window|[Ja -- not yet implemented]
dlga_fistfight_response_confirm:close_window.1|Ich habe Besseres zu tun.
dlga_start:ramun_introduce_1|Guten Tag, {junger Mann/junge Frau}.
dlga_ramun_introduce_1:ramun_introduce_2|Vergebt mir - Ihr seht wie ein Händler aus, doch Ihr scheint keine Waren zu haben.
dlga_ramun_introduce_1:close_window|Schon gut.
dlga_ramun_introduce_2:ramun_introduce_3|Ein Händler? Oh, das bin ich fürwahr. Mein Angebot unterscheidet sich jedoch von dem der meisten anderen Händler: Es muss zweimal täglich gefüttert und getränkt werden, und wenn ich ihm den Rücken zuwende, nimmt es Reißaus.
dlga_ramun_introduce_3:ramun_introduce_4|Vieh?
dlga_ramun_introduce_4:ramun_introduce_5|Nahe dran. Ich bezeichne mich gerne als den Mann, der alle Schiffe auf diesem Meer in Bewegung hält, denn Schiffe werden von Rudern angetrieben, und Ruder müssen von Männern bedient werden. Ansonsten sind sie nutzlos. Und genau da komme ich ins Spiel.
dlga_ramun_introduce_5:ramun_introduce_6|Galeerensklaven.
dlga_ramun_introduce_6:ramun_introduce_7|Jetzt habt Ihr es begriffen! Ein Handelshafen wie dieser könnte ohne sie nicht überleben. Da die Schiffe auf jeder Fahrt einige Matrosen einbüßen, herrscht ständig hoher Bedarf. Die Kapitäne kommen zu mir - und sie zahlen gut.
dlga_ramun_introduce_7:ramun_introduce_8|Woher kommen die Sklaven?
dlga_ramun_introduce_8:ramun_introduce_9|Meistens handle ich mit verurteilten Verbrechern, die ich der Obrigkeit abkaufe. Auch Kriegsgefangene aus verschiedenen Ländern habe ich im Angebot, denn ich biete gute Preise, und so bringt man sie mir. Gelegentlich kaufe ich auch von Freibeutern und anderen . . . 'Individuen'. Bei dieser Arbeit darf man sich nicht darum scheren, woher die Ware kommt. Ihr habt nicht zufällig ein paar Gefangene dabei, die Ihr loswerden wollt?
dlga_ramun_introduce_9:ramun_introduce_10|Ich? 
dlga_ramun_introduce_10:ramun_introduce_11|Warum denn nicht? Wenn Ihr diese Stadt verlasst, werdet Ihr früher oder später mit jemandem die Klingen kreuzen müssen - und, so Gott will, dabei die Oberhand behalten. Was wäre denn Schlimmes dabei, dadurch ein bisschen nebenbei zu verdienen? Ich zahle Euch zwanzig Dinare pro Kopf für jeden lebendigen Gefangenen. Wer sie sind und woher sie kommen interessiert mich nicht besonders.
dlga_ramun_introduce_11:ramun_introduce_12|Hmmm. Ich werde darüber nachdenken.
dlga_ramun_introduce_12:close_window|Ja, macht das! In diesem Geschäft steckt reichlich Geld, soviel ist sicher. Mehr als genug für uns beide.
dlga_start:ramun_talk|Hallo, {playername}.
dlga_ramun_pre_talk:ramun_talk|Sonst noch was?
dlga_ramun_talk:ramun_sell_prisoners|Ich habe einige Gefangene für Euch, Ramun. Wollt Ihr einen Blick auf sie werfen?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Lasst mich mal sehen ...
dlga_ramun_sell_prisoners_2:close_window|War eine Freude, mit Euch Geschäfte zu machen.
dlga_ramun_talk:ramun_ask_about_capturing|Wie nehme ich jemanden als Gefangenen?
dlga_ramun_talk:ramun_ask_about_capturing.1|Könnt Ihr mir noch einmal über das Festsetzen von Gefangenen erzählen?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Ihr seid noch etwas grün hinter den Ohren, nicht wahr? Ich werde mich besser in einfache Worte fassen: Zuallererst müsst Ihr Euren zukünftigen Gefangenen mit einer stumpfen Waffe niederstrecken, zum Beispiel einem Streitkolben oder einem Knüppel. Mit Schwertern gibt sowas eher eine ziemliche Sauerei. Also ganz einfach: Stumpfe Waffen führen zu Nickerchen, scharfe Waffen zu Blutbädern. Ihr führt doch sicherlich eine stumpfe Waffe mit Euch ...?
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Selbstverständlich.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Momentan leider nicht.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Gut. Jetzt müsst Ihr den Mistkerl nur noch mit Eurer Waffe niederstrecken und ihn nach Ende der Kampfhandlungen in Eisen schlagen. Bei Adligen und so weiter verhält es sich etwas anders, da sie meistens besseren Körperpanzer tragen: Ihnen könnt Ihr mit jeder Art von Waffe zu Leibe rücken, doch das übliche Gesindel wird wie eine angestochene Sau bluten, wenn Ihr euch mit einer scharfen Waffe an ihm versucht. Ich stelle an angelieferte Ware keine besonderen Bedingungen, aber atmen sollten sie schon noch, wenn ich sie kaufe.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Nein? Ha, das muss Euer Glückstag sein: Ich habe hier noch einen alten Knüppel, den ich wegwerfen wollte. Er ist ein bisschen abgenutzt, aber er reicht aus, um jemand besinnungslos zu schlagen. Hier, für Euch.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Danke, Ramun. Vielleicht sollte ich es einmal damit versuchen.
