lockitver|DO NOT DELETE THIS LINE! 2896
fac_no_faction|Keine Fraktion
fac_commoners|Gemeine
fac_outlaws|Gesetzlose
fac_neutral|Neutral
fac_innocents|Unschuldige
fac_merchants|Kaufleute
fac_player_faction|Spielerfraktion
fac_player_supporters_faction|Unterstützer des Spielers
fac_kingdom_1|Königreich Swadien
fac_kingdom_2|Königreich Vaegirs
fac_kingdom_3|Khanat Khergit 
fac_kingdom_4|Königreich von Nords
fac_kingdom_5|Königreich von Rhodoks
fac_kingdom_6|Sarranidisches Sultanat
fac_manhunters|Menschenjäger
fac_deserters|Deserteure
fac_mountain_bandits|Gebirgsbanditen
fac_forest_bandits|Waldbanditen
