lockitver|DO NOT DELETE THIS LINE! 2896
menu_start_game_0|Willkommen bei Mount & Blade: Warband, Abenteurer. Bevor Ihr das Spiel beginnen könnt, müsst Ihr einen Charakter erstellen. Vergesst nicht, dass im Spiel eine traditionelle mittelalterliche Gesellschaft dargestellt wird, in der Krieg und Politik üblicherweise von den männlichen Adeligen  dominiert werden. Das sollte Euch aber nicht davon abschrecken, einen weiblichen Charakter zu spielen, oder einen Gemeinen. Männliche Adlige haben es bei Spielbeginn zwar etwas leichter, doch Frauen und Gemeine können dieselben Ziele erreichen – und deren Spiel kann sich weitaus interessanter gestalten, wenn anfangs auch etwas schwerer.
mno_continue|Weiter ...
mno_go_back|Zurück.
menu_start_phase_2|Ihr hört von Calradia, einem Land zerrissen vom Machtkampf zwischen rivalisierenden Königreichen, ein Paradies für Ritter und Söldner, Schurken und Abenteurer, alle auf der Suche nach Reichtum, Macht oder Ruhm ... Ihr glaubt, in diesem Land großer Gefahren und noch größerer Gelegenheiten Eure Vergangenheit hinter Euch lassen und ein neues Leben beginnen zu können. In diesem Moment, auf einer Anhöhe über einem fernen Übungsplatz, habt Ihr endlich das Gefühl, den Schlüssel zu Eurem Schicksal in Euren Händen zu halten, freie Entscheidungen treffen zu können, und dass großartige Abenteuer auf Euch warten - ganz gleich, welchen Weg Ihr einschlagt. Inspiriert von den Geschichten, die Ihr über Calradia gehört habt …
mno_town_1|schließt Ihr Euch einer Karawane nach Praven im swadischen Königreich an.
mno_town_2|schließt Ihr Euch einer Karawane nach Reyvadin im Vaegir-Königreich an.
mno_town_3|schließt Ihr Euch einer Karawane nach Tulga im Khergit-Khanat an.
mno_town_4|besteigt Ihr ein Schiff nach Sargot im Nord-Königreich
mno_town_5|besteigt Ihr ein Schiff nach Jelkala im Rhodok-Königreich
mno_town_6|schließt Ihr Euch einer Karawane nach Shariz im sarranidischen Sultanat an.
menu_start_game_3|Wählt Eurer Szenario:
menu_tutorial|Ihr nähert Euch einem Feld, auf dem die Ortsbewohner mit Waffen üben. Hier könnt Ihr Eure Kampffertigkeiten verbessern.
mno_go_back_dot|Zurück.
menu_reports|Charakter-Ansehen: {reg5}^Ehrenwertung: {reg6}^Truppmoral: {reg8}^Truppgrößenbeschränkung: {reg7}^
mno_view_character_report|Charakterbericht ansehen.
mno_view_party_size_report|Truppgröße einsehen.
mno_view_npc_mission_report|Gefährtenmissionsbericht einsehen.
mno_view_weekly_budget_report|Wöchentlichen Budgetbericht einsehen.
mno_view_morale_report|Truppmoral einsehen.
mno_courtship_relations|Brautwerbungsbeziehungen einsehen.
mno_view_faction_relations_report|Fraktionsbeziehungen einsehen.
mno_resume_travelling|Weiterreisen.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|Die Schlacht ist vorüber. {s1} Eure Seite tötete {reg5} Feinde und verlor {reg6} Soldaten in diesem Gefecht. Ihr selbst überwandet {reg7} Männer im Kampfe.
menu_start_game_1|Wählt das Geschlechts Eures Charakters aus.
mno_start_male|Männlich
mno_start_female|Weiblich
menu_start_character_1|Ihr wurdet vor vielen Jahren in einem fernen Land geboren. Euer Vater war...
mno_start_noble|Ein verarmter Adliger.
mno_start_merchant|Ein Handelsreisender.
mno_start_guard|Ein Kriegsveteran.
mno_start_forester|Ein Jäger.
mno_start_nomad|Ein Steppennomade.
mno_start_thief|Ein Dieb.
menu_start_character_2|{s10}^^ Sobald Ihr sprechen und laufen konntet, begannt Ihr, die Welt zu erlernen. Ihr verbrachtet Eure frühen Jahre als...
mno_page|Page am Hof eines Adligen.
mno_apprentice|Lehrling eines Handwerkers.
mno_stockboy|Ladenverkäufer.
mno_urchin|Gassenkind.
mno_nomad|Steppenkind.
menu_start_character_3|{s11}^^ Als junger Erwachsener wandelte sich Euer Leben. Ihr wurdet...
mno_squire|Ein Junker.
mno_lady|Eine Zofe.
mno_troubadour|Ein Troubadour.
mno_student|Ein Universitätsstudent.
mno_peddler|Ein fliegender Händler.
mno_craftsman|Ein Schmied.
mno_poacher|Ein Wilderer.
menu_start_character_4|{s12}^^Aber schon bald änderte sich alles, und Ihr beschlosst, es auf eigene Faust als Abenteurer zu versuchen. Der Grund für diese Entscheidung war...
mno_revenge|Rache.
mno_death|Der Verlust eines geliebten Menschen.
mno_wanderlust|Wanderlust.
mno_disown|Hinauswurf aus dem eigenen Heim.
mno_greed|Verlangen nach Geld und Macht.
menu_choose_skill|{s13}
mno_begin_adventuring|Werdet ein Abenteurer und reitet Eurer Bestimmung entgegen.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Ihr schlagt ein Lager auf. Was wollt Ihr tun?
mno_camp_action|Aktion vornehmen.
mno_camp_wait_here|Einige Zeit hier warten.
mno_camp_cheat|CHEAT MENU!
menu_camp_cheat|Select a cheat:
mno_camp_cheat_find_item|Wetter ändern.
menu_camp_action|Wählt eine Handlung aus:
mno_camp_recruit_prisoners|Rekrutiert einige Eurer Gefangenen in Euren Trupp.
mno_action_read_book|Wählt ein Buch zum Lesen aus.
mno_action_rename_kingdom|Benennt Euer Königreich um.
mno_action_retire|Zieht Euch aus dem Abenteurerleben zurück.
mno_camp_action_4|Zurück zum Lagermenü.
menu_camp_recruit_prisoners|Ihr bietet Euren Gefangenen die Freiheit, wenn sie sich Euch als Soldaten anschließen. {s18}
mno_camp_recruit_prisoners_accept|Nehmt sie.
mno_camp_recruit_prisoners_reject|Weist sie zurück.
menu_camp_no_prisoners|Ihr habt keine Gefangenen zum Rekrutieren.
menu_camp_action_read_book|Wählt ein Buch zum Lesen aus:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Man schreibt Tag {reg0}. Euer momentanes Glück ist {reg1}. Seid Ihr sicher, in den Ruhestand gehen zu wollen?
mno_retire_yes|Ja.
mno_retire_no|Nein.
menu_end_game|Die Entscheidung wurde getroffen, und Ihr gebt nun Euer Abenteurerleben auf und lasst Euch nieder. Ihr verkauft Eure Waffen und Rüstung, nehmt Euer Geld und reitet in den Sonnenuntergang von dannen ...
mno_end_game_bye|Lebt wohl.
menu_cattle_herd|Ihr trefft auf eine Herde Vieh.
mno_cattle_drive_away|Treibt das Vieh weiter.
mno_cattle_stop|Haltet die Herde an.
mno_cattle_kill|Schlachtet ein paar der Tiere.
mno_leave|Verlassen
menu_cattle_herd_kill|Wie viele Tiere wollt Ihr schlachten?
mno_cattle_kill_1|Eins.
mno_cattle_kill_2|Zwei.
mno_cattle_kill_3|Drei.
mno_cattle_kill_4|Vier.
mno_cattle_kill_5|Fünf.
menu_arena_duel_fight|Ihr und Euer Gegner bereitet euch auf das Duell vor.
menu_simple_encounter|{s2} Ihr habt {reg10} Soldaten, die gegen ihre {reg11} kämpfen können.
mno_encounter_attack|Greift den Feind an.
mno_encounter_order_attack|Befehlt Euren Soldaten, ohne Euch anzugreifen.
mno_encounter_leave|Weiterziehen.
mno_encounter_retreat|Zieht Euch zurück und lasst ein paar Soldaten zurück, die Euren Rückzug decken.
mno_encounter_surrender|Ergebt Euch.
menu_encounter_retreat_confirm|Als das Truppmitglied mit der höchsten taktischen Fertigkeit, ({reg2}), {reg3?entwerft Ihr: entwirft {s3}} einen Plan, der Euch und Euren Männern erlaubt, mit dem Leben davon zu kommen, aber Ihr müsst {reg4} Soldaten zurücklassen, um den Feind an der Verfolgung zu hindern.
mno_leave_behind|Weiter. Das Opfer dieser Männer wird die anderen retten.
mno_dont_leave_behind|Nein. Wir lassen niemanden zurück.
menu_encounter_retreat|Ihr befehlt {reg4} Eurer Soldaten, den Feind aufzuhalten, während Ihr mit dem Rest Eures Trupps flieht.
menu_order_attack_begin|Eure Soldaten bereiten sich auf den Angriff vor.
mno_order_attack_begin|Gebt den Angriffsbefehl.
mno_call_back|Ruft sie zurück.
menu_order_attack_2|{s4}^^Eure Verluste: {s8}^^Feindliche Verluste: {s9}
mno_order_attack_continue|Befehlt Euren Soldaten, weiter anzugreifen.
mno_order_retreat|Ruft Eure Soldaten zurück.
menu_battle_debrief|{s11}^^Eure Verluste:{s8}{s10}^^Feindliche Verluste:{s9}
menu_total_victory|Ihr solltet dies eigentlich nicht lesen ... {s9}
menu_enemy_slipped_away|{s17}
menu_total_defeat|Ihr solltet dies eigentlich nicht lesen ...
menu_permanent_damage|{s0}
mno_s0|{s0}
menu_pre_join|Ihr werdet Zeuge eines Gefechts zwischen {s2} und {s1}. Ihr entscheidet Euch dazu ...
mno_pre_join_help_attackers|Einzugreifen und den {s2} zu helfen.
mno_pre_join_help_defenders|Den {s1} zu Hilfe zu kommen.
mno_pre_join_leave|Euch nicht einzumischen.
menu_join_battle|Ihr helft den {s2} gegen die {s1}. Ihr habt {reg10} Soldaten, die gegen die {reg11} des Feindes kämpfen können.
mno_join_attack|Greift den Feind an.
mno_join_order_attack|Befehlt Euren Soldaten, mit Euren Verbündeten anzugreifen, während Ihr zurückbleibt.
mno_join_leave|Weiterziehen.
menu_join_order_attack|{s4}^^Eure Verluste: {s8}^^Verluste Verbündete: {s9}^^Feindliche Verluste: {s10}
menu_zendar|Ihr kommt in die Stadt Zendar.
mno_zendar_enter|
mno_zendar_enter_door|Tür zum Stadtzentrum.
mno_zendar_tavern|
mno_zendar_tavern_door|Tür zur Schänke.
mno_zendar_merchant|
mno_zendar_merchant_door|Tür zum Händler.
mno_zendar_arena|
mno_zendar_arena_door|Tür zur Arena.
mno_town_1_leave|
menu_salt_mine|Ihr kommt in die Salzmine.
mno_enter|Eintreten
menu_four_ways_inn|Ihr erreicht die Herberge zu den Vier Pfaden.
menu_test_scene|You enter the test scene.
menu_battlefields|Wählt ein Feld aus ...
mno_enter_f1|Feld 1
mno_enter_f2|Feld 2
mno_enter_f3|Feld 3
mno_enter_f4|Feld 4
mno_enter_f5|Feld 5
menu_dhorak_keep|Ihr kommt in den Bergfried Dhorak.
menu_join_siege_outside|{s1} wird belagert von {s2}.
mno_approach_besiegers|Nähert Euch dem Lager der Belagerer.
mno_pass_through_siege|Geht durch die Belagerungslinien und tretet in {s1} ein.
menu_cut_siege_without_fight|Die Belagerer lassen Euch ungehinderten Zutritt zu den Toren.
menu_besiegers_camp_with_allies|{s1} bleibt belagert. Die Banner von {s2} wehen über dem Lager der Belagerer, wo man Euch und Eure Männer willkommen heißt
mno_talk_to_siege_commander|Bitter darum, den Befehlshaber zu treffen.
mno_join_siege_with_allies|Schließt Euch dem nächsten Angriff an.
mno_join_siege_stay_back|Befehlt Euren Soldaten, sich dem nächsten Angriff ohne Euch anzuschließen.
menu_castle_outside|Ihr seid außerhalb {s2}.{s11} {s3} {s4}
mno_approach_gates|Nähert Euch dem Tor und ruft die Wachen an.
mno_town_sneak|Tarnt Euch und versucht, ungesehen in die Stadt zu kommen.
mno_castle_start_siege|Belagert die {reg6?Stadt:Burg}.
mno_castle_leave|Weiterziehen.
menu_castle_guard|Ihr nähert Euch dem Tor. Die Männer auf den Mauern beobachten Euch genau.
mno_request_shelter|Bittet um Einlass in die Burg.
mno_request_meeting_commander|Erbittet ein Treffen mit jemandem.
mno_guard_leave|Weiterziehen.
menu_castle_entry_granted|Nach kurzer Wartezeit öffnen die Wachen die Tore und gewähren Euch und Eurem Trupp Einlass.
menu_castle_entry_denied|Der Herr dieser Burg hat Euch den Zutritt verwehrt, und der Wachsergeant teilt Euch mit, dass seine Männer schießen werden, wenn Ihr näher kommt.
menu_castle_meeting|Mit wem wollt Ihr Euch treffen?
mno_guard_meet_s5|{s5}.
mno_forget_it|Vergesst es.
menu_castle_meeting_selected|Eure Bitte um ein Treffen wird im Inneren weitergegeben, und schließlich erscheint {s6} im Burghof, um mit Euch zu sprechen.
menu_castle_besiege|Ihr belagert {s1}. {s2} {s3}
mno_siege_request_meeting|Verlangt ein Treffen mit dem Befehlshaber der Burg.
mno_wait_24_hours|Wartet bis morgen.
mno_castle_lead_attack|Führt Eure Soldaten zum Angriff.
mno_attack_stay_back|Befehlt Euren Soldaten, anzugreifen, während Ihr Euch zurück haltet ...
mno_build_ladders|Bereitet Leitern vor, um die Mauern anzugreifen.
mno_build_siege_tower|Errichtet einen Belagerungsturm.
mno_lift_siege|Belagerung abbrechen.
menu_siege_attack_meets_sally|Die Verteidiger stürmen heraus, um sich Eurem Angriff zu stellen.
menu_castle_besiege_inner_battle|{s1}
menu_construct_ladders|Als das Truppmitglied mit der höchsten Baumeisterfertigkeit ({reg2}), {reg3?schätzt Ihr:schätzt {s3}}, dass es {reg4} Stunden dauern wird, ausreichend Sturmleitern zu bauen.
mno_build_ladders_cont|So sei es.
menu_construct_siege_tower|Als das Truppmitglied mit der höchsten Baumeisterfertigkeit ({reg2}), {reg3?schätzt Ihr:schätzt {s3}}, dass der Bau eines Belagerungsturms {reg4} Stunden dauern wird.
mno_build_siege_tower_cont|Beginnt mit dem Bau.
menu_castle_attack_walls_simulate|{s4}^^Eure Verluste:{s8}^^Feindliche Verluste waren: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Eure Verluste: {s8}^^Verluste Verbündete: {s9}^^Feindliche Verluste: {s10}
menu_castle_taken_by_friends|Hier gibt es nichts zu sehen.
menu_castle_taken|${s3} ist Euren Truppen in die Hände gefallen, und Ihr kontrolliert nun die {reg2?Stadt:Burg}.{reg1? Ihr könnt hier Truppen stationieren, um sie gegen Rückeroberungsversuche zu verteidigen. Außerdem solltet Ihr Euch jetzt entscheiden, ob Ihr die {reg2?Stadt:Burg} selbst halten oder einem vertrauenswürdigen Vasall geben wollt.
menu_castle_taken_2|{s3} ist Euren Soldaten in die Hände gefallen, und nun habt Ihr die Kontrolle über die Burg. Es ist Zeit, Kunde über Euren Sieg nach {s9} auszusenden. {s5}
mno_castle_taken_claim|Fordert, dass {s3} Euch übergeben wird.
mno_castle_taken_claim_2|Verlangt, dass {s3} Eurem Ehepartner zugewiesen wird.
mno_castle_taken_no_claim|Verlangt keine Belohnung.
menu_requested_castle_granted_to_player|Ihr erhaltet eine Nachricht von Eurem Fürsten, {s3}.^^ {reg4?Sie:Er} hat beschlossen, Euch {s2}{reg3? und das anliegende Dorf {s4}:} zu übertragen, einschließlich allen anfallenden Einkommen und Titeln, um es in {reg4?seinem:ihrem} Namen so lange zu verwalten, wie Ihr Euren Treueschwur haltet ...
menu_requested_castle_granted_to_player_husband|Ihr erhaltet eine Nachricht von Eurem Fürsten, {s3}.^^ {reg4?Sie:Er} hat beschlossen, Eurem Gatten, {s7}, {s2}{reg3? und das anliegende Dorf {s4}:} zu übertragen.
