lockitver|DO NOT DELETE THIS LINE! 2896
str_no_string|NO STRING!
str_empty_string|
str_yes|Ja.
str_no|Nein.
str_blank_string|
str_noone|niemand
str_s50_and_s51|{s50} und {s51}
str_s52_and_s51|{s52} und {s51}
str_s5_s_party|{s5}s Trupp
str_given_by_s1_at_s2|Ausgegeben von {s1} in {s2}
str_given_by_s1_in_wilderness|Ausgegeben von {s1} im Feld
str_s7_raiders|{s7} Räuber
str_bandits_eliminated_by_another|Die lästigen Banditen wurden von einem anderen Trupp eliminiert.
str_msg_battle_won|Gefecht gewonnen! Drückt die Tab-Taste zum Verlassen ...
str_tutorial_map1|Ihr seht nun die Weltkarte. Linksklickt auf die Karte, um Euren Trupp zur angeklickten Stelle zu bewegen, die ausgewählte Stadt betreten zu lassen, oder den ausgewählten Trupp zu verfolgen. Die Zeit pausiert auf der Weltkarte, wenn Euer Trupp nicht marschiert, wartet oder Rast macht. Um an einer Stelle zu warten, drückt und haltet die Leertaste.
str_charge|Angriff
str_color|Farbe
str_flip_horizontal|Horizontal umkehren
str_flip_vertical|Vertikal umkehren
str_hold_fire|Feuer einstellen
str_blunt_hold_fire|Stumpfe Waffen/Feuer einstellen
str_tutorial_ammo_refilled|Aufmunitioniert
str_tutorial_failed|Dieses Mal wurdet Ihr geschlagen, doch keine Sorge. Befolgt die Anweisungen sorgsam, und das nächste Mal wird viel besser. Drückt die Tab-Taste, um zum Menü zurückzukehren, wo Ihr dieses Tutorial erneut durchlaufen könnt.
str_finished|(Fertig)
str_delivered_damage|{reg60} Schaden zugefügt.
str_archery_target_hit|Distanz: {reg61} Schritt. Punkte: {reg60}
str_use_baggage_for_inventory|In Eurer Truhe findet Ihr während des Gefechts Euer Inventar (sie befindet sich bei Eurer Startposition).
str_cant_use_inventory_now|Inventar kann jetzt nicht geöffnet werden.
str_cant_use_inventory_arena|Inventar kann in der Arena nicht geöffnet werden.
str_cant_use_inventory_disguised|Inventar kann nicht geöffnet werden, wenn Ihr getarnt seid.
str_cant_use_inventory_tutorial|Inventar kann im Übungslager nicht geöffnet werden.
str_1_denar|1 Dinar
str_reg1_denars|{reg1} Dinare
str_january_reg1_reg2|{reg1}. Januar {reg2}
str_february_reg1_reg2|{reg1}. Februar {reg2}
str_march_reg1_reg2|{reg1}. März {reg2}
str_april_reg1_reg2|{reg1}. April {reg2}
str_may_reg1_reg2|{reg1}. Mai {reg2}
str_june_reg1_reg2|{reg1}. Juni {reg2}
str_july_reg1_reg2|{reg1}.Juni {reg2}
str_august_reg1_reg2|{reg1}. August {reg2}
str_september_reg1_reg2|{reg1}. September {reg2}
str_october_reg1_reg2|{reg1}. Oktober {reg2}
str_november_reg1_reg2|{reg1}. November {reg2}
str_december_reg1_reg2|{reg1}. Dezember {reg2}
str_town_nighttime|Es ist spät am Abend und ehrliche Menschen sind längst nicht mehr auf der Straße.
str_door_locked|Die Tür ist verriegelt.
str_castle_is_abondened|Die Burg scheint unbesetzt.
str_town_is_abondened|Die Stadt hat keine Garnison zu ihrer Verteidigung.
str_place_is_occupied_by_player|Der Ort ist wird von Euren eigenen Truppen gehalten.
str_place_is_occupied_by_enemy|Der Ort ist wird von feindlichen Truppen gehalten.
str_place_is_occupied_by_friendly|Der Ort ist wird von verbündeten Truppen gehalten.
str_do_you_want_to_retreat|Seid Ihr sicher, Euch zurückziehen zu wollen?
str_give_up_fight|Den Kampf aufgeben?
str_do_you_wish_to_leave_tutorial|Wünscht Ihr das Tutorial zu verlassen?
str_do_you_wish_to_surrender|Wünscht Ihr zu kapitulieren?
str_can_not_retreat|Rückzug nicht möglich, es sind Feinde in der Nähe!
str_s1_joined_battle_enemy|{s1} hat sich dem Gefecht auf Feindesseite angeschlossen.
str_s1_joined_battle_friend|{s1} hat sich dem Gefecht auf Eurer Seite angeschlossen.
str_entrance_to_town_forbidden|Die Stadtwachen halten Ausschau nach Eindringlingen, und es scheint nicht, dass Ihr unbehelligt durch die Tore kommen könnt.
str_sneaking_to_town_impossible|Die Stadtwachen sind alarmiert. Ihr könnt nicht unerkannt durch das Tor schlüpfen, wie gut Eure Verkleidung auch sein mag.
str_battle_won|Ihr habt das Gefecht gewonnen!
str_battle_lost|Ihr habt das Gefecht verloren!
str_attack_walls_success|Nach einem blutigen Kampf haben Eure tapferen Soldaten es geschafft, die Mauern dem Feind aus den Händen zu reißen.
