lockitver|DO NOT DELETE THIS LINE! 2896
ip_morale|Moral
ip_morale_text|Die Moral repräsentiert die Fähigkeit und Bereitschaft der Soldaten eines Trupps, die Ausdauer, Tapferkeit und Disziplin abzurufen, die sie für die Anstrengungen von Marsch und Gefecht benötigen. Dies ist nicht gleichbedeutend mit der Zufriedenheit der Truppen. Selbst Elitesoldaten können murren und sich über die Entbehrungen auf Feldzügen beklagen – nur um dann ihren Mann zu stehen, wenn die Pfeile fliegen. Wenn ein Kommandant seinen Männern alles gibt, nach was es ihnen verlangt, kann es andererseits aber auch passieren, dass sie zu weich werden und beim Angriff des Feindes kneifen.^^ Den größten Einfluss hat die Moral auf das Verhalten eines Trupps in der Schlacht: Sie legt fest, wie aggressiv die Soldaten den Feind angreifen, und wie wahrscheinlich sie Fersengeld geben, wenn sie den Eindruck gewinnen, dass sich das Schlachtenglück gegen sie wendet. Die Moral beeinflusst auch die Marschgeschwindigkeit eines Trupps: Weniger motivierte Soldaten marschieren langsamer, da sie nicht an ihre körperlichen Grenzen gehen, und rasten außerdem häufiger, damit Nachzügler aufschließen können.  Trupps mit sehr niedriger Moral verlieren schließlich auch Soldaten Fahnenflucht.^^ Einige die Moral betreffende Faktoren sind intuitiv: Ein charismatischer Kommandeur mit einer Reputation für Siege im Gefecht kann seinen Mannen mehr Selbstvertrauen einflößen. Anführer, die ihren Soldaten genug und ausgewogen zu essen geben, und sie rechtzeitig bezahlen, zeigen so, dass ihnen das Wohlergehen ihres Trupps am Herzen liegt und sie ihre Soldaten mit geringerer Wahrscheinlichkeit ins Verderben führen.^^ Andere Faktoren sind dagegen weniger intuitiv – besonders jene, die sich auf den Gruppenzusammenhalt eines Trupps beziehen. Angehörige eines kleinen, verschworenen Trupps kämpfen beispielsweise oft verbissen gegen einschüchternde Übermachten, um vor ihren Kameraden keine Feigheit zu zeigen. Der Zusammenhalt eines großen Trupps dagegen kann schwächer ausfallen, da der Kommandeur weniger Zeit hat, seine Männer zu beaufsichtigen, sich ihre Sorgen anzuhören und ihre Streite zu schlichten. Häufige Gefechte steigert die Verbundenheit der Soldaten untereinander, während lange Phase ohne Kämpfe die Truppen langweilt und sie zänkisch macht.^^ Der Moralbericht, verfügbar über die 'Berichtsschaltfläche' gibt Euch einen Überblick über die Faktoren, die die Moral Eurer Männer beeinflussen.
ip_economy|Wirtschaft
ip_courtship|Brautwerbung
ip_courtship_text|Vielleicht wünscht Ihr, in eine der calradischen Adelsfamilien einzuheiraten. Eine Heirat ist aber nicht absolut erforderlich, um an Macht und Rang zu gewinnen, aber sie gibt Euch eine Gelegenheit, Eure Beziehungen zu bestimmten Fürsten zu verbessern, und um einen Anspruch auf den Thron zu begründen.^^Die Heiratsbedingungen unterscheiden sich für Männer und Frauen. Ein männlicher Spielcharakter muss üblicherweise dem traditionellen Weg der Brautwerbung folgen: Er sollte sich einen guten Ruf bei der aristokratischen Gesellschaft Calradias schaffen, auf guten Fuß mit den Eltern der Braut oder ihren Vormündern kommen, und dann die Dame selbst nach lokalem Brauch umwerben. Wenn dies Euch zu lange dauert, könnt Ihr auch eine Abkürzung nehmen – was aber nicht ohne Konsequenzen hinsichtlich Eurer Beziehungen zu anderen Fürsten bliebe.^^Als männlicher Spielcharakter solltet Ihr darauf achten, dass andere Fürsten mit Euch in den Wettstreit um die Zuneigung der Damen des Königreichs treten werden. Da die Geschmäcker einer Dame unvorhersehbar sind, könntet Ihr es auch erleben, dass Ihr von einer Dame abgewiesen werdet. Romanzen sind in Calradia, wie anderswo auch, zarte Pflänzchen und gedeihen nicht immer. Natürlich könntet Ihr auch auf weniger ritterliche Methoden zurückgreifen, um das Herz einer Dame zu gewinnen, aber dies hätte wiederum schwere Auswirkungen auf Euren Ruf.^^Um mit der Brautwerbung zu beginnen, muss sich ein männlicher Spielcharakter im sozialen Leben der calradischen Aristokratie engagieren und an Gelagen wie Turnieren teilnehmen. Wandernde Minnesänger und Poeten können Euch nützliche Informationen über die Brautwerbung geben; meistens haben sie auch die neuesten Gerüchte auf Lager.^^Weibliche Spielcharaktere können auch heiraten – aber sie sollten dabei im Hinterkopf behalten, dass die calradische Gesellschaft sehr traditionell ist, und dass sie als Abenteurerinnen einen für eine Frau sehr ungewöhnlichen Weg gewählt haben. Daher müssen sie wohl eine Weile lang suchen, bevor Sie einen Fürsten finden, der aufgeschlossen genug ist, um sie zu heiraten.^^Die angenehme Seite davon ist aber, dass sich weibliche Spielcharaktere nicht mit den komplizierten Ritualen der Brautwerbung abgeben müssen, und dass sie durch eine Heirat mehr gewinnen können als ihr Ehepartner. Für eine Abenteurerin kann die Heirat eine Abkürzung zur Macht sein – und wenn Ihr das Spiel skrupellos spielt, könnt Ihr Euren Ehemann zum Werkzeug Eurer politischen Ambitionen machen.
ip_politics|Politik
ip_politics_text|Alle Reiche Calradias hängen trotz ihrer unterschiedlichen Kulturen demselben politischen System an: Feudalismus. Feudalismus basiert auf den Beziehungen zwischen Individuen, also den Treueschwüren, die Vasallen ihren Lehnsherren  gegenüber abgeben. Als Gegenleistung dafür erhält ein Vasall normalerweise ein Lehen, also ein Stück Land, dessen Einkünfte er dazu benutzt, in Kriegszeiten Truppen für seinen Lehnsherrn auszuheben. Ein Lehnsherr hat ebenfalls die Verpflichtung, seine Vasallen zu beschützen und sie gerecht zu behandeln.^^So funktioniert es jedenfalls theoretisch. In Wirklichkeit handeln die Vasallen nicht immer im Interesse ihrer Fraktionen, vor allem weil sie oft mit anderen Fürsten im Streit liegen. Adlige haben unterschiedliche Persönlichkeiten, und diese Persönlichkeiten geraten manchmal aneinander. Vielleicht verstanden sich auch zwei Edelmänner ursprünglich sehr gut, überwarfen sich jedoch infolge eines Rückschlags oder einer Niederlage -- oder weil es beiden nach derselben Dame verlangte. Eifersucht kommt auch zum Tragen, wenn sie um die Gunst des Königs buhlen – vielleicht wegen neu eroberter Gebiete oder wegen des begehrten Titels des Marschalls, dem Fürst, der mit der Organisation großangelegter Feldzüge betraut ist.^^Wenn ein Reich in Calradia Krieg gegen ein anderes führt, ist der politische Zusammenhalt beider Reiche für den Ausgang des Kriegs so wichtig wie die Anzahl ihrer Soldaten im Feld. In einem Königreich mit großen Zusammenhalt bilden die Fürsten eine große Streitmacht, um ihre Kontrahenten vom Schlachtfeld zu fegen. In einem Königreich mit vielen kleinen Streitereien ignorieren die Fürsten die Aufrufe des Marschalls oder setzen sich von Feldzügen ab, um wieder eigenen Geschäfte nachzugehen. Der politische Zusammenhalt einer Fraktion hat auch Einfluss auf die Kriegsführung, wenn gerade keine Feldzüge geführt werden. Die Fürsten einer zerstrittenen Fraktion werden mit geringerer Wahrscheinlichkeit zusammen an Überfällen oder Patrouillen teilnehmen bzw. einander im Angriffsfall zu Hilfe kommen.^^Während es für Fürsten angesichts eines herannahenden Feindes unsinnig erscheint, sich zu zanken, so sollte man in Erinnerung behalten, dass die Loyalität eines Edelmannes letztendlich nicht einer besonderen Fraktion oder Kultur gilt, sondern sich selbst und seiner Familie. Wenn ein Edelmann fürchtet, dass seine Fraktion vor dem Zusammenbruch steht oder wenn er von seinem Lehnsherrn vernachlässigt wird, kann er normalerweise immer einen Grund finden, seinen Treueschwur zurückzuziehen und die Seiten zu wechseln. Dies solltet Ihr beim Spielen in Erinnerung behalten, da sich Euch Gelegenheiten bieten könnten, Euch unzufriedene Fürsten – früher Feinde – zu Verbündeten zu machen.
ip_character_backgrounds|Charakterhintergründe
ip_character_backgrounds_text|Städte und Dörfer in Calradia benötigen eine große Vielfalt an Gütern, damit ihre Bevölkerungen gesund und leistungsfähig bleiben. Am wichtigsten ist dabei Nahrung. Getreide ist die Hauptfeldfrucht in Calradia, doch die Leute brauchen auch Fette und Proteine in Form von Fleisch, Fisch oder Käse. Da die Konservierung von Fleisch fast so viel Arbeit wie seine Herstellung bedeutet, besteht eine große Nachfrage nach Salz. Nach der Nahrung kommt die Kleidung: Schwere Wolle, leichtes Leinen oder luxuriöser Samt. Letztlich benötigen die Leute auch die Werkzeuge für ihre Berufe: Eisenwaren, Töpferwaren, Lederwaren, und natürlich Waffen, Rüstungen und Kriegspferde.^^Die meisten landwirtschaftlichen Produkte werden in den Dörfern produziert, während sich die Handwerker in den Städten auf die Herstellung auf Massenwaren oder Spezialanfertigungen wie Stoffe und Eisenwaren spezialisiert haben. In verschiedenen Landesteilen können außerdem unterschiedliche Ressourcen gefunden werden. Als Konsequenz liegt der Schlüssel zum Reichtum in Calradia im Handel – zwischen den Dörfern und Städten und zwischen den großen Städten selbst.^^Wenn der Handel floriert, sind die Güter in großen Mengen und zu niedrigen Preisen verfügbar, ist die Bevölkerung eines Zentrum gesund und energetisch und wandern Migranten aus den umliegenden Regionen zu. Das betreffemde Zentrum produziert und verbraucht mehr – und kann seinen Fürsten so mehr Steuern zahlen. Wenn der Handel nachlässt, sehen sich die Arbeiter in Städten und Dörfern woanders nach neuer Arbeit um, und die wirtschaftliche Aktivität kommt zum Erliegen. Aus diesem Grunde ist es im Interesse der Herrscher, die Handelsrouten vor den Gefahren des Krieges und Banditen zu beschützen. Schlaue Händler kucken sich jedoch Städte aus, die vom Rest des Landes isoliert wurden, da sie dort aufgrund der resultierenden preislichen Unausgewogenheit einen schönen Gewinn erzielen könnten.^^Da Dörfler ihre Güter normalerweise auf Stadtmärkte bringen, geht es auf Dorfmärkten in der Regel deutlich ruhiger zu, und Dörfler kaufen billig ein und verkaufen teuer. Ernsthafte Händler halten sich zum Erzielen von Gewinnen an die Städte, obwohl manche gerne einen Zwischenstopp in einem Dorf einlegen, um die Vorräte aufzufüllen.^^Wenn Ihr etwas über die Faktoren erfahren wollt, die den Reichtum einer Region beeinflussen, so könnt Ihr mit dem Gildenmeister der lokalen Stadt sprechen. Weitere Informationen können von Passanten in Erfahrung gebracht werden, obwohl sie eventuell nicht so viel über andere Handelssparten als ihre eigene wissen.^^Einfluss auf eine lokale Wirtschaft nehmt Ihr vor allem dadurch, indem Ihr den Handel schützt, aber Ihr könnt auch etwas bewegen, indem Ihr in Unternehmungen wie Fischteiche, Getreidemühlen oder Gerbereien investiert. Diese Investitionen kommen der Bevölkerung zugute und können auch einen kleinen Profit für Euch erwirtschaften. Die erfolgreichsten Unternehmungen produzieren Güter, die stark nachgefragt werden, deren Rohmaterialien aber im Überfluss verfügbar sind.
ip_military_campaigns|Militärkampagne
