lockitver|DO NOT DELETE THIS LINE! 2896
itm_no_item|UNGÜLTIGER GEGENSTAND
itm_no_item_pl|UNGÜLTIGER GEGENSTAND
itm_tutorial_spear|Speer
itm_tutorial_spear_pl|Speer
itm_tutorial_club|Knüppel
itm_tutorial_club_pl|Knüppel
itm_tutorial_battle_axe|Kampfaxt
itm_tutorial_battle_axe_pl|Kampfaxt
itm_tutorial_arrows|Pfeile
itm_tutorial_arrows_pl|Pfeile
itm_tutorial_bolts|Armbrustbolzen
itm_tutorial_bolts_pl|Armbrustbolzen
itm_tutorial_short_bow|Kurzbogen
itm_tutorial_short_bow_pl|Kurzbogen
itm_tutorial_crossbow|Armbrust
itm_tutorial_crossbow_pl|Armbrust
itm_tutorial_throwing_daggers|Wurfdolche
itm_tutorial_throwing_daggers_pl|Wurfdolche
itm_tutorial_saddle_horse|Reitpferd
itm_tutorial_saddle_horse_pl|Reitpferd
itm_tutorial_shield|Langspitzschild
itm_tutorial_shield_pl|Langspitzschild
itm_tutorial_staff_no_attack|Stab
itm_tutorial_staff_no_attack_pl|Stab
itm_tutorial_staff|Stab
itm_tutorial_staff_pl|Stab
itm_tutorial_sword|Schwert
itm_tutorial_sword_pl|Schwert
itm_tutorial_axe|Axt
itm_tutorial_axe_pl|Axt
itm_tutorial_dagger|Dolch
itm_tutorial_dagger_pl|Dolch
itm_horse_meat|Pferdefleisch
itm_horse_meat_pl|Pferdefleisch
itm_practice_sword|Übungsschwert
itm_practice_sword_pl|Übungsschwert
itm_heavy_practice_sword|Schweres Übungsschwert
itm_heavy_practice_sword_pl|Schweres Übungsschwert
itm_practice_dagger|Übungsdolch
itm_practice_dagger_pl|Übungsdolch
itm_practice_axe|Übungsaxt
itm_practice_axe_pl|Übungsaxt
itm_arena_axe|Axt
itm_arena_axe_pl|Axt
itm_arena_sword|Schwert
itm_arena_sword_pl|Schwert
itm_arena_sword_two_handed|Zweihänder
itm_arena_sword_two_handed_pl|Zweihänder
itm_arena_lance|Lanze
itm_arena_lance_pl|Lanze
itm_practice_staff|Übungsstab
itm_practice_staff_pl|Übungsstab
itm_practice_lance|Übungslanze
itm_practice_lance_pl|Übungslanze
itm_practice_shield|Übungsschild
itm_practice_shield_pl|Übungsschild
itm_practice_bow|Übungsbogen
itm_practice_bow_pl|Übungsbogen
itm_practice_crossbow|Übungsarmbrust
itm_practice_crossbow_pl|Übungsarmbrust
itm_practice_javelin|Übungsspeere
itm_practice_javelin_pl|Übungsspeere
itm_practice_javelin_melee|
itm_practice_javelin_melee_pl|
itm_practice_throwing_daggers|Wurfdolche
itm_practice_throwing_daggers_pl|Wurfdolche
itm_practice_throwing_daggers_100_amount|Wurfdolche
itm_practice_throwing_daggers_100_amount_pl|Wurfdolche
itm_practice_horse|Übungspferd
itm_practice_horse_pl|Übungspferd
itm_practice_arrows|Übungspfeile
itm_practice_arrows_pl|Übungspfeile
itm_practice_bolts|Übungs-Armbrustbolzen
itm_practice_bolts_pl|Übungs-Armbrustbolzen
itm_practice_arrows_10_amount|Übungspfeile
itm_practice_arrows_10_amount_pl|Übungspfeile
itm_practice_arrows_100_amount|Übungspfeile
itm_practice_arrows_100_amount_pl|Übungspfeile
itm_practice_bolts_9_amount|Übungspfeile
itm_practice_bolts_9_amount_pl|Übungspfeile
itm_practice_boots|Übungsstiefel
itm_practice_boots_pl|Übungsstiefel
itm_red_tourney_armor|Rote Turnierrüstung
itm_red_tourney_armor_pl|Rote Turnierrüstung
itm_blue_tourney_armor|Blaue Turnierrüstung
itm_blue_tourney_armor_pl|Blaue Turnierrüstung
itm_green_tourney_armor|Grüne Turnierrüstung
itm_green_tourney_armor_pl|Grüne Turnierrüstung
itm_gold_tourney_armor|Goldene Turnierrüstung
itm_gold_tourney_armor_pl|Goldene Turnierrüstung
itm_red_tourney_helmet|Roter Turnierhelm
itm_red_tourney_helmet_pl|Roter Turnierhelm
itm_blue_tourney_helmet|Blauer Turnierhelm
itm_blue_tourney_helmet_pl|Blauer Turnierhelm
itm_green_tourney_helmet|Grüner Turnierhelm
itm_green_tourney_helmet_pl|Grüner Turnierhelm
itm_gold_tourney_helmet|Goldener Turnierhelm
itm_gold_tourney_helmet_pl|Goldener Turnierhelm
itm_arena_shield_red|Schild
itm_arena_shield_red_pl|Schild
itm_arena_shield_blue|Schild
itm_arena_shield_blue_pl|Schild
itm_arena_shield_green|Schild
itm_arena_shield_green_pl|Schild
itm_arena_shield_yellow|Schild
itm_arena_shield_yellow_pl|Schild
itm_arena_armor_white|Weiße Arenarüstung
itm_arena_armor_white_pl|Weiße Arenarüstung
itm_arena_armor_red|Rote Arenarüstung
