lockitver|DO NOT DELETE THIS LINE! 2896
qst_deliver_message|Botschaft an {s13} überbringen
qst_deliver_message_to_enemy_lord|Botschaft an {s13} überbringen
qst_raise_troops|Findet {reg1} {s14}
qst_escort_lady|Eskortiert {s13} nach {s14}
qst_deal_with_bandits_at_lords_village|Rettet das Dorf {s15} vor räuberischen Banditen
qst_kill_local_merchant|Ermordet einen örtlichen Händler in {s3}
qst_bring_back_runaway_serfs|Bringt flüchtige Leibeigene zurück
qst_follow_spy|Folgt dem Spion zum Treffen
qst_capture_enemy_hero|Nehmt einen Fürst aus {s13} gefangen
qst_lend_companion|Leiht Euren Gefährten {s3} an {s9} aus
qst_incriminate_loyal_commander|Belastet den loyalen Befehlshaber von {s13}, {s16}
qst_meet_spy_in_enemy_town|Trefft Spion in {s13}
qst_capture_prisoners|Bringt {reg1} {s3} Gefangene
qst_lend_surgeon|Verleiht Euren Wundarzt {s3} an {s1}
qst_follow_army|Folgt {s9}s Armee
qst_report_to_army|Meldet Euch bei {s13}, dem Marschall
qst_deliver_cattle_to_army|Liefert {reg3} Stück Vieh bei {s13} ab
qst_join_siege_with_army|Nehmt an der Belagerung von {s14} teil
qst_screen_army|Schützt das Vorrücken von {s13}s Armee
qst_scout_waypoints|Späht {s13}, {s14} und {s15} aus
qst_rescue_lord_by_replace|Rettet {s13} vor {s14}
qst_deliver_message_to_prisoner_lord|Botschaft abliefern bei {s13} in {s14}
qst_duel_for_lady|Fordert {s13} zu einer Waffenprobe heraus
qst_duel_courtship_rival|Fordert {s13} zu einem Zweikampf heraus (optional)
qst_duel_avenge_insult|Fordert {s13} zu einem Zweikampf heraus
qst_move_cattle_herd|Bringt die Viehherde nach {s13}
qst_escort_merchant_caravan|Eskortiert Händlerkarawane nach {s8}
qst_deliver_wine|Liefert {reg5} Einheiten {s6} in {s4} ab
qst_troublesome_bandits|Jagt räuberische Banditen
qst_kidnapped_girl|Zahlt den Banditen das Lösegeld für das Mädchen
qst_persuade_lords_to_make_peace|Stellt sicher, dass zwei Fürsten sich nicht dem Frieden entgegenstellen
qst_deal_with_looters|Nehmt Euch den Plünderern an
qst_deal_with_night_bandits|Nehmt Euch der Nachtbanditen an
qst_deliver_grain|Bringt Weizen nach {s3}
qst_deliver_cattle|Liefert {reg5} Stück Vieh in {s3} ab
qst_train_peasants_against_bandits|Bildet die Bauern von {s13} gegen Banditen aus.
qst_eliminate_bandits_infesting_village|Rettet das Dorf {s7} vor räuberischen Banditen
qst_visit_lady|Dame aufsuchen
qst_formal_marriage_proposal|Formeller Heiratsantrag
qst_obtain_liege_blessing|Formeller Heiratsantrag
qst_wed_betrothed|Verlobte heiraten
qst_wed_betrothed_female|Verlobten heiraten
qst_join_faction|Leistet {s1} den Treueschwur
qst_rebel_against_kingdom|Helft {s13}, den Thron von {s14} zu erringen
qst_consult_with_minister|Minister aufsuchen
qst_organize_feast|Gelage organisieren
qst_resolve_dispute|Streit schlichten
qst_offer_gift|Geschenk beschaffen
qst_denounce_lord|Lehnsherrn beschuldigen
qst_intrigue_against_lord|Gegen Lehnsherr intrigieren
qst_track_down_bandits|Banditen aufspüren
qst_track_down_provocateurs|Provokateure aufspüren
qst_retaliate_for_border_incident|Vergeltung für Grenzkonflikt
qst_raid_caravan_to_start_war|Kriegsprovokation durch Angriff auf neutrale Karawane
qst_cause_provocation|Gibt einem Königreich genug Provokation für einen Angrif auf ein anderes Königreich
qst_rescue_prisoner|Gefangenen befreien oder auslösen
qst_destroy_bandit_lair|Banditenversteck zerstören
qst_collect_men|Fünf Männer rekrutieren
qst_learn_where_merchant_brother_is|In Erfahrung bringen, wo die Geiseln festgehalten werden.
qst_save_relative_of_merchant|Banditenversteck angreifen
qst_save_town_from_bandits|Stadt gegen Banditen verteidigen
qst_quests_end|Questende
