lockitver|DO NOT DELETE THIS LINE! 2896
qstr_Next_Page|Nächste Seite
qstr_Game_Rules:^|Spielregeln:^
qstr_Show_game_rules|Spielregeln zeigen
qstr_Continue...|Weiter ...
qstr_Candidate_#1:_{s1}|Kandidat #1: {s1}
qstr_Candidate_#2:_{s1}|Kandidat #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} von {s4} wünscht einen neuen Marschall auszuwählen und lädt seine Vasallen zur Beratung ein. {s1} und {s2} sind die wahrscheinlichen Kandidaten.
qstr_Who_do_you_wish_to_s|Wen möchtet Ihr unterstützen?
qstr_{s1}_gives_his_suppo|{s1} unterstützt {s2}.
qstr_Number_of_Supporters|Anzahl der Unterstützer: {reg0}
qstr_{s2}_has_heard_his_v|{s2} hat den Rat seiner Vasallen angehört. Er wählt {s1} als Marschall von {s3}.
qstr_Action|Handeln
qstr_Mount|Aufsitzen
qstr_Attack_Type|Angriffsart
qstr_Stand_Ground|Standhaft bleiben
qstr_Charge|Angreifen
qstr_Follow_Me|Mir nach
qstr_Hold_This_Position|Position halten
qstr_Spread_Out|Ausfächern
qstr_Stand_Closer|Zusammenrücken
qstr_Fall_Back|Zurückfallen
qstr_Advance|Vorrücken
qstr_Dismount|Absitzen
qstr_Fire_At_Will|Feuer frei
qstr_Hold_Your_Fire|Feuer einstellen
qstr_Use_Blunt_Weapons|Stumpfe Waffen einsetzen
qstr_Use_Any_Weapon|Beliebige Waffe einsetzen
qstr_Ready|Bereit
qstr_Wounded|Verwundet
qstr_Dead|Tot
qstr_Number_of_men_knocke|Anzahl der niedergeschlagenen Männer: {reg1}
qstr_Number_of_men_left:_|Anzahl der verbleibenden Männer: {reg1}
qstr_Opponents_Beaten:_{r|Geschlagene Gegner: {reg1}
qstr_Opponents_Remaining:|Verbleibende Gegner: {reg1}
qstr_Remain_in_retirement|Im Ruhestand bleiben.
qstr_Go_back_to_the_adven|Zurück ins Abenteurerleben.
qstr_You_have_retired_at_|Ihr seid bei Stufe {reg4} nach {reg5} Tagen des Abenteuerns in den Ruhestand gegangen.
qstr_Effect_on_Score|Einfluss auf Punktestand
qstr_Settlements_owned_by|Siedlungen in Eurem Besitz: {reg0}
qstr_Friendly_Settlements|Freundlich gesinnte Siedlungen: {reg0}
qstr_Hostile_Settlements:|Feindlich gesinnte Siedlungen: {reg0}
qstr_Friendly_Lords:_{reg|Freundlich gesinnte Fürsten: {reg0}
qstr_Enemy_Lords:_{reg0}|Feindlich gesinnte Fürsten: {reg0}
qstr_Victories:_{reg0}|Siege: {reg0}
qstr_Defeats:_{reg0}|Niederlagen: {reg0}
qstr_Quests_Completed:_{r|Quests vollendet: {reg0}
qstr_Companions_Found:_{r|Gefundene Gefährten: {reg0}
qstr_Companions_Lost/Depa|Verlorene/fortgegangene Gefährten: {reg0}
qstr_Wealth:_{reg0}_denar|Reichtum: {reg0} Dinare
qstr_Inventory:_{reg0}_de|Inventar: {reg0} Dinare
qstr_Renown:_{reg0}|Ansehen: {reg0}
qstr_Experience:_{reg0}|Erfahrung: {reg0}
qstr_Days_Passed:_{reg0}|Verstrichene Tage: {reg0}
qstr_Difficulty:_{reg0}%|Schwierigkeitsgrad: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|GESAMTPUNKTE: {reg0}
qstr_None|Keine
qstr_{s1}_of_{s3}_was_def|{s1} von {s3} wurde im Kampf besiegt, konnte aber fliehen.
qstr_{s54}_is_a_claimant_|{s54} ist ein Anwärter auf dem Thron von {s56}.
qstr_nowhere|nirgends
qstr_{s57}_and_{s58}|{s57} und {s58}
qstr_{reg3?She:He}|{reg3?Sie:Er}
qstr_The_town_of_{s50}|Die Stadt {s50}
qstr_The_village_of_{s50}|Das Dorf {s50} nahe {s52}
qstr_{s51}_belongs_to_{s1|{s51} gehört {s1} von {s2}.^
qstr_{s7}_and_{s8}|{s7} und {s8}
qstr_{s2}It_has_no_villag|{s2}Es hat keine Dörfer.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Seine Dörfer sind:Sein Dorf ist} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sein Wohlstand ist: {s50}
qstr_noone|niemand
qstr_{s9}_and_{s10}|{s9} und {s10}
qstr_{s5}_has_been_defeat|{s5} wurde besiegt!
qstr_{s7}_opened_the_gate|{s7} hat das Tor geöffnet
qstr_{s7}_closed_the_gate|{s7} hat das Tor geschlossen
qstr_+{reg1}_to_party_mor|+{reg1} auf Truppmoral
qstr_Requires_{reg1}_inte|Erfordert {reg1} Intelligenz zum Lesen
qstr_Reading_Progress:_{r|Lesefortschritt: {reg1}%
qstr_wound_treament|Wundbehandlung
qstr_trainer|Ausbilder
qstr_surgery|Wundbehandlung
qstr_+1_to_{s1}_while_in_|+1 auf {s1}, wenn im Inventar
qstr_Move_here|Hierhin bewegen
qstr_View_notes|Aufzeichnungen ansehen
qstr_killed|getötet
qstr_wounded|verwundet
qstr_{s0}^TOTAL:_{reg3}__|{s0}^GESAMT: {reg3} ({s2})
qstr_^None|^Keine
qstr_nothing|nichts
qstr_{reg0}_village{reg1?|{reg0} Dorf{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} Burg{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} Burg{reg1?s:} und {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} Stadt{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} Stadt{reg1?s:} und {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} Stadt{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Eure Gegner sind bereit zum Kampf.
qstr_Try_to_destroy_as_ma|Versucht, so viele Ziele wie möglich zu zerstören. Ihr habt zweieinhalb Minuten.
qstr_Stay_behind_the_line|Bleibt hinter der Linie auf dem Boden und schießt auf die Ziele. Versucht, keinen Schuss zu vergeuden.
qstr_Battle_Advantage_=_{|Kampfvorteil = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} will, dass Ihr seiner Armee weiter folgt, bis er neue Anweisungen ausgibt.
qstr__Being_Raided_|(wird überfallen)
qstr__Looted_|(geplündert)
qstr__Under_Siege_|(wird belagert)
qstr_The_village_of_{s1}_|Das Dorf {s1} wurde von {s2} geplündert.
qstr_{s3}_is_no_longer_un|{s3} wird nicht länger belagert.
qstr_Small_bands_of_enemi|Kleiner Feindtrupp in der Nähe von {s1} entdeckt.
qstr_Enemy_patrols_spotte|Feindliche Patrouillen in der Nähe von {s1} entdeckt.
qstr_Medium_sized_group_o|Mittlerer Feindtrupp in der Nähe von {s1} entdeckt.
qstr_Significant_group_of|Großer Feindtrupp in der Nähe von {s1} entdeckt.
qstr_Army_of_enemies_spot|Feindliche Armee in der Nähe von {s1} entdeckt.
qstr_Large_army_of_enemie|Große feindliche Armee in der Nähe von {s1} entdeckt.
qstr_Great_host_of_enemie|Große Masse feindlicher Einheiten in der Nähe von {s1} entdeckt.
qstr_{s1}_has_been_besieg|{s1} wurde von {s2} von {s3} belagert.
qstr_{s1}_is_the_new_mars|{s1} ist der neue Marschall von {s2}.
qstr_You_gained_{reg12}_r|Ihr erhaltet {reg12} Ansehen.
qstr_You_lose_{reg12}_ren|Ihr verliert {reg12} Ansehen.
