lockitver|DO NOT DELETE THIS LINE! 2896
skl_trade|Handel
skl_trade_desc|Jede Stufe dieser Fertigkeit reduziert Eure Handelsabzüge um 5%%. (Trupp-Fertigkeit)
skl_leadership|Anführerschaft
skl_leadership_desc|Jeder Punkt erhöht die Maximalzahl der Soldaten, die Ihr befehligen könnt, um 5, erhöht Eure Trupp-Moral und reduziert die Solde um 5%%. (Anführer-Fertigkeit)
skl_prisoner_management|Gefangenen-Handhabung
skl_prisoner_management_desc|Jede Stufe dieser Fertigkeit erhöht die Maximalzahl der Gefangenen um %d. (Anführer-Fertigkeit)
skl_reserved_1|Reservierte Fertigkeit 1
skl_reserved_1_desc|Dies ist eine reservierte Fertigkeit.
skl_reserved_2|Reservierte Fertigkeit 2
skl_reserved_2_desc|Dies ist eine reservierte Fertigkeit.
skl_reserved_3|Reservierte Fertigkeit 3
skl_reserved_3_desc|Dies ist eine reservierte Fertigkeit.
skl_reserved_4|Reservierte Fertigkeit 4
skl_reserved_4_desc|Dies ist eine reservierte Fertigkeit.
skl_persuasion|Überzeugungskraft
skl_persuasion_desc|Diese Fertigkeit lässt andere Leute Euren Standpunkt einsehen. (Persönliche Fertigkeit)
skl_engineer|Konstrukteur
skl_engineer_desc|Diese Fertigkeit hilft Euch beim Bau von Belagerungsmaschinen und Verbesserungen von Lehen. (Trupp-Fertigkeit)
skl_first_aid|Erste Hilfe
skl_first_aid_desc|Helden erhalten pro Fertigkeitsstufe 5%% von bei Missionen verlorenen Trefferpunkten wieder. (Trupp-Fertigkeit)
skl_surgery|Chirurgie
skl_surgery_desc|Jeder Punkt dieser Fertigkeit ermöglicht eine 4%% Chance, dass ein tödlich verwundetes Truppmitglied nur verwundet statt getötet wird. (Trupp-Fertigkeit)
skl_wound_treatment|Wundbehandlung
skl_wound_treatment_desc|Die Heilungsgeschwindigkeit des Trupps wird um 20%% pro Fertigkeitsstufe erhöht. (Trupp-Fertigkeit)
skl_inventory_management|Inventarverwaltung
skl_inventory_management_desc|Erhöht das Aufnahmevermögen des Inventars um +6 pro Fertigkeitsstufe. (Anführer-Fertigkeit)
skl_spotting|Aufklärung
skl_spotting_desc|Die Sichtweite des Trupps wird 10%% pro Fertigkeitsstufe erhöht. (Trupp-Fertigkeit)
skl_pathfinding|Wegfindung
skl_pathfinding_desc|Die Kartengeschwindigkeit des Trupps wird um 3%% pro Fertigkeitsstufe erhöht. (Trupp-Fertigkeit)
skl_tactics|Taktiken
skl_tactics_desc|Jeweils zwei Stufen dieser Fertigkeit erhöhen den Kampfbeginnsvorteil um 1. (Trupp-Fertigkeit)
skl_tracking|Spurensuche
skl_tracking_desc|Spuren werden informativer. (Trupp-Fertigkeit)
skl_trainer|Ausbilder
skl_trainer_desc|Jeden Tag verleiht jeder Held mit dieser Fertigkeit jedem anderen Truppmitglied mit geringerer Stufe ein bisschen Erfahrung. Die Erfahrung wächst wie folgt : {0,4,10,16,23,30,38,46,55,65,80}. (Persönliche Fertigkeit)
skl_reserved_5|Reservierte Fertigkeit 5
