dlga_start:dwarf_event_choose|Thank you {reg33?madam:sir}, you have saved my life and you must be rewarded. You can have either gold or a random weapon from my stock. Which do you choose?
dlga_dwarf_event_choose:close_window|I will take the gold
dlga_dwarf_event_choose:close_window.1|I will take the weapon
dlga_start:evil_robbed_intro|Nurgles blessing to you {playername}, the dawn of a new age will soon be at hand. Our cause is strong but so are our enemies and right now we need your help.
dlga_evil_robbed_intro:evil_robbed_main|What is your cause and why do you need me?
dlga_evil_robbed_main:evil_robbed_main2|Our cause is to see the will of Nurgle is done. To spread his love around the lands and to convert the non believers.
dlga_evil_robbed_main2:evil_robbed_possessed|Recently there has been great fervor because of the arrival of Lord Maldrex. He is a champion of Nurgle and he is closer to the great one than anyone we have ever met.
dlga_evil_robbed_possessed:evil_robbed_possessed2|He communicates directly with our Lord, some even say that Lord Nurgle can speak directly through Maldrex and recently Maldrex has been speaking of a great plague which will infect the greater part of humanity.
dlga_evil_robbed_possessed2:evil_robbed_possessed3|Unfortunately the Bretonnians discovered this plot and sent their hero Sir Chevalier and his army of knights to capture him. We were taken by surprise and right now he is being held near the Bretonnian coast awaiting execution.
dlga_evil_robbed_possessed3:evil_robbed_answer|They will try and break him first which they will never do so we have some time but not much. Will you help me? I will give you a great reward if you are successful.
dlga_evil_robbed_answer:evil_robbed_agree|Anything which leads to dead Bretonnians is a job worth taking. I will release your champion.
dlga_evil_robbed_answer:evil_robbed_options|What kind of great reward?
dlga_evil_robbed_answer:close_window|This is a problem for nurgle not me. Maybe ask the everchosen to help you
dlga_evil_robbed_options:evil_robbed_ask|If you do this for me I will offer you a random special item or 7500 gold. A great reward for any warrior, what do you say now?
dlga_evil_robbed_ask:evil_robbed_agree|Very well, I will help you save your champion.
dlga_evil_robbed_ask:close_window|This is a problem for nurgle not me. Maybe ask the everchosen to help you
dlga_evil_robbed_agree:close_window|Thank you {playername}, my spies will keep an eye on the camp in case they move. Rescue Maldrex and I will find you soon after.
dlga_start:chevalier_intro_1|How dare you approach this noble party. You have no business here so be gone before you are put down like a crippled hound.
dlga_start:chevalier_intro_1.1|My patience is running out. Be gone.
dlga_chevalier_intro_1:chevalier_final|Release your prisoner or you will die here by my hand
dlga_chevalier_intro_1:close_window|I will leave now
