fac_no_faction|No Faction
fac_commoners|Commoners
fac_outlaws|Outlaws
fac_neutral|Neutral
fac_innocents|Innocents
fac_merchants|Merchants
fac_player_faction|Player Faction
fac_player_supporters_faction|Player's Supporters
fac_kingdom_1|Imperio de Sigmar
fac_kingdom_2|Reinos Enanos
fac_kingdom_3|Reino de los Altos Elfos
fac_kingdom_4|Enanos del Caos
fac_kingdom_5|Hordas del Caos
fac_kingdom_6|Imperio de los Reyes Funerarios
fac_kingdom_7|Reino de los Hombres Lagarto
fac_kingdom_8|Goblins Nocturnoz
fac_kingdom_9|Sultanato de Arabia
fac_kingdom_10|Orkoz
fac_kingdom_11|Reino de Bretonia
fac_kingdom_12|Reino de los Elfos Oscuros
fac_kingdom_13|Imperio Subterráneo Skaven
fac_kingdom_14|Zarato de Kislev
fac_kingdom_15|Hombres bestia
fac_kingdom_16|Colonias de Nippón
fac_kingdom_17|Sylvania
fac_kingdom_18|Elfos Silvanos
fac_manhunters|Cazahombres
fac_deserters|Desertores
fac_mountain_bandits|Bandidos de la montaña
fac_forest_bandits|Bandidos del bosque
fac_invaders|Invasores
fac_chaos_invaders|Invasores
