menu_start_game_0|Bienvenido, aventurero, a Warsword Conquest. Antes de empezar a jugar deberías crear a tu personaje. Elige raza o género.
mno_continue|Continuar...
mno_go_back|Atrás
menu_start_phase_2|Nacisteis en el Viejo Mundo, una tierra desgarrada entre reinos y razas rivales que buscan la supremacía, un refugio para caballeros y mercenarios, asesinos y aventureros, todos dispuestos a arriesgar sus vidas en busca de fortuna, poder, o gloria... Sentís que tenéis la llave de vuestro destino en vuestras manos, sois libre de elegir y, sea cual sea vuestro camino, grandes aventuras os esperan. Con las historias del Viejo Mundo y sus reinos resonando aún en vuestra cabeza, decidís...
mno_town_1|viajar a Altdorf, en el corazón del Imperio de la Humanidad.
mno_town_2|viajar a Karak Kadrin, fortaleza del Reino de los enanos.
mno_town_3|viajar a Cuernozangre, en las tierras de los goblins.
mno_town_4|viajar a Pico de Grom, en las tierras de los orcos.
mno_town_5|unirte a una caravana hacia Khemri, en el Imperio de los Reyes Funerarios.
mno_town_6|viajar a Tlanxla, en el reino de los hombres lagarto.
mno_town_7|tomar un barco hacia Lothern, en el Reino de los Altos Elfos de Ulthuan.
mno_town_8|viajar a Couronne, en el Reino de Bretonia.
mno_town_9|viajar a Monte Vanir, en las tierras del Reino del Caos.
mno_town_10|viajar a Plagaskaven, en el Imperio subterráneo Skaven.
mno_town_11|viajar a Clar Karond, en tierras de los Elfos Oscuros de Naggaroth.
mno_town_12|viajar a Praag, en el Reino de Kislev.
mno_town_13|viajar a Cuernogrande, en los dominios de los Hombres Bestia.
mno_town_14|viajar a Kyominato, ciudad de las colonias de Nippon.
mno_town_15|viajar a Drakenhof, fortaleza de los condes vampiro de Sylvania.
mno_town_16|viajar a Claro del Rey, capital de los Elfos Silvanos.
menu_start_game_3|Choose your scenario:
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
mno_go_back_dot|Atrás..
menu_reports|Renombre del personaje: {reg5}^Honor: {reg6}^Moral del grupo: {reg8}^Límite de tamaño del grupo: {reg7}^{s1}
mno_action_view_troop_trees|Ver árbol de tropas.
mno_view_character_report|Ver reporte del personaje.
mno_view_party_size_report|Ver reporte del tamaño de grupo.
mno_view_npc_mission_report|Ver reporte de misiones de compañeros.
mno_view_weekly_budget_report|Ver reporte de presupuesto semanal.
mno_view_morale_report|Ver reporte de moral del grupo.
mno_lord_relations|Ver lista de señores conocidos por relación.
mno_view_affiliated_family_report|View affiliated family member / spouse report.
mno_courtship_relations|Ver reporte de cortejos.
mno_view_faction_relations_report3|View faction relations report (with prejudice).
mno_view_faction_relations_report2|View faction relations report [page 2] (with prejudice).
mno_view_reference_materials|Material de referencia.
mno_resume_travelling|Seguir viajando
menu_reference_reports|Reference Material: use notes, recent messages to view output
mno_view_reference_materials_a|ver rutas comerciales
mno_show_raw_prejudice1|show first 5 races raw prejudice
mno_show_raw_prejudice2|show 2nd 6 races raw prejudice
mno_show_raw_prejudice3|show 3rd 6 races raw prejudice
mno_show_raw_prejudice4|show 4th 6 races raw prejudice
mno_show_party_prej_random|show prejudice: player party vs random troop
mno_set_deep_debug|set deep debug messages (use PBOD cheat mode toggle to go back to normal
mno_dplmc_show_economic_report|View prosperity report.
mno_action_view_all_troops1|View All Troops (main factions)
mno_action_view_all_troops2|View All Lords
mno_action_view_all_troops3|View All Mercs and Misc
mno_action_view_all_troops4|View Player and Kingdom Ladies
mno_action_view_all_items|View All Items
mno_return|Return
menu_metrics_for_parties1|{s16}^{s17}^{s15}
menu_reference_reports_a|trade routes sub menu
mno_show_first_trade_routes|list first 7 cities trade routes
mno_show_second_trade_routes|list second 7 cities trade routes
mno_show_third_trade_routes|list 3rd 7 cities trade routes
mno_show_fourth_trade_routes|list 4th 7 cities trade routes
mno_show_fifth_trade_routes|list 5th 7 cities trade routes
mno_show_sixth_trade_routes|list 6th 7 cities trade routes
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.
menu_start_game_1|Selecciona la raza o género de tu personaje
mno_start_male|Hombre
mno_start_female|Mujer
mno_start_beastman|Hombre bestia
mno_start_chaos|Hombre del caos
mno_start_saurus|Saurio
mno_start_skeleton|Squeleto
mno_start_orc|Orco
mno_start_goblin|Goblin nocturno
mno_start_chaos_dwarf|Chaos Dwarf
mno_start_elf|Elfo o elfa
mno_start_dwarf|Enano
mno_start_skaven|Skaven
mno_start_halfling|Mediano
mno_start_vampire|Vampiro
menu_start_character_1|Nacisteis años atrás, descendiente de....
mno_start_imperial|el Imperio de Sigmar
mno_start_bretonnian|el Reino de Bretonia.
mno_start_araby|el Sultanato de Arabia
mno_start_kislev|el Zarato de Kislev.
mno_start_bandit|el Imperio Nippón.
mno_start_pirate|la Hermandad de los Reinos Pirata
menu_start_character_1e|Eres de raza élfica. En concreto:
mno_start_high_elf_male|hijo de los Altos Elfos.
mno_start_high_elf_female|hija de los Altos Elfos.
mno_start_wood_elf_male|hijo de los Elfos Silvanos.
mno_start_wood_elf_female|hija de los Elfos Silvanos.
mno_start_darkelf|hijo de los Elfos Oscuros.
menu_start_character_37|Nacisteis años atrás, en uno de los grandes bosques del Viejo Mundo. Vuestro padre era...
mno_start_brayshaman|Un chamán del rebaño.
mno_start_beasttact|Un estratega.
mno_start_bestigor|Un Bestigor.
mno_start_huntmaster|Un maestro cazador.
mno_start_beastchariot|Un jinete de carro.
mno_start_chieftain|Un señor guerrero.
mno_go_back5|Volver
menu_start_character_40|Nacisteis años atrás, en las tranquilas tierras de La Reunión. Vuestro padre era...
mno_start_innkeeper|Un tabernero.
mno_start_councillor|Un canciller.
mno_start_masterthief|Un maestro ladrón.
mno_start_ranger|Un guardabosques.
mno_start_sheriff|Un sheriff.
mno_start_dungeon|Un aventurero.
menu_start_character_45|En las tierras orientales de la provincia Imperial de Stirland yace Sylvania, un lugar maldito cuvierto por densos bosques y traicioneras ciénagas, sembrado de ruinas de antiguos castillos y cementerios. Silenciosa y terrible, se dice que en estas tierras aún habitan humanos que llevan sus simples vidas en sus aldeas; sencillos campesinos que viven bajo la sombra de las grandes fortalezas de unos seres misteriosos. Vuestro padre era...
mno_start_treasure|Un cazatesoros.
mno_start_heretic|Un hereje exiliado.
mno_start_mutant|Un mutante deforme.
mno_start_noble|Un noble sylvano.
mno_start_servant|Un vampiro sirviente.
mno_start_merchant|Un mercader de Stirland.
menu_start_character_48|El bosque de Athel Loren, una joya esmeralda incrustrada entre Bretonia y el Imperio de la Humanidad, último recuerdo de la presencia de los elfos en el Viejo Mundo. Entre sus majestuosos árboles, impregnados de magia ancestral y poderosa, espíritus antiguos y criaturas silvestres viven en perfecta armonía con los tuyos. Eres antepasado de aquellos que llegaron al Viejo Mundo desde Ulthuan, hijo de...
mno_start_blacksmith|Un herrero.
mno_start_pathfinder|Un explorador.
mno_start_soldier|Un soldado.
mno_start_lorekeeper|Un guardabosques.
mno_start_ambassador|Un embajador
mno_start_minor|Un noble menor.
menu_start_character_51|Mingol Zharr Naggrund, the Tower of Fire, ominously watches over the Plain of Zharrdukk, rivers of molten rock bleeding out from its bowels. At its very top, the Temple of Hashut resounds with the echoing of cruel sacrifices to the Father of Darkness and the malign pleasure of the witnessing High Prophets. Then, silence. Hashut, the Bull God spoke, a divine quest was imposed. The cabals of the Chaos Dwarfs prepare for the expedition that will lead them to new lands, and you with them, enrolled as..
mno_start_daemon_binder|A Daemon Binder.
mno_start_torturer|A Torturer.
mno_start_slavemaster|A Slave Master.
mno_start_legionnaire|A Legionnaire.
mno_start_ironsworn|An Ironsworn.
mno_start_trader|un mercader.
menu_start_character_43|Nacisteis años atrás, en la tierra de los osos y de la magia de hielo. Vuestro padre fue...
mno_start_priest|sacerdote de Ulric.
mno_start_chekist|mimebro de la policía secreta de la Zarina.
mno_start_boyar|Un boyardo.
mno_start_kossar|Un Kossar.
mno_start_kyazak|Un nómada Kyazak.
mno_start_hunter|Un cazador.
menu_start_character_44|Crecisteis rápido y os hicisteis fuerte. Durante vuestra juventud fuisteis...
mno_start_hearth|sacerdote de Ulric.
mno_start_wanderer|predicador de Ursun.
mno_start_ice|amigo de una bruja de hielo.
mno_start_ataman|consejero de un Atamán.
mno_start_raider|saqueador Kyazak.
mno_start_squire|Escudero de Dhruzhina.
menu_start_character_2|Nacisteis años atrás, en las lejanas y frías tierras del norte de Norsca. Vuestro padre fue...
mno_start_chaoswarrior|Un guerrero del caos.
mno_start_chariot|Un jinete de carro.
mno_start_berserker|Un berserker.
mno_start_lumberjack|Un leñador.
mno_start_barbarian|Un bárbaro temerario.
menu_start_character_3|Nacisteis años atrás, en las misteriosas tierras de Lustria. Vuestro padre fue...
mno_start_temple|Un guardia del Templo.
mno_start_tactician|Un estratega.
mno_start_oldblood|Un Viejasangre.
mno_start_coldone|Un jinete campeón de Gélido.
mno_start_architecht|Un arquitecto.
mno_start_kroxigor|Un entrenador de Kroxigors.
menu_start_character_5|Nacisteis años atrás, en una de las muchas y salvajes tribus orcas. Vuestro padre fue...
mno_start_rock|Un ingeniero.
mno_start_volcanic|Volcanic Terrain.
mno_start_arid|Arid Terrain.
mno_start_forest|Forest Terrain.
mno_start_lush|Lush Terrain.
mno_start_snowy|Snowy Terrain.
menu_start_character_6|Nacisteis años atrás, en una de las muchas y salvajes tribus goblinoides. Vuestro padre fue...
mno_start_rocky|Rocky terrain.
mno_start_steppe|Steppe terrain.
menu_start_character_7|Nacisteis años atrás, en la esplendorosa isla de Ulthuan. Vuestro padre fue...
mno_start_dragon|un Príncipe Dragón.
mno_start_hero|un héroe de torneos.
mno_start_swordmaster|un espadachín maestro de Hoeth.
mno_start_charioteer|un conductor de carros.
menu_start_character_8|Nacisteis años atrás, en las salvajes y oscuras tierras de Naggaroth. Vuestro padre fue...
mno_start_silent|un guardaespaldas.
mno_start_corsair|un corsario.
mno_start_executioner|un verdugo.
mno_start_darkassassin|un asesino.
mno_start_crossbow|un experto ballestero.
mno_start_darkknight|un caballero del terror.
menu_start_character_9|Nacisteis años atrás, en una de las fortalezas de las inaccesibles montañas de los enanos. Vuestro padre fue...
mno_start_brewer|Un maestro cervecero.
mno_start_ironbreaker|Un Rompehierros..
mno_start_gyrocopter|Un piloto de girocóptero.
mno_start_runesmith|Un maestro rúnico.
mno_start_scribe|Un escriba.
menu_start_character_10|Nacisteis años atrás, en una de las más apestosas y profundas alcantarillas del Viejo Mundo. Vuestro padre fue...
mno_start_stormvermin|un portador de la plaga.
mno_start_plague|un sacerdote de la plaga.
mno_start_skavenbowl|jugador de Blood Bowl.
mno_start_gutter|un maestro de amerratadora.
mno_start_jezzail|un maestro de Jezzail.
mno_start_skavenassassin|un asesino.
menu_start_character_11|{s10}^^ Vuestro padre fue...
mno_priest|un sacerdote guerrero.
