ip_morale|Moral
ip_morale_text|La moral representa la capacidad y voluntad de las tropas del grupo para armarse del coraje, resistencia y disciplina necesarios para superar las dificultades de la batalla y de la marcha. No es lo mismo que la felicidad de las tropas. Las tropas de élite pueden quejarse y protestar por la dificultad de la campaña pero, cuando las flechas comienzan a volar sobre sus cabezas, se enfrentan al enemigo en bloque. Por otro lado, si un comandante siempre da a sus hombres lo que éstos piden, comprobará que sus tropas se vuelven débiles y más propensas a huir frente al enemigo.^^ La moral influye directamente sobre el comportamiento de las tropas en la batalla y determina lo agresivas que son con el enemigo y las posibilidades de que huyan si perciben que la batalla se está volviendo en contra. La moral también afecta a la velocidad de marcha. Un grupo menos motivado se moverá más lentamente porque los hombres no se están esforzando. También tendrá que pararse más frecuentemente para esperar a los rezagados. Finalmente, un grupo con baja moral comenzará a sufrir deserciones.^^ Algunos factores que afectan a la moral son intuitivos. Por ejemplo, un comandante carismático con reputación de ganar batallas infundirá confianza en sus hombres. Los líderes que dan a sus hombres una amplia variedad de comida y pagan a tiempo demuestran interés por el bienestar de sus tropas y son menos propensos a llevarlos hacia un desastre.^^ Otros factores son menos intuitivos, particularmente los que se refieren al sentimiento de cohesión del grupo. En un grupo pequeño, por ejemplo, los hombres lucharán más ferozmente en situaciones complicadas para evitar que sus camaradas les vean como cobardes. Un grupo más grande, en cambio, tendrá más problemas de cohesión, ya que el comandante tendrá menos tiempo de supervisar a sus hombres, escuchar sus problemas y resolver sus disputas. Las batallas frecuentes estrecharán los lazos entre los hombres, mientras que largos períodos sin batallas harán que se aburran y se creen problemas de convivencia.^^ El informe de moral, al que se accede pulsando el botón 'informes', dará al jugador una idea de los factores que están afectando a la moral de su grupo.
ip_economy|Economía
ip_economy_text|Las ciudades y aldeas de El Viejo Mundo necesitan una amplia variedad de bienes para que su población se mantenga saludable y productiva. Lo primero es la comida. Los cereales son la base de la producción de El Viejo Mundo, pero la gente también necesita grasa y proteínas, ya sea en forma de pescado, carne o queso. Preparar la carne en conserva cuesta casi tanto esfuerzo como obtenerla, y por ello hay mucha demanda de sal. Luego viene la ropa: gruesas lanas, linos ligeros o delicado terciopelo. Finalmente, es necesario que la gente disponga de herramientas para poder trabajar: utensilios de hierro, de cerámica, objetos de cuero y, por supuesto, armas, armaduras y caballos para la guerra.^^La mayoría de los productos agrícolas se generan en las aldeas, mientras que los artesanos de las ciudades fabrican telas u objetos de hierro y cerámica. Además, los recursos difieren de región a región. Por consecuencia, la clave de la prosperidad de El Viejo Mundo es el comercio entre ciudades y aldeas, o entre las ciudades más prósperas.^^Cuando el comercio es fluido, los bienes están disponibles a buen precio, la población estará sana y con energías, y llegarán emigrantes de regiones cercanas. El centro producirá más, consumirá más, y contribuirá con más impuestos a las arcas de sus señores. Cuando el comercio no fluye como debería, las ciudades y aldeas perderán trabajadores y la actividad económica se irá ralentizando. Por lo tanto, es importante para los señores proteger las rutas de comercio de los peligros de la guerra y de los bandidos. Un mercader avispado, sin embargo, puede que busque ciudades que se hayan quedo aisladas del resto del territorio, ya que podría sacar beneficios con el desbalanceo de precios.^^Como los aldeanos siempre llevan sus bienes a vender en los mercados de las ciudades, los mercados de las aldeas suelen ser lugares tranquilos y los aldeanos compran barato y venden caro. Los mercaderes serios se quedarán en las ciudades para sacar más beneficio, aunque a veces algunos decidirán hacer una parada rápida en alguna aldea para comprar suministros.^^Un jugador que quiera conocer los factores que afectan la prosperidad de la región siempre podrá hablar con el maestro de la cofradía de la ciudad local. La gente de paso también brindará algo de información, aunque puede que no sepan demasiado fuera de su línea de negocio particular.
ip_courtship|Cortejo
ip_courtship_text|Los jugadores podrán casarse con algún miembro de una familia noble de El Viejo Mundo. No es necesario estar casado para ganar poder o estatus, pero el casamiento proporciona al jugador la oportunidad de mejorar su relación con los señores y consolidar sus derechos al trono.^^Los requerimientos para casarse son diferentes dependiendo de si el jugador es hombre o mujer. Un personaje hombre tendrá que cortejar a una dama de forma tradicional. Deberá establecer su reputación en la sociedad aristocrática de El Viejo Mundo, mantener buenas relaciones con la familia o tutores de su prometida, y luego cortejarla según la costumbre local. Si el jugador se impacienta puede intentar acortar el proceso, pero esto acarreará consecuencias en sus relaciones con los otros señores.^^Un personaje hombre deberá tener en cuenta que otros señores pueden estar compitiendo por el afecto de la misma dama. Además, los gustos de las damas son impredecibles y el jugador también puede encontrarse con que el objeto de su afecto no le corresponde. El romance, en El Viejo Mundo al igual que en cualquier sitio, no siempre prospera. Cierto es que un jugador siempre podrá recurrir a vías menos caballerosas para capturar el corazón de una dama pero, una vez más, eso afectará seriamente a su reputación.^^Para comenzar un cortejo, el jugador hombre deberá introducirse en la vida social de la aristocracia de El Viejo Mundo, acudiendo a banquetes y torneos. También los trovadores y poetas pueden servirle para obtener información sobre las formas de cortejo e informarle de los últimos rumores.^^Las jugadoras mujeres también pueden casarse, pero deberán tener en cuenta que la sociedad en El Viejo Mundo es muy tradicional y, como aventureras, han elegido un camino muy poco convencional para una mujer. Un personaje femenino puede tardar en encontrar a un señor de mente suficientemente abierta para casarse con ella.^^El lado bueno, sin embargo, es que una mujer no tendrá que pasar por largos rituales de cortejo, y puede beneficiarse más del casamiento que su homólogo varón. Para una aventurera, casarse puede significar emprender el camino rápido hacia el poder... y una mujer sin escrúpulos podría utilizar a su marido para avanzar en sus ambiciones políticas.
ip_politics|Política
ip_politics_text|Aunque los reinos de El Viejo Mundo representen diferentes culturas, todos se adhieren al mismo sistema político de base: el feudalismo. El feudalismo se basa en las relaciones individuales: los juramentos de lealtad de un vasallo a su señor feudal. A cambio del juramento, el vasallo recibirá normalmente un feudo, una parcela de tierra para ser usufructuada por él y con cuyos ingresos pueda crear un ejército para apoyar a su señor en tiempos de guerra. Un señor feudal tiene también el deber de proteger a sus vasallos y tratarlos con justicia.^^Así es como funciona, al menos en teoría. En la práctica, los vasallos no siempre trabajarán en favor de su facción, sobre todo porque suelen estar peleados entre sí. Los nobles tienen diferentes personalidades, y muchas veces encontradas. Tal vez dos nobles que hayan sido amigos anteriormente estén ahora enfrentados a causa del desenlace de una batalla... o porque los dos estaban cortejando a la misma dama. Las envidias también aflorarán en su búsqueda por el favor de su rey, quizás para hacerse con tierras recientemente conquistadas, o para conseguir el cargo de mariscal (el noble encargado de organizar las campañas militares a gran escala).^^Cuando un reino de El Viejo Mundo entra en guerra con otro, la unidad política de cada reino es tan importante como la calidad o número de sus soldados a la hora de determinar el desenlace. En un reino cohesionado, los nobles lucharán juntos contra las fuerzas enemigas. En un reino dividido por rencillas, los señores no responderán a las convocatorias de su mariscal, o abandonarán la campaña para atender sus propios asuntos si ésta no va bien. La cohesión política de una facción también influirá sobre el progreso de la guerra, incluso si no hay campañas en marcha. En una facción dividida, es más improbable que los señores se unan para repeler incursiones u organizar batidas, o que se defiendan los unos a los otros.^^Por muy absurdo que parezca el que los señores se peleen entre ellos mientras el enemigo cruza ya las fronteras, hay que tener en cuenta lo siguiente: la lealtad absoluta de un noble no es para ninguna facción o cultura en particular, sino para sí mismo y su familia. Si un noble teme que su facción se esté viniendo abajo, o si se siente desatendido por su señor feudal, no tendrá problemas para encontrar una razón que le permita renunciar a su juramento de lealtad y cambiar de bando. Los jugadores deberán tener esto presente, ya que tendrán muchas oportunidades para convertir en aliados a antiguos enemigos.
ip_character_backgrounds|Trasfondo de los personajes
ip_character_backgrounds_text|El jugador podrá elegir su origen entre muchos trasfondos sociales de El Viejo Mundo. Esta elección no sólo afectará a sus habilidades y equipamiento al comienzo del juego, sino también al transcurso de su carrera como aventurero o aventurera.^^La guerra y la política en El Viejo Mundo están dominadas principalmente por aristócratas varones. Un jugador noble podrá comprobar que sus iguales le invitarán bastante rápido a "unirse al club", pero las mujeres y los plebeyos tendrán que pelear un poco más. Comenzar el juego como un noble varón sería equivalente a ajustar la dificultad a 'fácil'. Comenzar el juego como una mujer noble o un plebeyo es algo más difícil, y jugar como mujer plebeya es posiblemente la forma más complicada de todas.^^No obstante, las mujeres tienen algunas ventajas de partida. Con sólo tomar las armas una guerrera ya llamará la atención, y podrá comprobar que su reputación crece más rápidamente que la de un hombre. Además, tradicionalmente es más fácil para una mujer contraer matrimonio por encima de sus expectativas y, en todo caso, ganará bastante más con un matrimonio estratégico que su homólogo masculino.^^Por último, tened en cuenta que el juego no pone límites al ascenso de los personajes en función de su origen. Ya sea noble o plebeyo, hombre o mujer, casado o soltero, cualquiera podrá llegar a ser monarca de El Viejo Mundo si tiene el valor, la suerte o el ingenio suficiente.
ip_military_campaigns|Campañas militares
