qstr_{s1}_has_cast_Warp_L|{s1} has cast Warp Lightning.
qstr_{s1}_has_cast_Plague|{s1} has cast Plague of Rust. Enemy armour has been disintegrated.
qstr_{s1}_has_cast_enchan|{s1} has cast enchanted blades of Aiban. Nearby Enemy troops have fighting ability augmented.
qstr_{s1}_has_cast_glitte|{s1} has cast glittering robe. Nearby Allied troops have increased damage protection.
qstr_{s1}_has_cast_transm|{s1} has cast transmutation of lead. Affected Enemy troops have movement and fighting ability hexed.
qstr_{s1}_has_cast_final_|{s1} has cast final transmutation. All enemy troops who succumb are killed.
qstr_{s1}_has_cast_awaken|{s1} has cast awakening the wood. Enemy troops in radius take damage.
qstr_{s1}_has_cast_icesha|{s1} has cast iceshard blizzard. Affected enemy troops have movement speed hexed.
qstr_{s1}_has_cast_lightn|{s1} has cast lightning storm. Affected enemy troops take damage.
qstr_{s1}_has_cast_comet_|{s1} has cast comet of Casadora. Affected enemy troops take damage.
qstr_{s3}_has_cast_Uranno|{s3} has cast Urannons thunderbolt. Enemies take heavy damage.
qstr_{s3}_has_cast_Lightn|{s3} has cast Lightning Bolt. Enemies take heavy damage.
qstr_{s1}_has_cast_Melkot|{s1} has cast Melkoths mystifying miasma. Enemy troops have multiple stats hexed.
qstr_{s1}_has_cast_pit_of|{s1} has cast pit of shades. Affected enemy troops die if agility test is failed.
qstr_{s3}_has_cast_spirit|{s3} has cast spirit leech. Enemies take heavy damage if leadership test failed.
qstr_{s3}_has_cast_caress|{s3} has cast caress of the laniph. Enemies take multiple hits if power strike test failed.
qstr_{playername}_has_cas|{playername} has cast the fate of bjuna. Enemies take multiple hits if ironflesh test failed.
qstr_{s1}_has_cast_purple|{s1} has cast purple sun of xereus. Affected enemy troops die if athletics test is failed.
qstr_{s1}_has_cast_curse_|{s1} has cast curse of Anraheir. Affected {s2} troops have movement and ranged accuracy hexed.
qstr_{s1}_has_cast_Wyssan|{s1} has cast Wyssans wildform. Affected allied troops have augmented damage and damage protection.
qstr_{s1}_has_cast_the_Fl|{s1} has cast the Fleeting Bower and gains double speed.
qstr_{s1}_has_cast_the_Fle|{s1} has cast the Fleet of Foot and gains increased speed.
qstr_{s1}_has_cast_Panns_|{s1} has cast Panns impenetrable belt. Affected allied troops have augmented speed and a ward save.
qstr_{s1}_has_cast_savage|{s1} has cast savage beast of horrors. Affected allied troops have augmented damage and speed.
qstr_{s1}_has_cast_cascad|{s1} has cast cascading fire cloak. Nearby allied troops have increased damage protection.
qstr_{s1}_has_cast_flamin|{s1} has cast flaming sword of Rhuin. Nearby allied troops have increased melee damage
qstr_{s1}_has_cast_Swords|{s1} has cast Swords of Doom. Nearby allied troops have increased melee damage
qstr_{s1}_has_cast_Flame_|{s1} has cast Flame Storm. Affected enemy troops take heavy damage.
