skl_trade|Comerciar
skl_trade_desc|Cada nivel de esta habilidad reduce la penalización de comercio en un 5%%. (Habilidad de grupo)
skl_leadership|Liderar
skl_leadership_desc|Cada punto incrementa el número máximo de tropas que podéis liderar en 5, incrementa la moral del grupo y reduce los salarios en un 5%%. (Habilidad de líder)
skl_prisoner_management|Manejar prisioneros
skl_prisoner_management_desc|Cada nivel de esta habilidad incrementa el número máximo de prisioneros en %d. (Habilidad de líder)
skl_willpower|Voluntad
skl_willpower_desc|Incrementa la posibilidad de aparecer en las siguientes fases de la batalla tras ser herido. Permite a los hechiceros concentrar su voluntad y ganar puntos extra de invocación en el siguiente hechizo (pulsa M). Cada dos puntos incrementa la resistencia a la magia de los enanos. Cada punto aumenta el derecho a gobernar en 2.
skl_reserved_2|Habilidad reservada 2
skl_reserved_2_desc|Ésta es una habilidad reservada.
skl_reserved_3|Habilidad reservada 3
skl_reserved_3_desc|Ésta es una habilidad reservada.
skl_reserved_4|Habilidad reservada 4
skl_reserved_4_desc|Ésta es una habilidad reservada.
skl_persuasion|Persuadir
skl_persuasion_desc|Esta habilidad ayuda a que la gente acepte vuestro punto de vista. (Habilidad personal)
skl_engineer|Ingeniería
skl_engineer_desc|Esta habilidad os permite construir equipo de asedio y crear mejoras más eficientes en los feudos. (Habilidad de grupo)
skl_first_aid|Primeros Auxilios
skl_first_aid_desc|Los héroes recuperan un 5%% por nivel de sus puntos de vida perdidos durante una batalla. (Habilidad de grupo)
skl_surgery|Cirugía
skl_surgery_desc|Cada punto de esta habilidad añade una probabilidad de 4%% de que un miembro del grupo que reciba un golpe mortal resulte herido y no muerto. (Habilidad de grupo)
skl_wound_treatment|Tratar Heridas
skl_wound_treatment_desc|La velocidad de curación del grupo se incrementa un 20%% por nivel de habilidad. (Habilidad de grupo)
skl_inventory_management|Administrar el inventario
skl_inventory_management_desc|Incrementa la capacidad del inventario +6 por nivel de habilidad. (Habilidad de líder)
skl_spotting|Otear
skl_spotting_desc|El rango de visión del grupo se incrementa un 10%% por nivel de habilidad. (Habilidad de grupo)
skl_pathfinding|Explorar
skl_pathfinding_desc|La velocidad del grupo en el mapa se incrementa un 3%% por nivel de habilidad. (Habilidad de grupo)
skl_tactics|Táctica
skl_tactics_desc|Cada dos niveles de esta habilidad, se incrementa la ventaja inicial de batalla en 1. (Habilidad de grupo)
skl_tracking|Rastrear
skl_tracking_desc|Se obtiene más información sobre los rastros. (Habilidad de grupo)
skl_trainer|Instruir
skl_trainer_desc|Todos los días cada héroe con esta habilidad agrega experiencia a todo miembro de su grupo cuyo nivel sea menor que el suyo. La experiencia se gana así: {0,4,10,16,23,30,38,46,55,65,80}. (Habilidad personal)
skl_magic_control|Control mágico
skl_magic_control_desc|Incrementa tu control de la magia permitiéndote acceder a más hechizos y ganar competencias cuando los invoques. Incrementar esta habilidad también incrementa la posibilidad de invocaciones exitosas y aumenta el radio de efecto de tus hechizos. Necesitarás al menos 1 punto de control de la magia para acceder a los gremios de Magia. Los enanos no pueden usar la magia.
skl_magic_power|Poder mágico
skl_magic_power_desc|Incrementar tu poder mágico incrementará el daño que tus hechizos causan y también el poder de los efectos de bufo y debufo.
skl_mana_control|Control de maná
skl_mana_control_desc|The higher your mana control the more mana you can hold at one time and the faster you will regenerate mana. At level 4 you can boost your mana (u key) and pay a percentage increase in mana cost to bypass encumberance modifiers for that cast (the higher encumberance the higher the extra cost). At level 8 these percentages are lowered.{***}
skl_reserved_8|Reserved Skill 8
skl_reserved_8_desc|This is a reserved skill.
skl_looting|Saquear
skl_looting_desc|Esta habilidad incrementa la cantidad obtenida en el saqueo en un 10%% por nivel de habilidad. (Habilidad de grupo)
skl_horse_archery|Disparo Montado
skl_horse_archery_desc|Reduce la penalización al daño y a la puntería al disparar desde caballos. (Habilidad personal)
skl_riding|Cabalgar
skl_riding_desc|Permite montar caballos de mayor nivel de dificultad e incrementa vuestra velocidad y maniobrabilidad. (Habilidad personal)
skl_athletics|Atletismo
skl_athletics_desc|Incrementa vuestra velocidad al correr. (Habilidad personal)
skl_shield|Escudo
skl_shield_desc|Reduce el daño a los escudos (en un 8%% por nivel de habilidad) y mejora la velocidad al escudarse y cubrirse. (Habilidad personal)
skl_weapon_master|Maestría en Armas
skl_weapon_master_desc|Facilita el aprendizaje de las competencias en armas e incrementa los límites de estas competencias. Los límites funcionan así: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Habilidad personal)
skl_reserved_9|Habilidad reservada 9
skl_reserved_9_desc|Ésta es una habilidad reservada.
skl_reserved_10|Habilidad reservada 10
skl_reserved_10_desc|Ésta es una habilidad reservada.
skl_reserved_11|Habilidad reservada 11
skl_reserved_11_desc|Ésta es una habilidad reservada.
skl_reserved_12|Habilidad reservada 12
skl_reserved_12_desc|Ésta es una habilidad reservada.
skl_reserved_13|Habilidad reservada 13
skl_reserved_13_desc|Ésta es una habilidad reservada.
skl_power_draw|Potencia de tensado
