skinkey_chin_size|Tamaño mentón
skinkey_chin_shape|Forma mentón
skinkey_chin_forward|Saliente mentón
skinkey_jaw_width|Ancho mandíbula
skinkey_lower_lip|Labio inferior
skinkey_upper_lip|Labio superior
skinkey_mouth_nose_distance|Distancia boca-nariz
skinkey_mouth_width|Ancho boca
skinkey_nostril_size|Tamaño aletas nariz
skinkey_nose_height|Alto nariz
skinkey_nose_width|Ancho nariz
skinkey_nose_size|Tamaño nariz
skinkey_nose_shape|Forma nariz
skinkey_nose_bridge|Puente nariz
skinkey_eye_width|Ancho ojos
skinkey_eye_to_eye_dist|Dist entre ojos
skinkey_eye_shape|Forma ojos
skinkey_eye_depth|Profundidad ojos
skinkey_eyelids|Párpados
skinkey_cheeks|Mejillas
skinkey_cheek_bones|Pómulos
skinkey_eyebrow_height|Alto cejas
skinkey_eyebrow_shape|Forma cejas
skinkey_temple_width|Ancho sien
skinkey_face_depth|Profundidad cara
skinkey_face_ratio|Proporción cara
skinkey_face_width|Ancho cara
skinkey_post_edit|Post-edición
skinkey_jaw_position|Posición mandíbula
skinkey_eyebrow_position|Posición cejas
skinkey_eyebrow_depth|Profundidad cejas
skinkey_tusk_size|Tamaño colmillos
skinkey_jaw_size|Tamaño mandíbula
skinkey_upper_lip_size|Tamaño labio superior
skinkey_lower_lip_size|Tamaño labio inferior
skinkey_eye_to_eye_distance|Distancia entre ojos
skinkey_eye_size|Tamaño ojos
skinkey_forehead_forward|Protuberancia frente
skinkey_forehead|Frente
skinkey_ear_length|Longitud orejas
skinkey_mouth_shape|Forma boca
skinkey_nose_position|Posición nariz
skinkey_tusks_size|Tamaño colmillos
skinkey_teeth_size|Tamaño dientes
skinkey_mouth_size|Tamaño boca
skinkey_ear_size|Tamaño orejas
skinkey_neck_size|Tamaño cuello
