lockitver|DO NOT DELETE THIS LINE! 2896
dlga_award_fief_to_vassal_2:close_window|Comme vous voudrez, {monsieur/madame}. {reg6?Je:{reg7?Vous :{s11}}} {régnerai/régnerez} désormais sur {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} n'est géré par personne. À qui vais-je confier cette responsabilité ?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|S'il vous plaît {s65}, je voudrais être à la tête de {s1}. (fiefs : {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, vous devriez être à la tête de {s1}. (fiefs : {s0})
dlga_center_captured_rebellion_2:close_window|Hmmm... Très bien, {playername}. J'apprécie fortement votre conseil. {reg6?Je serai:{reg7?Vous serez:{s11}}} {reg3?la nouvelle dame:le nouveau seigneur} de {s1}.
dlga_start:fighter_talk|Bonjour. Nous peaufinons nos techniques de combat avec un peu d'entraînement au corps à corps. Visiblement, un peu d'entraînement ne vous ferait pas de mal. Joignez-vous à nous et nous vous montrerons quelques astuces. Et si vous avez besoin d'explications sur différents concepts de combat, je ferai de mon mieux pour vous donner satisfaction.
dlga_start:fighter_talk.1|À quoi souhaitez-vous vous entraîner ?
dlga_fighter_pretalk:fighter_talk|Dites-moi à quoi vous souhaitez vous entraîner.
dlga_fighter_talk:fighter_talk_train_attack|Je souhaite m'entraîner à attaquer.
dlga_fighter_talk:fighter_talk_train_parry|Je souhaite m'entraîner à bloquer avec mon arme.
dlga_fighter_talk:fighter_talk_train_combat|Entraînons-nous au corps à corps.
dlga_fighter_talk:close_window|[Quitter]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Très bien. Vous pourrez principalement porter quatre types de coups : vers la gauche, vers la droite, vertical et l'estoc. À présent, je vais vous indiquer de quelle direction attaquer, puis ce sera à vous. ^^(Déplacez votre souris tout en appuyant sur le bouton gauche de la souris pour indiquer la direction de l'attaque. Par exemple, pour une attaque verticale, déplacez la souris vers le haut au moment où vous appuyez sur le bouton gauche de la souris. Les icônes qui s'affichent à l'écran sont là pour vous guider.)
dlga_fighter_talk_train_attack_2:close_window|Commençons, alors. Je suis prêt.
dlga_fighter_talk_train_attack_2:fighter_pretalk|En fait, j'aimerais faire autre chose.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Contrairement à un bouclier, bloquer avec une arme stoppe uniquement les attaques venant d'une direction. Par exemple, si vous bloquez vers le haut, vous déviez les attaques verticales, mais vous n'êtes pas à l'abri des coups latéraux ou des coups d'estoc. ^^(Pour bloquer, vous devez appuyer sur le bouton droit de la souris et le maintenir enfoncé.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Je vais maintenant combiner différents coups et attendre que vous adoptiez le blocage qui convient avant d'attaquer. Essayez d'adopter le bon blocage dès que possible. ^^(Cet entraînement est facilité par le paramètre par défaut de direction de blocage automatique. Si vous accédez au menu Options et modifiez le contrôle de direction de défense sur 'mouvement de la souris' ou 'clavier', vous devrez choisir manuellement la direction de blocage. Certes, c'est plus difficile, mais également plus intéressant. Cet entraînement peut s'avérer très utile si vous utilisez le blocage manuel.)
dlga_fighter_talk_train_parry_3:close_window|Commençons, alors. Je suis prêt.
dlga_fighter_talk_train_parry_3:fighter_pretalk|En fait, j'aimerais faire autre chose.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Le corps à corps constitue un excellent moyen de se préparer au combat. Nous commencerons par nous battre avec des armes non mortelles, jusqu'à ce que l'un de nous tombe à terre. Certes, vous en garderez peut-être quelques bleus, mais c'est mieux que de vous faire massacrer en situation de combat réel.
dlga_fighter_talk_train_combat_2:close_window|Commençons, alors. Je suis prêt.
dlga_fighter_talk_train_combat_2:fighter_pretalk|En fait, j'aimerais faire autre chose.
dlga_start:fighter_parry_try_again|Parfait. Vous avez brillamment bloquer mes attaques. Vous pouvez recommencer cet entraînement pour gagner en rapidité jusqu'à ce que vous ayez confiance en vos qualités défensives. Voulez-vous réessayer ?
dlga_start:fighter_parry_try_again.1|Eh bien, ce n'était pas vraiment ça, hein ? (N'oubliez pas qu'il vous faut appuyer sur le bouton droit de la souris et le maintenir enfoncé pour un blocage efficace.) Voulez-vous réessayer ?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Oui. Réessayons.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Non, ça suffit pour le moment.
dlga_start:fighter_parry_warn|Hé ! On s'entraîne au blocage, l'ami ! Vous êtes censé bloquer mes attaques et pas contre-attaquer.
dlga_fighter_parry_warn:fighter_talk_train_parry|Excusez-moi. Réessayons.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Excusez-moi. Je dois interrompre cet entraînement.
dlga_fighter_talk_leave_parry:close_window|Très bien. Comme vous voudrez.
dlga_start:fighter_combat_try_again|Eh bien, ce n'était pas vraiment ça, hein ? Ne vous découragez pas et tâchez de ne pas faire les mêmes erreurs la prochaine fois. Voulez-vous réessayer ?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Oui. Réessayons.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Non, ça suffit pour le moment.
dlga_fighter_talk_leave_combat:close_window|Très bien. Si vous changez d'avis, revenez me voir.
dlga_start:fighter_combat_try_again.1|Hé, joli corps à corps. Vous m'avez battu, mais la prochaine fois, je ferai plus attention. Voulez-vous réessayer ?
dlga_start:archer_challenge_2|Pas mal. Pas mal du tout ! Visiblement, vous avez compris les principes de base de l'archerie. À présent, essayez d'en faire de même avec une arbalète. Prenez l'arbalète et les carreaux situés là-bas et visez ces trois cibles. L'arbalète est plus facile à manier que l'arc, mais il faut la recharger après chaque tir.
dlga_start:archer_challenge_2.1|Parfait. Vous maniez plutôt bien l'arbalète. Vous allez, à présent, apprendre à vous servir d'armes de jet. Récupérez les javelots situés là-bas et essayez de viser ces trois cibles. 
dlga_start:ranged_end|Parfait, vous disposez désormais des compétences de base nécessaires à l'utilisation des trois types d'armes à distance. Il ne vous reste plus qu'à vous entraîner. Entraînez-vous quotidiennement pour vous hisser au niveau des meilleurs tireurs d'élite de Calradia.
dlga_ranged_end:close_window|À présent, vous pouvez discuter avec les combattants au corps à corps ou le moniteur d'équitation, si ce n'est pas déjà fait. Ils pourront, eux aussi, vous enseigner des compétences importantes.
dlga_start:archer_talk|Salutations, jeune ami. Je passe tout mon temps à enseigner le maniement des armes à distance à tous ceux qui s'y intéressent. Si vous avez besoin de mes services, faites-le-moi savoir et je vous montrerai comment utiliser l'arc, l'arbalète et le javelot.
dlga_archer_talk:archer_challenge|Oui, montrez-moi comment utiliser les armes à distance.
dlga_archer_talk:close_window|Non, pas pour le moment.
dlga_archer_challenge:archer_challenge_2|Très bien. Votre premier entraînement portera sur le maniement de l'arc, une arme difficile à maîtriser. Cela étant, moyennant une certaine pratique, l'arc vous permet de tirer avec rapidité et puissance. Allez chercher l'arc et les flèches situés là-bas et visez ces cibles.
dlga_archer_challenge_2:close_window|Parfait. Je suis prêt.
dlga_archer_challenge_2:close_window.1|Une minute. J'ai quelque chose à faire avant.
dlga_start:horseman_melee_challenge_2|J'espère que ça vous a plu. Nous allons maintenant passer à quelque chose d'un peu plus difficile. Attrapez cette lance là-bas et suivez le parcours en touchant chaque cible au moins une fois.
dlga_start:horseman_melee_challenge_2.1|Parfait ! Vous avez réussi à atteindre toutes les cibles à dos de cheval. Ce n'est pas chose aisée pour un débutant. À présent, vous allez devoir vous servir d'un arc et de flèches pour viser les cibles d'archerie situées près de la route. Pour réussir, vous devez atteindre chaque cible d'une flèche.
dlga_start:horsemanship_end|Très bien. vous avez réussi à atteindre toutes les cibles à dos de cheval. Continuez de vous entraîner quotidiennement pour devenir rapidement un cavalier hors pair.
dlga_horsemanship_end:close_window|À présent, allez discuter avec les combattants au corps à corps et le moniteur d'équitation, si ce n'est pas déjà fait. Il vous faut tout savoir pour être prêt à vous défendre.
dlga_start:horseman_talk|Bonjour ! Je suis ici pour m'entraîner à monter à cheval. Hélas, mes vieux os me font horriblement mal et j'ai décidé de m'accorder le reste de la journée pour me reposer. Si vous le souhaitez, je vous prête mon cheval pour vous entraîner. Un peu d'exercice lui ferait le plus grand bien.
dlga_horseman_talk:horseman_challenge|Oui, j'aimerais m'entraîner à monter à cheval.
dlga_horseman_talk:close_window|Umm… Peut-être plus tard.
dlga_horseman_melee_challenge_2:close_window|Parfait. Je suis prêt.
dlga_horseman_melee_challenge_2:close_window.1|Une minute. J'ai quelque chose à faire avant.
dlga_tutorial_troop_default:close_window|Hé, je m'entraîne ! Adressez-vous au moniteur d'archerie pour en savoir plus sur les armes à distance.
dlga_start:lord_prison_break_confirm_3|Il y a un changement de plan ?
dlga_start:lord_prison_break|Qu'est-ce qui se passe ?
dlga_start:drunk_response|Qu'est-ce que vous regardez ?
dlga_player_duel_response:close_window|Quel gâchis...
dlga_player_duel_response:close_window.1|Plutôt lui que moi.
dlga_drunk_response:drunk_fight_start|Je ne sais pas... Un animal, sans doute.
dlga_drunk_response:drunk_fight_start.1|Je vous en prie… Acceptez mes excuses.
dlga_drunk_fight_start:close_window|Je vais faire disparaître ce sourire sur votre visage !
dlga_drunk_response:drunk_player_high_renown|Savez-vous qui je suis ?
dlga_drunk_player_high_renown:drunk_player_high_renown|Emmm... En fait... Oui, oui, je sais qui vous êtes, {monsieur/madame}. Je vous prie de m'excuser, Votre Grâce… Ça doit être l'alcool. Faut que j'y aille, maintenant...
dlga_drunk_player_high_renown:close_window|Je pensais la même chose. Et maintenant, allez-vous-en.
dlga_start:fistfight_response|Vous me faites l'impression d'être quelqu'un de fort et j'ai une proposition à vous faire.
dlga_fistfight_response:fistfight_response_2|Comment ça ?
dlga_fistfight_response_2:fistfight_response_2a|Cela vous intéresse, c'est parfait. Voilà le plan… C'est un peu compliqué… Alors, écoutez bien. 
dlga_fistfight_response_2a:fistfight_response_3|Vous et cette autre personne allez entamer un combat ici. Pas d'arme, pas d'armure… Je vais m'asseoir ici et prendre les paris, après quoi je partagerai les bénéfices avec le gagnant. Si nous perdons, j'assumerai les frais. Vous n'avez rien à perdre… Si ce n'est un peu de sang, bien sûr.
dlga_fistfight_response_3:fistfight_response_4|Ceci dit, impossible de préparer une jolie arène où chacun pourra miser à l'avance. Les gens viendront, attirés par le bruit, miseront un ou deux deniers sur la personne qui selon eux gagnera. Je veillerai à leur donner les mêmes chances… Le reste d'être difficile pour quelqu'un qui en est à sa troisième cruche de bière.
dlga_fistfight_response_4:fistfight_response_4a|Bon, comme vous pouvez le constater, l'important c'est de faire comme si vous perdiez pour que les gens parient contre vous… Puis de revenir dans le combat et de l'emporter avant que les mises ne s'inversent. Le meilleur moyen de gagner de l'argent, c'est de vous montrer presque à terre, puis de vous redresser et de mettre votre adversaire K.O. Mais attention, au final, c'est vous qui devrez gagner pour que vous et moi puissions toucher le paquet. 
dlga_fistfight_response_4a:fistfight_response_5|Veillez aussi à ne pas trop faire durer le combat où les gens pourraient se montrer suspicieux. Alors, ne ménagez pas vos coups. Peu importe de qui il provienne, le sang doit couler.
dlga_fistfight_response_5:fistfight_response_5a|Et autre chose… La complexité n'est pas l'affaire de votre adversaire et il va juste se jeter sur vous. Il vous incombe de mettre du piment dans tout ça.
dlga_fistfight_response_5a:fistfight_response_confirm|Alors, qu'est que vous en dites ?
dlga_fistfight_response_confirm:close_window|[Yes -- not yet implemented]
dlga_fistfight_response_confirm:close_window.1|J'ai mieux à faire.
dlga_start:ramun_introduce_1|Salutations, {jeune homme/jeune femme}.
dlga_ramun_introduce_1:ramun_introduce_2|Pardonnez-moi, vous semblez être un commerçant, mais je n'aperçois aucune de vos marchandises.
dlga_ramun_introduce_1:close_window|Ne faites pas attention.
dlga_ramun_introduce_2:ramun_introduce_3|Un commerçant ? Oh, oui, j'en suis un bien entendu. Cependant, mes marchandises sont un peu différentes des autres. Elles doivent être nourries et lavées deux fois par jour et tentent de s'échapper si vous leur tourner le dos.
dlga_ramun_introduce_3:ramun_introduce_4|Du bétail ?
dlga_ramun_introduce_4:ramun_introduce_5|À peu de chose près. J'apprécie que l'on me considère comme un homme qui garde chaque bateau sur cet océan en mouvement. Les bateaux sont dirigés par des rames, vous voyez et les rames nécessitent des hommes pour les manier sinon elles s'arrêtent. C'est là que j'entre en jeu.
dlga_ramun_introduce_5:ramun_introduce_6|Des galériens.
dlga_ramun_introduce_6:ramun_introduce_7|Vous avez saisi à présent ! Un port de commerce comme celui-ci ne pourrait pas survivre sans eux. Au cours de chaque voyage, les bateaux perdent quelques hommes, ainsi il y a toujours une forte demande. Les capitaines viennent me voir et ils me paient bien. 
dlga_ramun_introduce_7:ramun_introduce_8|D'où proviennent vos esclaves ?
dlga_ramun_introduce_8:ramun_introduce_9|La plupart du temps, je fais appel à des criminels condamnés que j'achète aux autorités. Les autres sont des prisonniers de guerre provenant de nations différentes, qui me sont rapportés car j'offre les meilleurs prix. Cependant, à l'occasion, j'en achèterai aux corsaires et à d'autres... individus. Vous ne pouvez pas être exigeant en ce qui concerne vos fournisseurs dans ce métier. Vous n'auriez pas par hasard quelques prisonniers avec vous ? 
dlga_ramun_introduce_9:ramun_introduce_10|Moi ? 
dlga_ramun_introduce_10:ramun_introduce_11|Pourquoi pas ? Si vous avez l'intention de mettre un pied en dehors de ce bourg, tôt ou tard vous croiserez le fer avec quelqu'un. Et, si Dieu le veut, vous serez victorieux. Pourquoi ne pas vous faire de l'argent en plus du reste ? Gardez-les en vie et ramenez-les moi, je vous paierai cinquante deniers pour chaque tête. Ne vous souciez pas de savoir qui ils sont et d'où ils proviennent. 
dlga_ramun_introduce_11:ramun_introduce_12|Hmm... Je vais y réfléchir.
dlga_ramun_introduce_12:close_window|Réfléchissez-y ! Il y beaucoup d'argent à se faire, ne vous y trompez pas. Bien assez pour nous deux.
dlga_start:ramun_talk|Bonjour, {playername}.
dlga_ramun_pre_talk:ramun_talk|Autre chose ?
dlga_ramun_talk:ramun_sell_prisoners|Je vous ai amené quelques prisonniers, Ramun. Désirez-vous y jeter un œil ?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Faites-moi voir ce que vous avez...
dlga_ramun_sell_prisoners_2:close_window|C'est un plaisir de faire des affaires avec vous.
dlga_ramun_talk:ramun_ask_about_capturing|Comment puis-je capturer un prisonnier ?
dlga_ramun_talk:ramun_ask_about_capturing.1|Pouvez-vous me renseigner à nouveau sur la manière de capturer des prisonniers ?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Vous êtes étranger à cette pratique, n'est-ce-pas ? Laissez-moi vous l'expliquer à l'aide de termes simples. La règle de base pour capturer un prisonnier est de l'assommer avec une arme contondante, comme une masse d'armes ou un gourdin, plutôt que le transpercer avec une épée. De cette manière il perd conscience pendant une courte durée au lieu de se vider de son sang, vous voyez ? Je présume que vous avez une arme contondante sur vous ?
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Bien entendu.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|En fait, je n'en ai pas.
