lockitver|DO NOT DELETE THIS LINE! 2896
fac_no_faction|Aucune faction
fac_commoners|Roturiers
fac_outlaws|Hors-la-loi
fac_neutral|Neutre
fac_innocents|Innocents
fac_merchants|Marchands
fac_player_faction|Faction du joueur
fac_player_supporters_faction|Partisans du joueur
fac_kingdom_1|Royaume de Swadia
fac_kingdom_2|Royaume des Vaegirs
fac_kingdom_3|Khergit Khanate
fac_kingdom_4|Royaume des Nords
fac_kingdom_5|Royaume des Rhodoks
fac_kingdom_6|Sultanat des Sarranides
fac_manhunters|Chasseurs d'hommes
fac_deserters|Déserteurs
fac_mountain_bandits|Bandits des montagnes
fac_forest_bandits|Bandits des forêts
