lockitver|DO NOT DELETE THIS LINE! 2896
menu_start_game_0|Bienvenue dans Mount and Blade: Warband, {aventurier/aventurière}. Avant de commencer le jeu, vous devez créer votre personnage. Souvenez-vous que dans la société médiévale traditionnelle décrite dans le jeu, la guerre et la politique sont généralement dominées par les hommes de la noblesse. Mais vous êtes libre de choisir d'incarner une femme ou un personnage qui n'est pas né noble. Les hommes de l'aristocratie bénéficient généralement d'un démarrage plus facile, mais les femmes et les roturiers peuvent atteindre les mêmes objectifs... et connaître un début de jeu beaucoup plus intéressant, voire passionnant.
mno_continue|Continuer...
mno_go_back|Retour.
menu_start_phase_2|Vous entendez parler de Calradia, un pays divisé en plusieurs royaumes rivaux qui se disputent sa domination, un refuge pour les chevaliers et les mercenaires, les meurtriers et les aventuriers, tous prêts à risquer leur vie en quête de fortune, de pouvoir ou de gloire. Dans ce pays dangereux mais synonyme d'opportunités, vous espérez tirer un trait sur votre passé et entamer une nouvelle vie. Vous sentez que votre destin est enfin entre vos mains et que vous êtes libre de vos choix ; et quel que soit le parcours que vous emprunterez, de grandes aventures vous attendent. Grâce aux histoires que vous entendez sur Calradia et ses royaumes, vous...
mno_town_1|rejoignez une caravane à destination de Praven, dans le royaume de Swadia.
mno_town_2|rejoignez une caravane à destination de Reyvadin, dans le royaume des Vaegirs.
mno_town_3|rejoignez une caravane à destination de Tulga, dans le khanat des Khergits.
mno_town_4|embarquez sur un navire à destination de Sargoth, dans le royaume des Nords.
mno_town_5|embarquez sur un navire à destination de Jelkala, dans le royaume des Rhodoks.
mno_town_6|rejoignez une caravane à destination de Shariz, dans le sultanat des Sarranides.
menu_start_game_3|Choisissez votre scénario :
menu_tutorial|Vous approchez d'un terrain dans lequel les autochtones s'entraînent avec des armes. Vous pouvez vous entraîner ici pour améliorer vos techniques de combat.
mno_go_back_dot|Retour.
menu_reports|Renommée du personnage : {reg5}^Honneur: {reg6}^Moral du groupe : {reg8}^Limite de la taille du groupe : {reg7}^
mno_view_character_report|Vérification du statut PNJ.
mno_view_party_size_report|Afficher le rapport sur la taille du groupe.
mno_view_npc_mission_report|Afficher le rapport de mission du compagnon.
mno_view_weekly_budget_report|Afficher le rapport budgétaire hebdomadaire.
mno_view_morale_report|Afficher le rapport sur le moral du groupe.
mno_courtship_relations|Afficher les relations de séduction.
mno_view_faction_relations_report|Afficher le rapport sur les relations de la faction.
mno_resume_travelling|Reprendre le voyage.
menu_custom_battle_end|La bataille est finie. {s1} a tué {reg5} ennemi(s) à vos côtés et a perdu {reg6} troupe(s) au cours de la bataille. Vous avez personnellement mis à mort {reg7} homme(s) au cours du combat. 
menu_start_game_1|Sélectionnez le sexe de votre personnage.
mno_start_male|Homme
mno_start_female|Femme
menu_start_character_1|Vous êtes né(e) il y a des années, dans un pays lointain. Votre père était...
mno_start_noble|Un noble appauvri.
mno_start_merchant|Un marchand itinérant.
mno_start_guard|Un vieux soldat.
mno_start_forester|Un chasseur.
mno_start_nomad|Un nomade des steppes.
mno_start_thief|Un voleur.
menu_start_character_2|{s10}^^ Vous avez commencé à découvrir le monde peu après savoir marcher et parler.  Au début de votre vie vous étiez...
mno_page|Un page à la cour d'un noble.
mno_apprentice|{reg3?Apprentie:Apprenti} chez un artisan.
mno_stockboy|L'assistant{reg3?(e):} d'un marchand.
mno_urchin|{reg3?Une gamine:Un gamin} des rues.
mno_nomad|Un enfant de la steppe.
menu_start_character_3|{s11}^^ Puis, jeune adulte, votre vie a suivi son cours habituel. Vous êtes devenu(e)...
mno_squire|Un écuyer.
mno_lady|Une dame d'honneur.
mno_troubadour|{reg3?Une musicienne itinérante:Un troubadour}.
mno_student|{reg3?Une étudiante:Un étudiant} à l'université.
mno_peddler|{reg3?Une colporteuse:Un colporteur}.
mno_craftsman|{reg3?Une forgeronne:Un forgeron}.
mno_poacher|{reg3?Une braconnière:Un braconnier}.
menu_start_character_4|{s12}^^Mais rapidement tout a changé et vous avez décidé de tenter votre chance en tant qu'aventurier. Ce qui vous a incité à prendre cette décision fut...
mno_revenge|Une revanche à assouvir.
mno_death|La perte d'un être cher.
mno_wanderlust|L'appel de l'aventure.
mno_disown|Le fait d'être chasse{reg3?e:} de votre maison.
mno_greed|La soif d'argent et de pouvoir.
menu_choose_skill|{s13}
mno_begin_adventuring|Devenez un aventurier et chevauchez vers votre destinée.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|Vous établissez un camp. Que voulez-vous faire ?
mno_camp_action|Faire une action.
mno_camp_wait_here|Attendre ici pendant un certain temps.
mno_camp_cheat|MENU DES TRICHES !
menu_camp_cheat|Sélectionner une triche :
mno_camp_cheat_find_item|Changer les conditions climatiques.
menu_camp_action|Choisir une action :
mno_camp_recruit_prisoners|Recruter des soldats parmi vos prisonniers.
mno_action_read_book|Sélectionner un livre à lire.
mno_action_rename_kingdom|Renommez votre royaume.
mno_action_retire|Prendre sa retraite d'aventurier.
mno_camp_action_4|Revenir au menu Camp.
menu_camp_recruit_prisoners|Vous rendez la liberté à vos prisonniers s'ils acceptent à vous rejoindre en tant que soldats. {s18}
mno_camp_recruit_prisoners_accept|Les accepter.
mno_camp_recruit_prisoners_reject|Les rejeter.
menu_camp_no_prisoners|Vous n'avez aucun prisonnier à recruter.
menu_camp_action_read_book|Choisir un livre à lire :
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|Vous en êtes à votre {reg0} jour(s). Votre chance est actuellement de {reg1}. Êtes-vous sûr(e) de vouloir prendre votre retraite ?
mno_retire_yes|Oui.
mno_retire_no|Non.
menu_end_game|Votre décision est prise et vous vous êtes résolu(e) à abandonner votre vie d'aventurier et à vous ranger. Vous vendez vos armes et votre armure, vous rassemblez tout l'argent et chevauchez dans le soleil couchant... 
mno_end_game_bye|Adieu.
menu_cattle_herd|Vous croisez le chemin d'un troupeau de bétails.
mno_cattle_drive_away|Mener le bétail à destination.
mno_cattle_stop|Arrêter le troupeau.
mno_cattle_kill|Abattre certains des animaux.
mno_leave|Sortir
menu_cattle_herd_kill|Combien d'animaux voulez-vous abattre?
mno_cattle_kill_1|Un.
