lockitver|DO NOT DELETE THIS LINE! 2896
str_no_string|AUCUNE CHAÎNE!
str_empty_string| 
str_yes|Oui.
str_no|Non.
str_blank_string| 
str_noone|aucune
str_s50_and_s51|{s50} et {s51}
str_s52_and_s51|{s52} et {s51}
str_s5_s_party|Armée de {s5}
str_given_by_s1_at_s2|Donné par {s1} à {s2}
str_given_by_s1_in_wilderness|Donné par {s1} pendant qu'il est sur le terrain 
str_s7_raiders|{s7} pillards
str_bandits_eliminated_by_another|Les bandits gênants ont été éliminés par un autre groupe.
str_msg_battle_won|Victoire ! Appuyez sur la touche Tab pour quitter...
str_tutorial_map1|Vous êtes actuellement sur la carte du monde. Faites un clic gauche pour déplacer votre groupe vers cet endroit de la carte, pour rentrer dans le bourg sélectionné ou pour poursuivre le groupe sélectionné. Le temps arrêtera de s'écouler sur la carte terrestre si votre groupe ne se déplace pas, n'attend pas ou ne se repose pas. Pour laisser le temps s'écouler à n'importe quel endroit, vous pouvez simplement maintenir la barre d'espace enfoncée. 
str_charge|Charge
str_color|Couleur
str_flip_horizontal|Bascule horizontale
str_flip_vertical|Bascule verticale
str_hold_fire|Cesser le feu
str_blunt_hold_fire|Contondant / Cesser le feu
str_tutorial_ammo_refilled|Munitions rechargées.
str_tutorial_failed|Vous avez été vaincu, mais ne vous inquiétez pas. Suivez les instructions attentivement et vous ferez mieux la prochaine fois. Appuyez sur la touche Tab pour revenir au menu où vous pouvez choisir de recommencer ce didacticiel.
str_finished|(Fini)
str_delivered_damage|{reg60} dégâts causés.
str_archery_target_hit|Distance : {reg61} mètres. Score : {reg60}
str_use_baggage_for_inventory|Utilisez votre malle pour accéder à votre inventaire pendant la bataille (elle se trouve sur votre position de départ)
str_cant_use_inventory_now|Impossible d'accéder à l'inventaire pour le moment.
str_cant_use_inventory_arena|Impossible d'accéder à l'inventaire dans l'arène.
str_cant_use_inventory_disguised|Impossible d'accéder à l'inventaire lorsque vous êtes déguisé.
str_cant_use_inventory_tutorial|Impossible d'accéder à l'inventaire dans le camp d'entraînement.
str_1_denar|1 denier
str_reg1_denars|{reg1} deniers
str_january_reg1_reg2|{reg1} janvier {reg2}
str_february_reg1_reg2|{reg1} février {reg2}
str_march_reg1_reg2|{reg1} mars {reg2}
str_april_reg1_reg2|{reg1} avril {reg2}
str_may_reg1_reg2|{reg1} mai {reg2}
str_june_reg1_reg2|{reg1} juin {reg2}
str_july_reg1_reg2|{reg1} juillet {reg2}
str_august_reg1_reg2|{reg1} août {reg2}
