lockitver|DO NOT DELETE THIS LINE! 2896
ip_morale|Moral
ip_morale_text|Le moral représente la capacité et la volonté des membres d'un groupe à rassembler l'endurance, le courage et la discipline dont ils ont besoin pour affronter les contraintes du combat et de la marche. Cela n'a rien à voir avec le bonheur des troupes. Il arrive que les troupes d'élite protestent et se plaignent des épreuves qu'elles doivent endurer lors des campagnes, mais l'union fait la force dès que les flèches commencent à pleuvoir. À l'inverse, si un commandant satisfait tous les caprices de ses hommes, ceux-ci se ramolliront et pourront même refuser de combattre.^^ Le moral influe principalement sur le comportement combattif du groupe en déterminant son agressivité face à l'ennemi ainsi que la probabilité de débandade s'il sent qu'il n'est pas en position de remporter le combat. Le moral détermine également la vitesse de déplacement du groupe. Un groupe peu motivé se déplacera lentement, car les hommes s'économiseront physiquement et feront des pauses fréquentes pour attendre les retardataires. Enfin, un groupe au très faible moral commencera à souffrir de désertions.^^ Certains facteurs affectant le moral sont intuitifs. Par exemple, un commandant charismatique ayant la réputation de gagner ses combats peut insuffler de la confiance à ses hommes. D'autre part, un commandant qui offre à ses hommes une nourriture abondante et variée et qui les paie à temps montre qu'il se soucie de leur bien-être et a moins de chances de les mener à la catastrophe.^^ Il existe d'autres facteurs moins intuitifs, comme la cohésion. Dans un petit groupe uni, par exemple, les hommes donneront le meilleur d'eux-mêmes pour ne pas paraître lâches devant leurs compagnons d'armes. Un grand groupe, en revanche, pourra voir sa cohésion se fissurer, car le commandant aura moins de temps pour superviser les hommes, écouter leurs griefs et résoudre les conflits. Les batailles fréquentes renforceront les liens entre les hommes, tandis que les longues périodes d'inactivité seront sources d'ennui et de querelles.^^ Le rapport relatif au moral, accessible via le bouton ""Rapports"", présente au joueur les facteurs déterminants pour le moral de ses hommes.
ip_economy|Économie
ip_courtship|Relations de séduction
ip_courtship_text|Les joueurs peuvent convoiter une alliance maritale avec une famille de la noblesse de Calradia. Le mariage n'est pas le seul moyen d'acquérir pouvoir et stature, mais il permet au personnage d'améliorer ses relations avec les seigneurs et de revendiquer le trône.^^Les exigences liées au mariage sont différentes pour les hommes et les femmes. Un personnage masculin doit généralement courtiser la jeune fille conformément à la tradition. Il doit se forger une réputation dans la société aristocratique calradienne, tisser de bonnes relations avec les parents ou tuteurs de la jeune fille, puis la courtiser selon les coutumes locales. Si le joueur est trop impatient, il peut tenter de prendre un raccourci, mais ses relations avec les autres seigneurs en pâtiront.^^Les personnages masculins sont en concurrence avec les autres seigneurs pour s'attirer les bonnes grâces des dames du royaume. De plus, les goûts d'une femme sont imprévisibles, et un joueur peut estimer que son amour n'est pas réciproque. Les histoires d'amour, à Calradia comme ailleurs, ne finissent pas toujours bien. Le joueur peut évidemment avoir recours à d'autres moyens, moins convenables, pour séduire une dame, mais ici encore, sa réputation en pâtira.^^Pour courtiser une dame de la noblesse, le joueur masculin doit se faire une place dans la société aristocratique calradienne en organisant des banquets et des tournois. Sachez également que les troubadours et les poètes itinérants constituent parfois de précieuses sources d'informations dans le domaine amoureux.^^Les personnages féminins peuvent également se marier... mais la société calradienne est très traditionnelle et la profession d'aventurière est une voie très peu conventionnelle pour une femme. Les personnages féminins doivent parfois chercher longtemps avant de trouver un seigneur suffisamment large d'esprit pour les épouser.^^En revanche, les femmes échappent aux rituels de séduction élaborés imposés aux hommes et peuvent tirer davantage profit d'un mariage que leurs homologues masculins. Pour une aventurière, le mariage est un moyen rapide d'accéder au pouvoir... et une femme peu scrupuleuse peut utiliser son mari pour servir ses ambitions politiques.
ip_politics|Politique
ip_politics_text|Les royaumes de Calradia, bien que composés d'une mosaïque de cultures, reposent tous sur le même système politique de base : le système féodal. Le système féodal est basé sur les relations entre les individus : le serment de loyauté prêté par un vassal à son suzerain. En échange de ce serment, le vassal reçoit généralement un fief, domaine dont les revenus lui permettent de lever des troupes afin de soutenir le suzerain en période de guerre. Le suzerain a également l'obligation de protéger ses vassaux et de les traiter équitablement.^^Du moins, en théorie. Car en pratique, les vassaux n'œuvrent pas toujours dans l'intérêt de leur faction, notamment en raison de leurs fréquentes disputes. Les nobles ont chacun leur personnalité, et ces personnalités entrent parfois en conflit. Deux nobles jusque-là amis peuvent se brouiller après une déconvenue ou une défaite... ou parce qu'ils courtisent tous deux la même dame. Les jalousies refont également surface lorsqu'ils se disputent les faveurs du roi... pour des territoires nouvellement conquis, par exemple, ou pour déterminer qui sera nommé au poste très convoité de maréchal, seigneur chargé de l'organisation des campagnes à grande échelle.^^Lorsqu'un royaume de Calradia est en guerre avec un autre, l'unité politique de chaque royaume est aussi déterminante que la qualité ou le nombre de ses soldats pour l'issue du conflit. Dans un royaume où règne la cohésion, les nobles unissent leurs forces au sein d'une grande armée afin de balayer leur adversaire. Dans un royaume divisé par des querelles insignifiantes, les seigneurs ne répondent pas aux appels du maréchal ou se dispersent pour vaquer à leurs occupations si la campagne tourne mal. Et même lorsqu'aucune campagne n'est en cours, la cohésion politique d'une faction peut avoir un impact sur la guerre. Dans une faction divisée, les seigneurs sont moins enclins à s'unir pour lancer des attaques, effectuer des patrouilles et se défendre mutuellement.^^ Si les querelles des nobles vous semblent contraires à leurs intérêts face à l'ennemi, souvenez-vous de ceci : la véritable loyauté d'un noble ne va pas à une faction ou à une culture particulière, mais à lui-même et à sa famille. Si un noble craint de voir sa faction s'écrouler, ou s'il est négligé par son suzerain, il trouvera un motif pour renoncer à son serment d'allégeance et changer de camp. Les joueurs doivent s'en souvenir afin de saisir les éventuelles opportunités de transformer d'anciens ennemis mécontents en alliés.
ip_character_backgrounds|Histoires des personnages
ip_character_backgrounds_text|En tant que joueur, vous pouvez choisir l'origine sociale de votre personnage. Ce choix déterminera ses compétences et son équipement de départ ainsi que le déroulement de sa carrière d'aventurier.^^À Calradia, la guerre et la politique sont traditionnellement dominées par des hommes de la noblesse. Les joueurs masculins issus de l'aristocratie n'auront aucun mal à se faire admettre dans ce club, contrairement aux femmes et aux roturiers. Si vous choisissez de commencer le jeu en tant qu'homme issu de la noblesse, considérez qu'il s'agit d'un paramètre ""facile"". Commencer en tant que femme issue de la noblesse ou en tant qu'homme roturier est un peu plus difficile, tandis que le choix d'une roturière constitue le moyen le plus compliqué d'aborder le jeu.^^Cela dit, les femmes disposent d'avantages. Le simple fait de prendre les armes permettra à une guerrière d'attirer l'attention sur elle et de se forger une réputation plus vite qu'un homme. De plus, il est traditionnellement plus facile pour une femme de gravir l'échelle sociale par le mariage, et elle a généralement plus à gagner d'une alliance maritale stratégique qu'un homme.^^Enfin, sachez qu'il n'existe aucune limite en termes d'ascension sociale des personnages, quelle que soit leur origine sociale. Noble ou roturier, homme ou femme, marié ou célibataire, n'importe qui peut gravir les échelons et accéder au trône de Calradia, à condition d'avoir du courage, de la chance ou des ressources.
ip_military_campaigns|Campagnes militaires
