lockitver|DO NOT DELETE THIS LINE! 2896
pt_none|Aucun
pt_rescued_prisoners|Prisoniers secourus 
pt_enemy|Ennemi
pt_hero_party|Groupe du héros 
pt_village_defenders|Défenseurs du village 
pt_cattle_herd|Troupeau de bétails 
pt_looters|Pilleurs
pt_manhunters|Chasseurs de primes
pt_steppe_bandits|Bandits des steppes
pt_taiga_bandits|Bandits de la toundra
pt_desert_bandits|Bandits du désert
pt_forest_bandits|Bandits des forêts
pt_mountain_bandits|Bandits des montagnes 
pt_sea_raiders|Pillards des mers 
pt_deserters|Déserteurs
pt_merchant_caravan|Caravane de marchand
pt_troublesome_bandits|Bandits gênants 
pt_bandits_awaiting_ransom|Bandits attendant une rançon 
pt_kidnapped_girl|Fille kidnappée 
pt_village_farmers|Fermiers du village
pt_spy_partners|Voyageurs ordinaires 
pt_runaway_serfs|Serfs en fuite 
pt_spy|Habitant ordinaire
pt_sacrificed_messenger|Messager sacrifié 
pt_forager_party|Groupe de ravitailleurs
pt_scout_party|Éclaireurs 
pt_patrol_party|Patrouilleur
pt_messenger_party|Messager 
pt_raider_party|Pillards
pt_raider_captives|Pillards prisoniers 
pt_kingdom_caravan_party|Caravane
pt_prisoner_train_party|Convoi de prisonniers
pt_default_prisoners|Prisoniers par défaut 
pt_routed_warriors|Ennemis en déroute
pt_center_reinforcements|Renforts
pt_kingdom_hero_party|Groupe de guerre
pt_steppe_bandit_lair|Repaire de bandits des steppes
pt_taiga_bandit_lair|Repaire de bandits de la toundra
pt_desert_bandit_lair|Repaire de bandits du désert
pt_forest_bandit_lair|Camp de bandits des forêts
pt_mountain_bandit_lair|Cachette de bandits des montagnes
pt_sea_raider_lair|Débarquement de pillards des mers
pt_looter_lair|Cachette des ravisseurs
pt_leaded_looters|Bande de voleurs
