lockitver|DO NOT DELETE THIS LINE! 2896
qst_deliver_message|Porter un message à {s13}
qst_deliver_message_to_enemy_lord|Porter un message à {s13}
qst_raise_troops|Lever {reg1} {s14}
qst_escort_lady|Escorter {s13} vers {s14}
qst_deal_with_bandits_at_lords_village|Sauver le village de {s15} des maraudeurs
qst_collect_taxes|Collecter les impôts de {s3}
qst_hunt_down_fugitive|Pourchasser {s4}
qst_kill_local_merchant|Assassiner le marchand local à {s3}
qst_bring_back_runaway_serfs|Ramener les serfs en fuite
qst_follow_spy|Suivre un espion jusqu'à son lieu de rendez-vous
qst_capture_enemy_hero|Capturer un seigneur de {s13}
qst_lend_companion|Accorder l'aide de votre compagnon {s3} à {s9}
qst_collect_debt|Collecter la dette que {s3} doit à {s9}
qst_incriminate_loyal_commander|Accuser {s16}, le loyal commandant de {s13}.
qst_meet_spy_in_enemy_town|Rencontrer un espion à {s13}
qst_capture_prisoners|Amener {reg1} {s3} Prisonniers
qst_lend_surgeon|Accorder à {s1} l'aide de {s3}, votre chirurgien 
qst_follow_army|Suivre l'armée de {s9}
qst_report_to_army|Faire un compte rendu à {s13}, le Maréchal 
qst_deliver_cattle_to_army|Ramener {reg3} têtes de bétail à {s13}
qst_join_siege_with_army|Rejoindre le siège de {s14}
qst_screen_army|Jalonner l'avance de l'armée de {s13}
qst_scout_waypoints|Éclaireur {s13}, {s14} et {s15}
qst_rescue_lord_by_replace|Recrue {s13} de {s14}
qst_deliver_message_to_prisoner_lord|Porter un message à {s13} à {s14}
qst_duel_for_lady|Défier {s13} à une épreuve par les armes
qst_duel_courtship_rival|Défier {s13} à une épreuve par les armes (facultatif)
qst_duel_avenge_insult|Défier {s13} à une épreuve par les armes
qst_move_cattle_herd|Mener le troupeau de bétails vers {s13}
qst_escort_merchant_caravan|Escorter la caravane du marchand vers {s8}
qst_deliver_wine|Apporter {reg5} unités de {s6} à {s4}
qst_troublesome_bandits|Pourchasser les bandits gênants
qst_kidnapped_girl|Payer la rançon d'une fille aux bandits
qst_persuade_lords_to_make_peace|S'assurer que les deux seigneurs ne font pas obstacle à la paix
qst_deal_with_looters|S'occuper des pillards
qst_deal_with_night_bandits|S'occuper des bandits nocturnes
qst_deliver_grain|Apporter du blé à {s3}
qst_deliver_cattle|Rapporter {reg5} têtes de bétail vers {s3}
qst_train_peasants_against_bandits|Entraîner les paysans de {s13} à combattre les bandits.
qst_eliminate_bandits_infesting_village|Sauver le village de {s7} des maraudeurs
qst_visit_lady|Rendre visite à une dame
qst_formal_marriage_proposal|Demande en mariage solennelle
qst_obtain_liege_blessing|Demande en mariage solennelle
qst_wed_betrothed|Épouser votre fiancée
qst_wed_betrothed_female|Épouser votre fiancé
qst_join_faction|Prêter serment d'hommage à {s1}
qst_rebel_against_kingdom|Aider {s13} à revendiquer le trône de {s14}
qst_consult_with_minister|Consulter le ministre
qst_organize_feast|Organiser un banquet
qst_resolve_dispute|Résoudre un différend
qst_offer_gift|Confier un présent
qst_denounce_lord|Dénoncer un seigneur
qst_intrigue_against_lord|Intriguer contre un seigneur
qst_track_down_bandits|Dépister les bandits
qst_track_down_provocateurs|Dépister les provocateurs
qst_retaliate_for_border_incident|Riposter à un incident frontalier
qst_raid_caravan_to_start_war|Attaquer une caravane neutre pour provoquer une guerre
qst_cause_provocation|Pousser un royaume à en attaquer un autre
qst_rescue_prisoner|Libérer ou racheter un prisonnier
qst_destroy_bandit_lair|Détruire le repaire des bandits
qst_collect_men|Réunir cinq hommes
qst_learn_where_merchant_brother_is|Trouver les otages
qst_save_relative_of_merchant|Attaquer le repaire des bandits
qst_save_town_from_bandits|Sauver le bourg des bandits
qst_quests_end|Fin des quêtes
