lockitver|DO NOT DELETE THIS LINE! 2896
qstr_Next_Page|Page suivante
qstr_Game_Rules:^|Règles du jeu :^
qstr_Show_game_rules|Afficher les règles du jeu
qstr_Continue...|Continuer...
qstr_Candidate_#1:_{s1}|Candidat #1 : {s1}
qstr_Candidate_#2:_{s1}|Candidat #2 : {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} de {s4} souhaite choisir un nouveau maréchal et invite ses vassaux au conseil. {s1} et {s2} sont les candidats potentiels.
qstr_Who_do_you_wish_to_s|À qui souhaitez-vous apporter votre aide ?
qstr_{s1}_gives_his_suppo|{s1} apporte son aide à {s2}.
qstr_Number_of_Supporters|Nombre de partisans : {reg0}
qstr_{s2}_has_heard_his_v|{s2} a tenu compte du conseil de ses vassaux. Il nomme {s1} maréchal de {s3}.
qstr_Action|Action
qstr_Mount|Montez
qstr_Attack_Type|Type d'attaque
qstr_Stand_Ground|Défendez vos positions
qstr_Charge|Chargez
qstr_Follow_Me|Suivez-moi
qstr_Hold_This_Position|Tenez cette position
qstr_Spread_Out|Déployez-vous
qstr_Stand_Closer|Resserrez les rangs
qstr_Fall_Back|Repliez-vous
qstr_Advance|Avancez
qstr_Dismount|Descendez
qstr_Fire_At_Will|Feu à volonté
qstr_Hold_Your_Fire|Cessez le feu
qstr_Use_Blunt_Weapons|Utilisez des armes contondantes
qstr_Use_Any_Weapon|Utilisez vos armes
qstr_Ready|Prêt(s)
qstr_Wounded|Blessé(s)
qstr_Dead|Mort(s)
qstr_Number_of_men_knocke|Nombre d'hommes inconscients : {reg1}
qstr_Number_of_men_left:_|Nombre d'hommes restants : {reg1}
qstr_Opponents_Beaten:_{r|Adversaires vaincus : {reg1}
qstr_Opponents_Remaining:|Adversaires restants : {reg1}
qstr_Remain_in_retirement|Rester à la retraite.
qstr_Go_back_to_the_adven|Repartir à l'aventure.
qstr_You_have_retired_at_|Vous avez pris votre retraite au niveau {reg4} après {reg5} jours d'aventure.
qstr_Effect_on_Score|Effet sur le score
qstr_Settlements_owned_by|Territoires en votre possession : {reg0}
qstr_Friendly_Settlements|Territoires alliés : {reg0}
qstr_Hostile_Settlements:|Territoires hostiles : {reg0}
qstr_Friendly_Lords:_{reg|Seigneurs alliés : {reg0}
qstr_Enemy_Lords:_{reg0}|Seigneurs ennemis : {reg0}
qstr_Victories:_{reg0}|Victoires : {reg0}
qstr_Defeats:_{reg0}|Défaites : {reg0}
qstr_Quests_Completed:_{r|Quêtes accomplies : {reg0}
qstr_Companions_Found:_{r|Compagnons trouvés : {reg0}
qstr_Companions_Lost/Depa|Compagnons perdus/partis : {reg0}
qstr_Wealth:_{reg0}_denar|Richesses : {reg0} deniers
qstr_Inventory:_{reg0}_de|Inventaire : {reg0} deniers
qstr_Renown:_{reg0}|Renommée : {reg0}
qstr_Experience:_{reg0}|Expérience: {reg0}
qstr_Days_Passed:_{reg0}|Jours écoulés : {reg0}
qstr_Difficulty:_{reg0}%|Difficulté : {reg0}%
qstr_TOTAL_SCORE:_{reg0}|SCORE TOTAL : {reg0}
qstr_None|Aucun
qstr_{s1}_of_{s3}_was_def|{s1} de {s3} a été vaincu au combat mais est parvenu à s'enfuir.
qstr_{s54}_is_a_claimant_|{s54} est un prétendant au trône du {s56}.
qstr_nowhere|nulle part
qstr_{s57}_and_{s58}|{s57} et {s58}
qstr_{reg3?She:He}|{reg3?Elle:Il}
qstr_The_town_of_{s50}|Le bourg de {s50}
qstr_The_village_of_{s50}|Le village de {s50} près de {s52}
qstr_{s51}_belongs_to_{s1|{s51} appartient au {s1} du {s2}.^
qstr_{s7}_and_{s8}|{s7} et {s8}
qstr_{s2}It_has_no_villag|{s2}Il ne possède pas de villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Ses villages sont:Son village est} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sa prospérité est : {s50}
qstr_noone|personne
qstr_{s9}_and_{s10}|{s9} et {s10}
qstr_{s5}_has_been_defeat|Le {s5} a été vaincu !
qstr_{s7}_opened_the_gate|{s7} a ouvert la porte
qstr_{s7}_closed_the_gate|{s7} a fermé la porte
qstr_+{reg1}_to_party_mor|+{reg1} au moral du groupe
qstr_Requires_{reg1}_inte|Requiert {reg1} en intelligence pour être lu
qstr_Reading_Progress:_{r|Progression de la lecture : {reg1}%
qstr_wound_treament|soins des blessures
qstr_trainer|mentor
qstr_surgery|chirurgie
qstr_+1_to_{s1}_while_in_|+1 à la compétence {s1} si dans l'inventaire
qstr_Move_here|Allez ici
qstr_View_notes|Voir les notes
qstr_killed|tué(s)
qstr_wounded|blessé(s)
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL : {reg3} ({s2})
qstr_^None|^Aucune
qstr_nothing|rien
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} château{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} château{reg1?s:} et {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} bourg{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} bourg{reg1?s:} et {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} bourg{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Vos adversaires sont prêts au combat.
qstr_Try_to_destroy_as_ma|Tentez d'abattre autant de cibles que possible. Vous disposez de deux minutes et trente secondes pour nettoyer la zone.
qstr_Stay_behind_the_line|Restez derrière la ligne au sol et tirez sur les cibles. Veillez à ne pas gâcher de munitions.
qstr_Battle_Advantage_=_{|Avantage de combat = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} veut que vous suiviez son armée jusqu'à nouvel ordre.
qstr__Being_Raided_|(En train d'être pillé)
qstr__Looted_|(Pillé)
qstr__Under_Siege_|(Assiégé)
qstr_The_village_of_{s1}_|Le village de {s1} a été pillé par les {s2}.
qstr_{s3}_is_no_longer_un|{s3} n'est plus assiégé.
qstr_Small_bands_of_enemi|Petits groupes d'ennemis repérés près de {s1}.
qstr_Enemy_patrols_spotte|Patrouilles ennemies repérées près de {s1}.
qstr_Medium_sized_group_o|Groupe d'ennemis de taille moyenne repéré près de {s1}.
qstr_Significant_group_of|Important groupe d'ennemis repéré près de {s1}.
qstr_Army_of_enemies_spot|Armée ennemie repérée près de {s1}.
qstr_Large_army_of_enemie|Grande armée ennemie repérée près de {s1}.
qstr_Great_host_of_enemie|Immense armée ennemie repérée près de {s1}.
qstr_{s1}_has_been_besieg|{s1} a été assiégé par {s2} du {s3}.
qstr_{s1}_is_the_new_mars|{s1} est le nouveau maréchal de {s2}.
qstr_You_gained_{reg12}_r|Votre renommée a augmenté de {reg12}.
qstr_You_lose_{reg12}_ren|Votre renommée à diminué de {reg12}.
qstr_Your_relation_with_{|Vos relations avec {s1} se sont améliorées.
qstr_Your_relation_with_{s|Vos relations avec {s1} se sont détériorées.
qstr_You_gain_honour.|Vous gagnez de l'honneur.
qstr_You_lose_honour.|Vous perdez de l'honneur.
qstr_{s1}_has_declared_wa|{s1} a déclaré la guerre au {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} et {s2} ont fait la paix.
qstr_{s2}_{reg3?was:is_cu|Le {s2} {reg3?était:est actuellement} à {s3}.
