lockitver|DO NOT DELETE THIS LINE! 2896
skl_trade|Marchandage
skl_trade_desc|Chaque niveau de cette compétence réduit votre pénalité de commerce de 5%%. (Compétence de groupe)
skl_leadership|Sens du commandement
skl_leadership_desc|Chaque point augmente le nombre maximum de troupes que vous pouvez commander de 5 ainsi que le moral de votre groupe. Chaque point reduit également la solde des troupes de 5%%. (Compétence de commandement)
skl_prisoner_management|Gestion des prisonniers
skl_prisoner_management_desc|Chaque niveau de cette compétence augmente le nombre maximum de prisonniers de %d. (Compétence de commandement)
skl_reserved_1|Compétence réservée 1
skl_reserved_1_desc|Cette compétence est réservée.
skl_reserved_2|Compétence réservée 2
skl_reserved_2_desc|Cette compétence est réservée.
skl_reserved_3|Compétence réservée 3
skl_reserved_3_desc|Cette compétence est réservée.
skl_reserved_4|Compétence réservée 4
skl_reserved_4_desc|Cette compétence est réservée.
skl_persuasion|Persuasion
skl_persuasion_desc|Cette compétence permet d'imposer votre point de vue à d'autres personnes. (Compétence personnelle)
skl_engineer|Ingénierie
skl_engineer_desc|Cette compétence vous permet de construire des équipements de siège et d'aménager votre fief plus efficacement. (Compétence de groupe)
skl_first_aid|Premiers secours
skl_first_aid_desc|Les héros regagnent 5%% de leurs points de santé perdus pendant une mission par niveau de compétence. (Compétence de groupe)
skl_surgery|Chirurgie
skl_surgery_desc|Chaque point investi dans cette compétence octroie 4%% de chance qu'un membre du groupe mortellement touché soit blessé au lieu de mourir. (Compétence de groupe)
skl_wound_treatment|Soins des blessures
skl_wound_treatment_desc|La vitesse de guérison du groupe est augmentée de 20%% par niveau de compétence. (Compétence de groupe)
skl_inventory_management|Organisation de l'inventaire
skl_inventory_management_desc|Augmente la capacité de l'inventaire de 6 par niveau de compétence. (Compétence de commandement)
skl_spotting|Repérage
skl_spotting_desc|Le champ de vision du groupe est augmenté de 10%% par niveau de compétence. (Compétence de groupe)
skl_pathfinding|Connaissance du terrain
skl_pathfinding_desc|La vitesse de voyage sur la carte est augmentée de 3%% par niveau de compétence. (Compétence de groupe)
skl_tactics|Tactiques
skl_tactics_desc|Tous les deux niveaux de compétence, Tactiques augmente votre avantage de combat de 1. (Compétence de groupe)
skl_tracking|Pistage
skl_tracking_desc|Les empreintes révèlent plus d'informations. (Compétence de groupe)
skl_trainer|Mentor
skl_trainer_desc|Chaque jour, tous les héros possédant cette compétence donnent de l'expérience à tous les autres membres du groupe dont le niveau est inférieur au leur. L'expérience gagnée augmente ainsi : {0,4,10,16,23,30,38,46,55,65,80}. (Compétence personnelle)
skl_reserved_5|Compétence réservée 5
skl_reserved_5_desc|Cette compétence est réservée.
skl_reserved_6|Compétence réservée 6
skl_reserved_6_desc|Cette compétence est réservée.
skl_reserved_7|Compétence réservée 7
skl_reserved_7_desc|Cette compétence est réservée.
skl_reserved_8|Compétence réservée 8
skl_reserved_8_desc|Cette compétence est réservée.
skl_looting|Pillage
skl_looting_desc|Cette compétence augmente le montant du butin obtenu de 10%% par niveau de compétence. (Compétence de groupe)
skl_horse_archery|Archerie montée
skl_horse_archery_desc|Réduit les pénalités de dégâts et de précision lors de l'utilisation d'un arc ou d'une arme de jet sur une monture. (Compétence personnelle)
skl_riding|Équitation
skl_riding_desc|Vous permet de monter des chevaux de niveaux de difficulté plus élevés et augmente la vitesse et la maniabilité de votre monture. (Compétence personnelle)
skl_athletics|Athlétisme
skl_athletics_desc|Améliore votre vitesse de course. (Compétence personnelle)
skl_shield|Bouclier
skl_shield_desc|Réduit les dégâts infligés aux boucliers (de 8%% par niveau de compétence) et améliore la surface couverte par le bouclier ainsi que sa vitesse. (Compétence personnelle)
skl_weapon_master|Maître d'armes
skl_weapon_master_desc|Rend l'apprentissage des maîtrises d'armes plus facile et en augmente les limites. Les limites augmentent ainsi : 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (Compétence personnelle)
skl_reserved_9|Compétence réservée 9
skl_reserved_9_desc|Cette compétence est réservée.
skl_reserved_10|Compétence réservée 10
skl_reserved_10_desc|Cette compétence est réservée.
skl_reserved_11|Compétence réservée 11
skl_reserved_11_desc|Cette compétence est réservée.
skl_reserved_12|Compétence réservée 12
skl_reserved_12_desc|Cette compétence est réservée.
skl_reserved_13|Compétence réservée 13
skl_reserved_13_desc|Cette compétence est réservée.
skl_power_draw|Puissance de tension
skl_power_draw_desc|Permet au personnage d'utiliser des arcs plus puissants. Chaque point investi dans cette compétence (jusqu'à 4 en plus du prérequis en puissance de tension de l'arc) augmente les dégâts infligés avec les arcs de 14%%. (Compétence personnelle)
skl_power_throw|Puissance de jet
skl_power_throw_desc|Chaque point investi dans cette compétence augmente les dégâts des armes de jet de 10%%. (Compétence personnelle)
skl_power_strike|Puissance de frappe
skl_power_strike_desc|Chaque point investi dans cette compétence augmente les dégâts au corps-à-corps de 8%%. (Compétence personnelle)
skl_ironflesh|Santé de fer
skl_ironflesh_desc|Chaque point investi dans cette compétence augmente les points de santé de 2. (Compétence personnelle)
skl_reserved_14|Compétence réservée 14
skl_reserved_14_desc|Cette compétence est réservée.
skl_reserved_15|Compétence réservée 15
skl_reserved_15_desc|Cette compétence est réservée.
skl_reserved_16|Compétence réservée 16
skl_reserved_16_desc|Cette compétence est réservée.
skl_reserved_17|Compétence réservée 17
skl_reserved_17_desc|Cette compétence est réservée.
skl_reserved_18|Compétence réservée 18
skl_reserved_18_desc|Cette compétence est réservée.
