dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Bu bölgeye bir derebeyi atama işini, beylerimin fikrini alana kadar ertelemek istiyorum.
dlga_award_fief_to_vassal_defer:close_window|Elbette, {beyim/hanımım}. Bu konudaki kararınızı daha sonra verebilirsiniz.
dlga_award_fief_to_vassal_2:close_window|Nasıl isterseniz, {beyim/hanımım}. {s1}{.nin} yeni {reg3?hanımı:efendisi} {reg6?ben olacağım:{reg7?siz olacaksınız:{s11}} olacak}.
dlga_event_triggered:center_captured_rebellion|{s1} herhangi biri tarafından yönetilmiyor. Oranın başına kimi getirmeliyim?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Lütfen {s65}, {s1} topraklarını kendim için istiyorum. (topraklar: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} toprakları senin olmalı. (topraklar: {s0})
dlga_center_captured_rebellion_2:close_window|Hımm... Pekala, {playername}. Tavsiyelerin benim için çok değerli. {s1} topraklarının yeni {reg3?hanımı:efendisi} {reg6?ben olacağım:{reg7?sen olacaksın:{s11} olacak}} .
dlga_start:fighter_talk|Merhabalar. Burada biraz talim yapıp dövüş yeteneklerimizi geliştiriyoruz. Sen de dövüş talimi yapmak istersen bize katılabilirsin. Herhangi bir dövüş tekniğinin açıklamasına ihtiyaç duyarsan, birimize sor, elimizden geldiğince anlatmaya çalışırız.
dlga_start:fighter_talk.1|Neyi talim etmek istersin?
dlga_fighter_pretalk:fighter_talk|Hangi talimi yapmak istersin?
dlga_fighter_talk:fighter_talk_train_attack|Saldırı talimi yapmak istiyorum.
dlga_fighter_talk:fighter_talk_train_parry|Silahımla savunma yapmayı öğrenmek istiyorum.
dlga_fighter_talk:fighter_talk_train_combat|Dövüş talimi yapmak istiyorum.
dlga_fighter_talk:close_window|[Ayrıl]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Pekala. Dört değişik saldırı yönü vardır. Bunlar yukarıdan saldırı, sağdan saldırı, soldan saldırı ve saplama hamlesidir. Bu talimde sana hangi çeşit saldırı yapmanı istediğimi söyleyeceğim, sen de dediğim saldırıyı yapmalısın.  ^^( Saldırı yönünü belirlemek için sol tuşa basarken fareyi hareket ettirin. Örneğin yukarıdan saldırmak için fareyi yukarıya hareket ettirirken sol tuşa basın.  Ekranda görünen ikonlar size yapmanız gereken hareketi gösterecektir.)
dlga_fighter_talk_train_attack_2:close_window|Başlayalım öyleyse. Ben hazırım.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Aslında başka birşey yapmak istiyorum.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Kalkan her yönden gelen saldırıyı savuşturur. Ama kılıç ya da başka bir silahla blok yapıyorsan, yalnızca blok yaptığın yönden gelen saldırıları durdurabilirsin. Mesela  yukarı blok yapıyorsan sadece yukarıdan aşağıya savrulmuş darbeleri durdurabilirsin, ama rakibin başka çeşit bir saldırı yapıyorsa blokun işe yaramaz.^^(Blok yapmak için farenin sağ tuşuna basılı tutun.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Şimdi sana farklı saldırı çeşitleriyle geleceğim ama silahımla sana vurmadan önce doğru blok hareketini yapmanı bekleyeceğim. Sen de mümkün olduğunca çabuk doğru bloku yapmaya çalış. (Bu egzersiz otomatik blok yönü seçme seçeneğiyle çok kolaydır.  Eğer seçeneklere gidip blok yönü seçimini 'fare ile' veya 'klavye ile' yaparsanız doğru blok yönünü kendiniz seçmek zorunda kalırsınız. Bu çok daha zor olmakla birlikte oyunu da çok daha eğlenceli hale getirir. Bu durumda bloklamayı öğrenmeniz için bu egzersiz çok faydalı olacaktır.)
dlga_fighter_talk_train_parry_3:close_window|Başlayalım öyleyse. Ben hazırım.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Aslında ben başka bir şey yapmak istiyorum.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Dövüş talimi gerçek muharebeye hazırlık için mükemmel bir yoldur. Şimdi ölümcül zarar vermeyen tahta silahlarla ikimizden biri yere düşene kadar dövüşeceğiz. Biraz yara bere içinde kalabilirsin ama gerçek savaşta ikiye kesileceğine dersini burada alman daha iyi.
dlga_fighter_talk_train_combat_2:close_window|Başlayalım öyleyse. Ben hazırım.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Aslında ben başka bir şey yapmak istiyorum.
dlga_start:fighter_parry_try_again|Güzel. Saldırılarımı gayet iyi savuşturdun. İstersen bu talimi tekrarlayabiliriz, sen de doğru blokları daha hızlı yapmaya çalışırsın. Tekrar denemek ister misin?
dlga_start:fighter_parry_try_again.1|Pekala, sanırım pek iyi gitmedi. (Unutma, bloklamayı doğru bir şekilde yapmak için fareyi hareket ettirirken sağ fare tuşuna basılı tutmalısın.) Tekrar denemek ister misin?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Evet. Tekrar deneyelim.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Hayır, sanırım şimdilik bu kadar yeter.
dlga_start:fighter_parry_warn|Hey! Saldırı engellemeyi çalışıyoruz dostum. Saldırımlarımı engellemen gerek, sense bana geri saldırıyorsun.
dlga_fighter_parry_warn:fighter_talk_train_parry|Özür dilerim – tekrar deneyelim.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Üzgünüm. Talimi yarıda bırakmam gerek.
dlga_fighter_talk_leave_parry:close_window|Tamamdır. Nasıl istersen
dlga_start:fighter_combat_try_again|Pekala, sanırım pek iyi gitmedi. Ama azmini yitirme. Aynı hatayı da bir daha yapmamaya çalış. Tekrar denemek ister misin?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Evet. Tekrar deneyelim.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Hayır, sanırım şimdilik bu kadar yeter.
dlga_fighter_talk_leave_combat:close_window|Pekala, sen bilirsin. Fikrini değiştirirsen yanıma gel.
dlga_start:fighter_combat_try_again.1|İyi dövüş oldu. Beni bu sefer yendin ama sonraki sefere galip ben olacağım. Ne dersin, bir daha dövüşelim mi?
dlga_start:fighter_talk.2|Güzel. Sana söylediğim yönden saldırmayı becerdin. İstersen bu talimi tekrarlayabilir ya da başka bir talime geçebiliriz.
dlga_start:archer_challenge_2|Fena değil. Okçuluğun temel kaidelerini anlamış gibisin. Bu sefer aynı talimi kundaklı yayla yapmaya çalış. Kundaklı yayı kullanması ok yaya göre daha kolaydır ama her atıştan sonra yeni ok koyup kurman gerekir.
dlga_start:archer_challenge_2.1|İyi. Kundaklı yayı kullanmakta da fazla zorlanmadın. Şimdi de fırlatmayı öğreneceksin. Şurada gördüğün cidarları alıp arkadaki üç hedefi vurmaya çalış. 
dlga_start:ranged_end|Evet, böylece üç uzak mesafe silah çeşidini kullanmayı da öğrenmiş oldun. Bundan sonrası sana kalmış. Her gün düzenli talim yaparsan zamanla Kalradyanın en iyi nişancıları kadar iyi bir atıcı olursun.
dlga_ranged_end:close_window|Şimdi gidip dövüşçülerle ya da binicilerle çalışabilirsin. Onlardan da öğreneceğin çok şeyler var.
dlga_start:archer_talk|Merhaba, oğlum. Ben şuradakilerin okçuluk ustasıyım. Günlerimi bu talim alanında isteyen gençlere okçuluğu öğreterek geçiriyorum. Eğer senin de bir ustaya ihtiyacın varsa, sana da yay, kundaklı yay ve cida atmanın temel kaidelerini öğretirim.
dlga_archer_talk:archer_challenge|Evet, ustam. Bana bu silahları kullanmayı göster.
dlga_archer_talk:close_window|İstemem. Sağol.
dlga_archer_challenge:archer_challenge_2|Pekala. İlk önce ok atmayı göstereceğim. Ok yayı kullanmak hüner ister. Ama bir kez öğrendin mi süratli ve güçlü şekilde ok atıp düşmanlarını perişan edebilirsin. Şimdi gidip şurada gördüğün yay ve okları al. Sonra da nişan alıp şu arkamdaki hedefleri vur.
dlga_archer_challenge_2:close_window|Tamam. Hazırım.
dlga_archer_challenge_2:close_window.1|Az izin ver. Önce başka birşey yapmam lazım.
dlga_start:horseman_melee_challenge_2|Umarım at binmekten hoşlanmışsındır. Şimdi daha zor bir işe geçelim. Şurada gördüğün kargıyı alıp koşu alanının yanındaki hedeflerin her birine birer kez vur.
dlga_start:horseman_melee_challenge_2.1|Aferin. At üzerinde hedeflerin hepsini vurmayı becerdin. Bir acemi için hiç fena sayılmaz. Şimdiki görevin at üstünde ok ve yay kullanarak okçuluk hedeflerinin her birine bir ok saplamak olacak.
dlga_start:horsemanship_end|Çok iyi. Ok ve yayla tüm hedefleri vurdun. Bundan sonra her gün binicilik ve savaş talimlerini yapmaya devam et ki kısa zamanda usta bir süvari olasın.
dlga_horsemanship_end:close_window|Şimdi gidip dövüşçülerle ya da okçuluk ustasıyla çalışabilirsin. Zamanı geldiğinde kendini savunmak için mümkün olduğunca çok şey öğrenmelisin.
dlga_start:horseman_talk|İyi günler. Buraya at binmeye gelmiştim ama sırtımın ağrısı bana bana bugün aman vermeyecek. Eğer istersen atımı alıp biraz binicilik çalışabilirsin. Hem ata da talim olmuş olur.
dlga_horseman_talk:horseman_challenge|Evet, ustam. At binmeyi çok isterim.
dlga_horseman_talk:close_window|Sağol, ustam. Belki sonra.
dlga_horseman_challenge:horseman_melee_challenge_2|Güzel. Şimdi sana biniciliği ve at sırtında silah kullanmayı öğretecek birkaç talim vereceğim. İlk görevin ata binip alanın etrafında en az bir tur gitmek. İstediğin yerde hızlı istediğin yerde yavaş git. Ata alışmaya çalış ki bundan sonraki daha zor talimlere hazır olasın.
dlga_horseman_melee_challenge_2:close_window|Tamam. 
dlga_horseman_melee_challenge_2:close_window.1|Biraz bekle. Önce yapmam gereken bir şey var.
dlga_tutorial_troop_default:close_window|Hey, burada nişan almaya çalışıyorum. Eğer okçuluk öğrenmek istiyorsan şuradaki ustamızla konuş.
dlga_start:lord_prison_break_confirm_3|Planlarda bir değişiklik mi var?
dlga_start:lord_prison_break|Neler oluyor?
dlga_start:drunk_response|Neye bakıyorsun sen?
dlga_start:drunk_response.1|Bana mı bakıyorsun?
dlga_start:close_window.1|Bana mı bakıyorsun?
dlga_player_duel_response:close_window|Ne büyük kayıp...
dlga_player_duel_response:close_window.1|Ben olacağıma o olsun...
dlga_drunk_response:drunk_fight_start|Emin değilim... Bir çeşit hayvan olsa gerek
dlga_drunk_response:drunk_fight_start.1|Özür dilerim – Lütfen özrümü kabul edin
dlga_drunk_fight_start:close_window|Suratındaki pis sırıtışı temizleyeceğim şimdi!
dlga_drunk_response:drunk_player_high_renown|Sen benim kim olduğumu biliyor musun?
dlga_drunk_player_high_renown:drunk_fight_start|Neden, dövüş mü istiyorsun? Haydi o zaman !
dlga_drunk_player_high_renown:drunk_player_high_renown|Şey... Aslında... Evet, evet, sizin kim olduğunuzu biliyorum {beyim/hanımım}. Lütfen beni affedin, haşmetlim – içkiden dolayı sanırım. Hemen gidiyorum, şimdi...
dlga_drunk_player_high_renown:drunk_fight_start.1|Neden, dövüş mü istiyorsun? Haydi o zaman !
dlga_drunk_player_high_renown:close_window|Yeteri kadar düşündüm. Hemen git buradan
dlga_start:fistfight_response|Birkaç zorlukla başa çıkabilecek bir {adama/kadına} benziyorsun. Sana bir iş teklifim var.
dlga_fistfight_response:fistfight_response_2|Ne dersin?
dlga_fistfight_response_2:fistfight_response_2a|Güzel – İlgilenmene sevindim. Plan şu ... Biraz karmaşık gelebilir, bu yüzden iyi dinle.
dlga_fistfight_response_2a:fistfight_response_3|Sen ve diğer adam burada bir kavga başlatacaksınız. Silah ve zırh olmayacak – Ben de arkama yaslanıp bahisleri toplayacağım ve kârı kazananla paylaşacağım. Eğer kaybedersek, zararı ben karşılayacağım. Yani kaybedecek bir şeyin yok, biraz kandan başka.
dlga_fistfight_response_3:fistfight_response_4|Ne var ki, şu herkesin önceden bahis yatırdığı hoş arena dövüşlerinden tertipleyemiyoruz. İnsanlar ilk önce içeri girer, sonra havaya kapılıp hanginizin yeneceğini düşünüyorsa üzerine birkaç dinar yatırır. Onlarla iddiaya bile gireceğim. Yoksa 3. bira şişesini götüren bir adamın hiç iddiaya girmemiş olması kuşku uyandırır.
dlga_fistfight_response_4:fistfight_response_4a|Yani anlayacağın, bütün hile, insanlar rakibinin üzerine bahis oynayana kadar kendini yeniliyormuş gibi göstermek -- daha sonra hızlı bir atak yap ve bahisler senin üzerine oynanmadan kavgayı kazan. Senin için para kazanmanın en kolay yolu neredeyse yere yapışacak kadar tartaklanmak ve aniden ayağa kalkıp diğer adamı indirmek. Yine de, kavganın sonunda ikimizin de para kazanması için yenmek zorundasın.
dlga_fistfight_response_4a:fistfight_response_5|Ayrıca, kavgayı çok fazla uzatma. Yoksa insanlar şike yaptığından şüphelenmeye başlar. Bu yüzden birinizin sürekli yumruk yemesi gerekiyor. Kimin kanının döküldüğü pek umurumda değil ama kan dökülmeli.
dlga_fistfight_response_5:fistfight_response_5a|Ve bir şey daha -- Benim ortağım, senin rakibin, ustaca hareketler yapmakta çok iyi değil. Bu yüzden o sadece senin üzerine doğru yürüyecek. Yani işin bu kısmı da sana kalıyor.
dlga_fistfight_response_5a:fistfight_response_confirm|Peki ne düşünüyorsun?
dlga_fistfight_response_confirm:close_window|[Evet – henüz tamamlanmadı]
dlga_fistfight_response_confirm:close_window.1|Yapacak daha önemli işlerim var.
dlga_start:ramun_introduce_1|İyi günler, genç {adam/hanım}.
dlga_ramun_introduce_1:ramun_introduce_2|Afedersin, bir tüccara benziyorsun, ama mallarını göremiyorum?
dlga_ramun_introduce_1:close_window|Boşversene.
dlga_ramun_introduce_2:ramun_introduce_3|Tüccar mı? Ah, evet, kesinlikle öyleyim. Ama benim mallarım çoğundan farklı. Günde iki kere suyunun verilmesi ve beslenmesi gerekiyor ayrıca arkamı döner dönmez kaçmaya yelteniyor.
dlga_ramun_introduce_3:ramun_introduce_4|Çiftlik hayvanları mı?
