str_no_string|,
str_empty_string| 
str_yes|Evet.
str_no|Hayır.
str_blank_string| 
str_noone|Hiç kimse
str_s50_and_s51|{s50} ve {s51}
str_s52_and_s51|{s52} ve {s51}
str_s5_s_party|{s5} ve askerleri
str_given_by_s1_at_s2|{s2} bölgesinde {s1} tarafından verildi
str_given_by_s1_in_wilderness|Kırda {s1} tarafından verildi
str_s7_raiders|{s7} Yağmacıları
str_bandits_eliminated_by_another|Belalı eşkıyalar başka bir grup tarafından yok edildi.
str_msg_battle_won|Savaş kazanıldı! Çıkmak için TAB tuşuna basın...
str_tutorial_map1|Şu anda harita modundasınız. Seyahat etmek, kasabalara girmek ve başka gruplarla karşılaşmak için harita üzerinde bir yere farenin sol tuşuyla tıklayın. Normalde, grubunuz hareket etmedikçe zaman ilerlemez. Bir noktada beklemek istiyorsanız, boşluk tuşuna basılı tutun.
str_randomize|Rastgele
str_charge|Hücum
str_color|Renk
str_flip_horizontal|Yatay tersyüz et
str_flip_vertical|Dikey tersyüz et
str_hold_fire|Ateşi Kes
str_blunt_hold_fire|Ateşi Kes
str_tutorial_ammo_refilled|Cephane dolduruldu.
str_tutorial_failed|Yenildiniz. Ama endişelenmeyin. Talimatları dikkatle uygularsanız sonraki sefer daha başarılı olursunuz. Şimdi menüye dönmek için 'Tab' tuşuna basın ve eğitimi tekrarlayın.
str_trainer_help_1|Burası bir talim alanı. Burada dövüş yeteneklerini geliştirebilirsin.
str_trainer_help_2|Talim ustasıyla konuşmak için yanına gidip 'F' tuşuna bas. Çıkmak için TAB tuşunu kullan.
str_finished|(Bitti)
str_delivered_damage|{reg60} hasar verdiniz.
str_archery_target_hit|Uzaklık: {reg61} yarda. Skor: {reg60}
str_use_baggage_for_inventory|Savaş sırasında envanterinize erişmek için başlangıç noktasında bulunan sandığınızı kullanın.
str_cant_use_inventory_now|Şu anda envantere erişilemez.
str_cant_use_inventory_arena|Arenadayken envantere erişilemez.
str_cant_use_inventory_disguised|Gizlenmişken envantere erişilemez.
str_cant_use_inventory_tutorial|Eğitim alanındayken envantere erişilemez.
str_1_denar|1 dinar
str_reg1_denars|{reg1} dinar
str_january_reg1_reg2|{reg1} Ocak {reg2}
str_february_reg1_reg2|{reg1} Şubat {reg2}
str_march_reg1_reg2|{reg1} Mart {reg2}
str_april_reg1_reg2|{reg1} Nisan {reg2}
str_may_reg1_reg2|{reg1} Mayıs {reg2}
str_june_reg1_reg2|{reg1} Haziran {reg2}
str_july_reg1_reg2|{reg1} Temmuz {reg2}
str_august_reg1_reg2|{reg1} Ağustos {reg2}
str_september_reg1_reg2|{reg1} Eylül {reg2}
str_october_reg1_reg2|{reg1} Ekim {reg2}
str_november_reg1_reg2|{reg1} Kasım {reg2}
str_december_reg1_reg2|{reg1} Aralık {reg2}
str_town_nighttime|Şu anda gece ve halk sokakları boşaltmış durumda.
str_door_locked|Kapı kilitli.
str_castle_is_abondened|Kale boş görünüyor.
str_town_is_abondened|Şehri koruyan herhangi bir birlik yok.
str_place_is_occupied_by_player|Burası sizin birliklerinizin hakimiyeti altında.
str_place_is_occupied_by_enemy|Burası düşman birliklerin hakimiyeti altında.
str_place_is_occupied_by_friendly|Burası dost birliklerin hakimiyeti altında.
str_do_you_want_to_retreat|Geri çekilmek istediğinize emin misin?
str_give_up_fight|Savaştan çekiliyor musunuz?
str_do_you_wish_to_leave_tutorial|Eğitimden çıkmak istiyor musunuz?
str_do_you_wish_to_surrender|Teslim olmak istiyor musunuz?
str_can_not_retreat|Geri çekilemezsiniz. Yakında düşmanlar var!
str_s1_joined_battle_enemy|{s1}, düşman tarafında savaşa katıldı.
str_s1_joined_battle_friend|{s1}, sizin tarafınızda savaşa katıldı.
str_entrance_to_town_forbidden|Şehir muhafızları davetsiz misafirleri gözlüyor ve görünüşe bakılırsa kasabaya sorunsuz girmeniz kolay olmayacak.
str_sneaking_to_town_impossible|Şehir muhafızları alarmda. Kendinizi gizleseniz bile bu kapıdan girmeniz mümkün değil.
str_battle_won|Savaşı kazandınız!
str_battle_lost|Savaşı kaybettiniz!
str_attack_walls_success|Kanlı bir savaştan sonra, cesur askerleriniz duvarları ele geçirdi.
str_attack_walls_failure|Duvarlara dalga dalga saldıran askerleriniz katledildi, sağ kalanlar da bir daha dönmemek üzere kaçtılar.
str_attack_walls_continue|Savaş çok kanlı geçti. Her iki taraf da cesurca savaştı. Savaşçılarınızın tüm çabalarına rağmen şehir hala düşmanın elinde.
str_order_attack_success|Askerleriniz cesaretle savaşarak düşmanı yendi.
str_order_attack_failure|Düşman, birliğinizi son askerine kadar kılıçtan geçirirken ümitsizce muharebeyi izlediniz.
str_order_attack_continue|Askerleriniz düşmanla çarpıştı, fakat onları yenemedi.
str_join_order_attack_success|Askerleriniz ve müttefikleriniz birlikte cesurca savaşıp düşmanı yendi.
str_join_order_attack_failure|Düşman, birliğinizi son askerine kadar kılıçtan geçirirken ümitsizce muharebeyi izlediniz.
str_join_order_attack_continue|Askerleriniz müttefiklerinizle beraber düşmana karşı mücadele verdi; fakat düşmanı yenemedi.
str_siege_defender_order_attack_success|Savunmadakiler kahramanca dövüşüp düşmanı bozguna uğrattılar.
str_siege_defender_order_attack_failure|Düşman savunmadakileri katlederken ümitsizce kuşatmayı izlediniz.
str_siege_defender_order_attack_continue|Savunmadakiler düşmanla çarpıştı, fakat onları yenemedi.
str_hero_taken_prisoner|{s3}'{.den} {s1}, {s2} tarafından esir alındı.
str_hero_freed|{s3}{.den} {s1}, {s2} tarafından esaretten kurtarıldı.
str_center_captured|{s1}, {s2} tarafından {s3}'{.den} alındı.
str_troop_relation_increased|{s1} ile ilişkiniz iyileşerek {reg1}{.den} {reg2}{.e} çıktı.
str_troop_relation_detoriated|{s1} ile ilişkiniz kötüleşerek {reg1}{.den} {reg2}{.e} indi.
str_faction_relation_increased|{s1} ile ilişkiniz iyileşerek {reg1}{.den} {reg2}{.e} çıktı.
str_faction_relation_detoriated|{s1} ile ilişkiniz kötüleşerek {reg1}{.den} {reg2}{.e} indi.
str_party_gained_morale|Grubunuz {reg1} moral kazandı.
str_party_lost_morale|Grubunuz {reg1} moral kaybetti.
str_other_party_gained_morale|{s1} {reg1} moral kazandı.
str_other_party_lost_morale|{s1} {reg1} moral kazandı.
str_qst_follow_spy_noticed_you|Casus sizi fark etti! Kaçmaya çalışıyor!
str_father|baba
str_husband|koca
str_wife|karı
str_daughter|kız
str_mother|anne
str_son|oğlu
str_brother|erkek kardeş
str_sister|kız kardeş
str_he|O
str_she|O
str_s3s_s2|{s3}'{.nin} {s2}{.i}
str_s5_is_s51|{s5} {s51}.
str_s5_is_the_ruler_of_s51|{s5}, {s51}{.nin} hükümdarıdır. 
str_s5_is_a_nobleman_of_s6|{s5} bir {s6} soylusudur. 
str_relation_mnus_100|Hınçlı
str_relation_mnus_90|Hınçlı
str_relation_mnus_80|Hınçlı
str_relation_mnus_70|Nefret dolu
str_relation_mnus_60|Nefret dolu
str_relation_mnus_50| Saldırgan
str_relation_mnus_40|  Kızgın
str_relation_mnus_30|    Muhalif
str_relation_mnus_20|      Hoşnutsuz
str_relation_mnus_10|        Şüpheci
str_relation_plus_0|         Kayıtsız
str_relation_plus_10|          Uzlaşımcı
str_relation_plus_20|           Samimi
str_relation_plus_30|            Olumlu
str_relation_plus_40|             Destekleyici
str_relation_plus_50|              Arkadaşça 
str_relation_plus_60|               Minnettar
str_relation_plus_70|                Dostça
str_relation_plus_80|                 Sadık
str_relation_plus_90|                  Adanmış
str_relation_mnus_100_ns|{s60} sana hınçlı.
str_relation_mnus_90_ns|{s60} sana hınçlı.
str_relation_mnus_80_ns|{s60} sana hınçlı.
str_relation_mnus_70_ns|{s60} sana çok öfkeli.
str_relation_mnus_60_ns|{s60} sana çok öfkeli.
str_relation_mnus_50_ns|{s60} sana karşı saldırgan.
str_relation_mnus_40_ns|{s60} sana kızgın.
str_relation_mnus_30_ns|{s60} sana muhalif.
str_relation_mnus_20_ns|{s60} senden hoşnutsuz.
str_relation_mnus_10_ns|{s60} sana karşı şüpheci.
str_relation_plus_0_ns|{s60} sana karşı kayıtsız.
str_relation_plus_10_ns|{s60} seninle uzlaşımcı.
str_relation_plus_20_ns|{s60} seninle samimi.
str_relation_plus_30_ns|{s60} sana karşı olumlu.
str_relation_plus_40_ns|{s60} seni destekleyici.
str_relation_plus_50_ns|{s60} sana arkadaşça davranıyor.
str_relation_plus_60_ns|{s60} sana minnettar.
str_relation_plus_70_ns|{s60} sana dostça davranıyor.
str_relation_plus_80_ns|{s60} sana sadık.
str_relation_plus_90_ns|{s60} sana adanmış.
str_relation_reg1| İlişki: {reg1}
str_center_relation_mnus_100|Buranın halkı sizden ölesiye nefret ediyor.
str_center_relation_mnus_90|Buranın halkı senden hararetle nefret ediyor.
str_center_relation_mnus_80|Buranın halkı senden oldukça nefret ediyor.
str_center_relation_mnus_70|Buranın halkı senden nefret ediyor.
str_center_relation_mnus_60|Buranın halkı sana karşı hınç dolu.
str_center_relation_mnus_50|Buranın halkı sana çok düşmanca davranıyor.
str_center_relation_mnus_40|Buranın halkı sana düşmanca davranıyor.
str_center_relation_mnus_30|Buranın halkı sana karşı düşmanlık besliyor.
str_center_relation_mnus_20|Buranın halkı sana karşı.
str_center_relation_mnus_10|Buranın halkı sana muhalif.
str_center_relation_plus_0|Buranın halkı sana karşı kayıtsız.
str_center_relation_plus_10|Buranın halkı seni onaylıyor.
str_center_relation_plus_20|Buranın halkı sana yardımcı oluyor.
str_center_relation_plus_30|Buranın halkı seni destekliyor gibi.
str_center_relation_plus_40|Buranın halkı seni destekliyor.
str_center_relation_plus_50|Buranın halkı seni oldukça destekliyor.
str_center_relation_plus_60|Buranın halkı sana sadık.
str_center_relation_plus_70|Buranın halkı sana çok sadık.
str_center_relation_plus_80|Buranın halkı sana derin bir sadakatle bağlı.
str_center_relation_plus_90|Buranın halkı sana hararetli bir şekilde bağlı.
str_town_prosperity_0|{s60} dayanılmaz düzeyde yoksul.
str_town_prosperity_10|Sefalet içindeki {s60} tamamen terk edilmiş.
str_town_prosperity_20|Pislik içerisindeki {s60} neredeyse terk edilmiş.
str_town_prosperity_30|{s60} fakir ve göz ardı edilmişe benziyor.
str_town_prosperity_40|{s60} parasızlıkla boğuşuyor.
str_town_prosperity_50|{s60} önemsiz görünüyor.
str_town_prosperity_60|{s60} gelişiyor gibi görünüyor.
str_town_prosperity_70|İşleri yolunda giden {s60} etkinlikle dolup taşıyor.
str_town_prosperity_80|{s60} zengin ve bakımlı görünüyor.
str_town_prosperity_90|{s60} varlıklı, hali vakti yerinde insanlarla dolu.
str_town_prosperity_100|Muazzam servetiyle göz dolduran {s60} gösteriş yapıyor.
str_village_prosperity_0|{s60} dayanılamaz seviyede yoksul.
str_village_prosperity_10|{s60} sersefil ve zavallı görünüyor.
str_village_prosperity_20|{s60} çok fakir ve ıssız bir yere benziyor.
str_village_prosperity_30|{s60} fakir ve göz ardı edilmişe benziyor.
str_village_prosperity_40|{s60} parasızlıkla boğuşuyor.
str_village_prosperity_50|{s60} önemsiz görünüyor
str_village_prosperity_60|{s60} gelişiyor gibi görünüyor.
str_village_prosperity_70|{s60} iyiye gidiyor gibi görünüyor.
str_village_prosperity_80|{s60} zengin ve bakımlı görünüyor.
str_village_prosperity_90|{s60} zengin ve gönenç içinde görünüyor.
str_village_prosperity_100|Geniş, verimli tarlalarla çevrili {s60} çok zengin görünüyor.
str_town_alt_prosperity_0|Pazarda satılan bu birkaç ürün, halkın alım gücünün çok ötesinde. İnsanlar yetersiz besleniyor, hayvanları hastalıktan kırılıyor, işlerinde kullandıkları aletler bozuk. Arka bahçeler sineklere ve uyuz köpeklere terk edilmiş.
str_town_alt_prosperity_20|Pazarda, gündelik ürünlerin fiyatlarıyla ilgili homurdanmalar duyuyorsunuz, dükkanlar ise yarı yarıya boş. Hem insanlar hem de hayvanlar yetersiz beslenmenin izleriyle dolu, binalar ve iş aletleri ise onarılmayalı uzun zaman olmuş. İnsanların çoğu iş bulmak için çoktan başka yerlere göç etmiş olabilir.
str_town_alt_prosperity_40|Ara sıra pazarda, gündelik ürünlerin fiyatlarıyla ilgili homurdanmalar duyuyorsunuz, ama yeterince satılık ürün var gibi görünüyor. Tek tük terk edilmiş binalar, dükkanlar ya da at arabaları görüyorsunuz, ama sayıları alışılmışın üstünde de değil.
str_town_alt_prosperity_60|Görünen o ki insanlar iyi besleniyor, hallerinden de nispeten memnunlar. Esnafların işleri canlanmış, bazı göçmenler ise şanslarını denemek için diğer bölgelerden buraya göç ediyorlar.
str_town_alt_prosperity_80|Duvarlar, sokaklar ve evler bakımlı. İş ve ürün bolluğunu gören göçmenler diğer bölgelerden buranın pazarlarına üşüşmüş. Çekiçlerin ve tezgahların sesleri zanaatkarların atölyelerinde çınlıyor.
str_village_alt_prosperity_0|Sadece bir avuç insan yabani otların bürüdüğü tarlalarda çalışacak kuvvette. Geri kalanlar yetersiz beslenmeyle güçsüz düşmüş, yahut çoktan buraları terk etmiş. Koşum hayvanları ise ya açlıktan ölmüş ya da kesilip yenmiş. Yine de sadece birkaçının cesedi varoşlarda görünüyor; kemiklerini vahşi hayvanlar kemirmiş.
str_village_alt_prosperity_20|Tarlalarda birkaç çiftçi ve hayvan var, ama sayılarının azlığı bazı köylülerin yiyecek bulmak için göç ettiklerini gösteriyor. Tarım aletleri paslı ve bozuk görünüyor. Dış taraflardaki alanların çoğunu çalılar ve yaban otları işgal etmiş.
str_village_alt_prosperity_40|Tarlalar ve meyve bahçeleri mevsim işleriyle uğraşan köylülerle dolu. İnsanlarla hayvanlar nispeten sağlıklı ve iyi beslenmiş görünüyor. Yine de, dış taraflardaki tarlaların birkaçı sürülmemiş, bazı duvarların da onarıma ihtiyacı var; belli ki henüz tüm işi yapacak kadar insan yok.
str_village_alt_prosperity_60|İşçiler tarlalarla meyve bahçelerinde arı gibi çalışıyor; çuvallar, köyün ekin ve otlak arazilerinin verimliliğini gösterircesine tahıl ve kurutulmuş et dolu.
str_village_alt_prosperity_80|İşçiler tarlalarla meyve bahçelerinde arı gibi çalışıyor; yeni kazılmış sulama kanalları, işçilerin tarlayı sürmeye ayıracak yeterli zaman ve enerjilerinin olduğunu gösteriyor. Mevsimlik işçiler çalışmak ve bu huzur ortamına katılmak için köye akın ediyor.
str_oasis_village_alt_prosperity_0|Hurma korulukları neredeyse terk edilmiş, sulama kanalları ise alüvyonlarla tıkanmış. Topu topu bir avuç kalan köylüler rahatsız ve sağlıksız besleniyor gibi görünüyorlar. Koşum hayvanları Koşum hayvanları ise ya açlıktan ölmüş ya da kesilip yenmiş. Yine de sadece birkaçının cesedi varoşlarda görünüyor; kemiklerini çölde yaşayan vahşi çakallar kemirmiş.
