imod_plain|Sade %s{***}
imod_cracked|Çatlak %s
imod_rusty|Paslı %s
imod_bent|Eğrilmiş %s
imod_chipped|Çentilmiş %s
imod_battered|Hasarlı %s
imod_poor|Adi %s
imod_crude|Kaba %s
imod_old|Eski %s
imod_cheap|Ucuz %s
imod_fine|Biçimli %s
imod_well_made|İyi-yapılmış %s
imod_sharp|Keskin %s
imod_balanced|Dengeli %s
imod_tempered|Tavlanmış %s
imod_deadly|Ölümcül %s
imod_exquisite|Üstün %s
imod_masterwork|Ustaişi %s
imod_heavy|Ağır %s
imod_strong|Kuvvetli %s
imod_powerful|Güçlü %s
imod_tattered|Limelenmiş %s
imod_ragged|Yıpranmış %s
imod_rough|Kaba %s
imod_sturdy|Sağlam %s
imod_thick|Kalın %s
imod_hardened|Sertleştirilmiş %s
imod_reinforced|Güçlendirilmiş %s
imod_superb|Fevkalade %s
imod_lordly|Görkemli %s
imod_lame|Sakat %s
imod_swaybacked|Çökmüş %s
imod_stubborn|Dikbaşlı %s
imod_timid|Korkak %s
imod_meek|Uysal %s
imod_spirited|Canlı %s
imod_champion|Şampiyon %s
imod_fresh|Taze %s
imod_day_old|Bir günlük %s
imod_two_day_old|İki günlük %s
imod_smelling|Kokuşmuş %s
imod_rotten|Çürümüş %s
imod_large_bag|Büyük Sadak %s
