p_zendar|Zendar Şehri
p_town_1|Sargoth Şehri
p_town_2|Tihr Şehri
p_town_3|Veluca Şehri
p_town_4|Suno Şehri
p_town_5|Jelkala Şehri
p_town_6|Praven Şehri
p_town_7|Uxkhal Şehri
p_town_8|Reyvadin Şehri
p_town_9|Khudan Şehri
p_town_10|Tulga Şehri
p_town_11|Curaw Şehri
p_town_12|Wercheg Şehri
p_town_13|Rivacheg Şehri
p_town_14|Halmar Şehri
p_town_15|Yalen Şehri
p_town_16|Dhirim Şehri
p_town_17|Ichamur Şehri
p_town_18|Narra Şehri
p_town_19|Shariz Şehri
p_town_20|Durquba Şehri
p_town_21|Ahmerrad Şehri
p_town_22|Bariyye Şehri
p_castle_1|Culmarr Kalesi
p_castle_2|Malayurg Kalesi
p_castle_3|Bulugha Kalesi
p_castle_4|Radoghir Kalesi
p_castle_5|Tehlrog Kalesi
p_castle_6|Tilbaut Kalesi
p_castle_7|Sungetche Kalesi
p_castle_8|Jeirbe Kalesi
p_castle_9|Jamiche Kalesi
p_castle_10|Alburq Kalesi
p_castle_11|Curin Kalesi
p_castle_12|Chalbek Kalesi
p_castle_13|Kelredan Kalesi
p_castle_14|Maras Kalesi
p_castle_15|Ergellon Kalesi
p_castle_16|Almerra Kalesi
p_castle_17|Distar Kalesi
p_castle_18|Ismirala Kalesi
p_castle_19|Yruma Kalesi
p_castle_20|Derchios Kalesi
p_castle_21|Ibdeles Kalesi
p_castle_22|Unuzdaq Kalesi
p_castle_23|Tevarin Kalesi
p_castle_24|Reindi Kalesi
p_castle_25|Ryibelet Kalesi
p_castle_26|Senuzgda Kalesi
p_castle_27|Rindyar Kalesi
p_castle_28|Grunwalder Kalesi
p_castle_29|Nelag Kalesi
p_castle_30|Asugan Kalesi
p_castle_31|Vyincourd Kalesi
p_castle_32|Knudarr Kalesi
p_castle_33|Etrosq Kalesi
p_castle_34|Hrus Kalesi
p_castle_35|Haringoth Kalesi
p_castle_36|Jelbegi Kalesi
p_castle_37|Dramug Kalesi
p_castle_38|Tulbuk Kalesi
p_castle_39|Slezkh Kalesi
p_castle_40|Uhhun Kalesi
p_castle_41|Jameyyed Kalesi
p_castle_42|Teramma Kalesi
p_castle_43|Sharwa Kalesi
p_castle_44|Durrin Kalesi
p_castle_45|Caraf Kalesi
p_castle_46|Weyyah Kalesi
p_castle_47|Samarra Kalesi
p_castle_48|Bardaq Kalesi
p_village_1|Yaragar Köyü
p_village_2|Burglen Köyü
p_village_3|Azgad Köyü
p_village_4|Nomar Köyü
p_village_5|Kulum Köyü
p_village_6|Emirin Köyü
p_village_7|Amere Köyü
p_village_8|Haen Köyü
p_village_9|Buvran Köyü
p_village_10|Mechin Köyü
p_village_11|Dusturil Köyü
p_village_12|Emer Köyü
p_village_13|Nemeja Köyü
p_village_14|Sumbuja Köyü
p_village_15|Ryibelet Köyü
p_village_16|Shapeshte Köyü
p_village_17|Mazen Köyü
p_village_18|Ulburban Köyü
p_village_19|Hanun Köyü
p_village_20|Uslum Köyü
p_village_21|Bazeck Köyü
p_village_22|Shulus Köyü
p_village_23|Ilvia Köyü
p_village_24|Ruldi Köyü
p_village_25|Dashbigha Köyü
p_village_26|Pagundur Köyü
p_village_27|Glunmar Köyü
p_village_28|Tash Kulun Köyü
p_village_29|Buillin Köyü
p_village_30|Ruvar Köyü
p_village_31|Ambean Köyü
p_village_32|Tosdhar Köyü
p_village_33|Ruluns Köyü
p_village_34|Ehlerdah Köyü
p_village_35|Fearichen Köyü
p_village_36|Jayek Köyü
p_village_37|Ada Kulun Köyü
p_village_38|Ibiran Köyü
p_village_39|Reveran Köyü
p_village_40|Saren Köyü
p_village_41|Dugan Köyü
p_village_42|Dirigh Aban Köyü
p_village_43|Zagush Köyü
p_village_44|Peshmi Köyü
p_village_45|Bulugur Köyü
p_village_46|Fedner Köyü
p_village_47|Epeshe Köyü
p_village_48|Veidar Köyü
p_village_49|Tismirr Köyü
p_village_50|Karindi Köyü
p_village_51|Jelbegi Köyü
p_village_52|Amashke Köyü
p_village_53|Balanli Köyü
p_village_54|Chide Köyü
p_village_55|Tadsamesh Köyü
p_village_56|Fenada Köyü
p_village_57|Ushkuru Köyü
p_village_58|Vezin Köyü
p_village_59|Dumar Köyü
p_village_60|Tahlberl Köyü
p_village_61|Aldelen Köyü
p_village_62|Rebache Köyü
p_village_63|Rduna Köyü
p_village_64|Serindiar Köyü
p_village_65|Iyindah Köyü
p_village_66|Fisdnar Köyü
p_village_67|Tebandra Köyü
p_village_68|Ibdeles Köyü
p_village_69|Kwynn Köyü
p_village_70|Dirigsene Köyü
p_village_71|Tshibtin Köyü
p_village_72|Elberl Köyü
p_village_73|Chaeza Köyü
p_village_74|Ayyike Köyü
p_village_75|Bhulaban Köyü
p_village_76|Kedelke Köyü
p_village_77|Rizi Köyü
p_village_78|Sarimish Köyü
p_village_79|Istiniar Köyü
p_village_80|Vayejeg Köyü
p_village_81|Odasan Köyü
p_village_82|Yalibe Köyü
p_village_83|Gisim Köyü
p_village_84|Chelez Köyü
p_village_85|Ismirala Köyü
p_village_86|Slezkh Köyü
p_village_87|Udiniad Köyü
p_village_88|Tulbuk Köyü
p_village_89|Uhhun Köyü
p_village_90|Jamiche Köyü
p_village_91|Ayn Assuadi Köyü
p_village_92|Dhibbain Köyü
p_village_93|Qalyut Köyü
p_village_94|Mazigh Köyü
p_village_95|Tamnuh Köyü
p_village_96|Habba Köyü
p_village_97|Sekhtem Köyü
p_village_98|Mawiti Köyü
p_village_99|Fisara Köyü
p_village_100|Ikbayl Köyü
p_village_101|Uzga Köyü
p_village_102|Şibal Zumr Köyü
p_village_103|Micayet Köyü
p_village_104|Tazcunat Köyü
p_village_105|Aab Köyü
p_village_106|Hawaha Köyü
p_village_107|Unriya Köyü
p_village_108|Mit Nun Köyü
p_village_109|Tilimsal Köyü
p_village_110|Rusdih Köyü
p_salt_mine|Tuz Madeni
p_four_ways_inn|Dört Yol Hanı
p_test_scene|test scene
p_battlefields|savaş alanları
p_dhorak_keep|Dhorak Kalesi
p_training_ground|Talim Alanı
p_training_ground_1|Talim Alanı
p_training_ground_2|Talim Alanı
p_training_ground_3|Talim Alanı
p_training_ground_4|Talim Alanı
p_training_ground_5|Talim Alanı
p_steppe_bandit_spawn_point|the steppes
p_taiga_bandit_spawn_point|the tundra
p_forest_bandit_spawn_point|the forests
p_mountain_bandit_spawn_point|the highlands
p_sea_raider_spawn_point_1|the coast
p_sea_raider_spawn_point_2|the coast
p_desert_bandit_spawn_point|the deserts
