qstr_Next_Page|Sonraki sayfa
qstr_Game_Rules:^|Oyun Kuralları:^
qstr_0|0
qstr_Show_game_rules|Oyun kurallarını göster
qstr_Continue...|Devam et...
qstr_Candidate_#1:_{s1}|Aday #1: {s1}
qstr_Candidate_#2:_{s1}|Aday #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s4} {s3}ı yeni bir mareşal seçmek istiyor ve derebeylerini tavsiye almak için çağırıyor. {s1} ve {s2} olası adaylar.
qstr_Who_do_you_wish_to_s|Kimi desteklemek istiyorsun?
qstr_{s1}_gives_his_suppo|{s1} oyunu {s2} için kullanıyor.
qstr_Number_of_Supporters|Destekçi sayısı: {reg0}
qstr_{s2}_has_heard_his_v|{s2} derebeylerinin görüşlerini aldı ve {s3}'{.nin} mareşalı olarak {s1}'{.i} seçti.
qstr_Action|Eylem
qstr_Mount|Ata Bin
qstr_Attack_Type|Saldırı Türü
qstr_Stand_Ground|Pozisyonunuzu Savunun
qstr_Charge|Hücum
qstr_Follow_Me|Beni Takip Edin
qstr_Hold_This_Position|Burada Durun
qstr_Spread_Out|Yayılın
qstr_Stand_Closer|Yakın durun
qstr_Fall_Back|Geri çekilin
qstr_Advance|İleri
qstr_Dismount|Attan İnin
qstr_Fire_At_Will|Atış Serbest
qstr_Hold_Your_Fire|Atışı Kes
qstr_Use_Blunt_Weapons|Bayıltıcı Silah Kullanın
qstr_Use_Any_Weapon|Silah Serbest
qstr_Ready|Hazır
qstr_Wounded|Yaralı
qstr_Dead|Ölü
qstr_Number_of_men_knocke|Bayıltılan adam sayısı: {reg1}
qstr_Number_of_men_left:_|Kalan adam sayısı: {reg1}
qstr_Opponents_Beaten:_{r|Yenilen Düşmanlar: {reg1}
qstr_Opponents_Remaining:|Kalan Düşmanlar: {reg1}
qstr_Remain_in_retirement|Emekliliğe devam et
qstr_Go_back_to_the_adven|Maceraya geri dön.
qstr_You_have_retired_at_|{reg5} günlük maceradan sonra {reg4}. seviyede emekli oldun.
qstr_Effect_on_Score|Skora etki
qstr_Settlements_owned_by|Sahip olduğun yerleşimler: {reg0}
