skinkey_chin_size|Çene Boyu
skinkey_chin_shape|Çene Şekli
skinkey_chin_forward|Çene Önü
skinkey_jaw_width|Çene Kemiği Genişliği
skinkey_jaw_position|Çene Kemiği Konumu
skinkey_mouth_nose_distance|Ağız-Burun Mesafesi
skinkey_mouth_width|Ağız Genişliği
skinkey_cheeks|Yanaklar
skinkey_nose_height|Burun Yüksekliği
skinkey_nose_width|Burun Genişliği
skinkey_nose_size|Burun Boyutu
skinkey_nose_shape|Burun Biçimi
skinkey_nose_bridge|Burun Köprüsü
skinkey_cheek_bones|Elmacık Kemiği
skinkey_eye_width|Göz Genişliği
skinkey_eye_to_eye_dist|Gözler Arası Uzaklık
skinkey_eye_shape|Göz Şekli
skinkey_eye_depth|Göz Derinliği
skinkey_eyelids|Göz Kapakları
skinkey_eyebrow_position|Kaş Konumu
skinkey_eyebrow_height|Kaş Yüksekliği
skinkey_eyebrow_depth|Kaş Derinliği
skinkey_eyebrow_shape|Kaş Şekli
skinkey_temple_width|Şakak Genişliği
skinkey_face_depth|Yüz Derinliği
skinkey_face_ratio|Yüz Oranı
skinkey_face_width|Yüz Genişliği
skinkey_post_edit|Post-Edit
skinkey_chin_size|Çene Boyu
skinkey_chin_shape|Çene Şekli
skinkey_chin_forward|Çene Önü
skinkey_jaw_width|Çene Kemiği Genişliği
skinkey_jaw_position|Çene Kemiği Konumu
skinkey_mouth_nose_distance|Ağız-Burun Mesafesi
skinkey_mouth_width|Ağız Genişliği
skinkey_cheeks|Yanaklar
skinkey_nose_height|Burun Yüksekliği
skinkey_nose_width|Burun Genişliği
skinkey_nose_size|Burun Boyutu
skinkey_nose_shape|Burun Biçimi
skinkey_nose_bridge|Burun Köprüsü
skinkey_cheek_bones|Elmacık Kemiği
skinkey_eye_width|Göz Genişliği
skinkey_eye_to_eye_dist|Gözler Arası Uzaklık
skinkey_eye_shape|Göz Şekli
skinkey_eye_depth|Göz Derinliği
skinkey_eyelids|Göz Kapakları
skinkey_eyebrow_position|Kaş Konumu
skinkey_eyebrow_height|Kaş Yüksekliği
skinkey_eyebrow_depth|Kaş Derinliği
skinkey_eyebrow_shape|Kaş Şekli
skinkey_temple_width|Şakak Genişliği
skinkey_face_depth|Yüz Derinliği
skinkey_face_ratio|Yüz Oranı
skinkey_face_width|Yüz Genişliği
skinkey_post_edit|Post-Edit
