89
qstr_{s1}_has_cast_Warp_L {s1}_has_cast_Warp_Lightning.
qstr_{s1}_has_cast_Plague {s1}_has_cast_Plague_of_Rust._Enemy_armour_has_been_disintegrated.
qstr_{s1}_has_cast_enchan {s1}_has_cast_enchanted_blades_of_Aiban._Nearby_Enemy_troops_have_fighting_ability_augmented.
qstr_{s1}_has_cast_glitte {s1}_has_cast_glittering_robe._Nearby_Allied_troops_have_increased_damage_protection.
qstr_{s1}_has_cast_transm {s1}_has_cast_transmutation_of_lead._Affected_Enemy_troops_have_movement_and_fighting_ability_hexed.
qstr_{s1}_has_cast_final_ {s1}_has_cast_final_transmutation._All_enemy_troops_who_succumb_are_killed.
qstr_{s1}_has_cast_awaken {s1}_has_cast_awakening_the_wood._Enemy_troops_in_radius_take_damage.
qstr_{s1}_has_cast_icesha {s1}_has_cast_iceshard_blizzard._Affected_enemy_troops_have_movement_speed_hexed.
qstr_{s1}_has_cast_lightn {s1}_has_cast_lightning_storm._Affected_enemy_troops_take_damage.
qstr_{s1}_has_cast_comet_ {s1}_has_cast_comet_of_Casadora._Affected_enemy_troops_take_damage.
qstr_{s3}_has_cast_Uranno {s3}_has_cast_Urannons_thunderbolt._Enemies_take_heavy_damage.
qstr_{s3}_has_cast_Lightn {s3}_has_cast_Lightning_Bolt._Enemies_take_heavy_damage.
qstr_{s1}_has_cast_Melkot {s1}_has_cast_Melkoths_mystifying_miasma._Enemy_troops_have_multiple_stats_hexed.
qstr_{s1}_has_cast_pit_of {s1}_has_cast_pit_of_shades._Affected_enemy_troops_die_if_agility_test_is_failed.
qstr_{s3}_has_cast_spirit {s3}_has_cast_spirit_leech._Enemies_take_heavy_damage_if_leadership_test_failed.
qstr_{s3}_has_cast_caress {s3}_has_cast_caress_of_the_laniph._Enemies_take_multiple_hits_if_power_strike_test_failed.
qstr_{playername}_has_cas {playername}_has_cast_the_fate_of_bjuna._Enemies_take_multiple_hits_if_ironflesh_test_failed.
qstr_{s1}_has_cast_purple {s1}_has_cast_purple_sun_of_xereus._Affected_enemy_troops_die_if_athletics_test_is_failed.
qstr_{s1}_has_cast_curse_ {s1}_has_cast_curse_of_Anraheir._Affected_{s2}_troops_have_movement_and_ranged_accuracy_hexed.
qstr_{s1}_has_cast_Wyssan {s1}_has_cast_Wyssans_wildform._Affected_allied_troops_have_augmented_damage_and_damage_protection.
qstr_{s1}_has_cast_the_Fl {s1}_has_cast_the_Fleeting_Bower_and_gains_double_speed.
qstr_{s1}_has_cast_the_Fle {s1}_has_cast_the_Fleet_of_Foot_and_gains_increased_speed.
qstr_{s1}_has_cast_Panns_ {s1}_has_cast_Panns_impenetrable_belt._Affected_allied_troops_have_augmented_speed_and_a_ward_save.
